Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/duplicates_rm/RSQ_073_sorted_q10_rmDup.bam
DDX11L1	13
WASH7P	5
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	1
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	18
WASH9P	10
MIR6859-2	0
ENSG00000228463	0
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	8
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	0
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	31
MTND2P28	403
MTCO1P12	270
ENSG00000278791	0
MTCO2P12	9
MTATP8P1	3
MTATP6P1	866
MTCO3P12	5
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	5
RNU6-1199P	0
ENSG00000229905	0
LINC01409	0
ENSG00000285268	0
ENSG00000230092	59
FAM87B	2
LINC01128	15
LINC00115	0
ENSG00000288531	1
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	0
ENSG00000241180	0
LINC02593	0
SAMD11	0
NOC2L	70
KLHL17	1
PLEKHN1	0
PERM1	2
ENSG00000272512	0
HES4	10
ISG15	31
ENSG00000231702	0
ENSG00000224969	0
AGRN	3
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	1
C1orf159	5
ENSG00000285812	0
LINC01342	3
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	3
TNFRSF18	0
TNFRSF4	0
SDF4	93
B3GALT6	4
C1QTNF12	0
ENSG00000260179	0
UBE2J2	44
LINC01786	0
SCNN1D	0
ACAP3	8
MIR6726	0
PUSL1	8
INTS11	51
MIR6727	0
ENSG00000240731	0
CPTP	10
TAS1R3	0
DVL1	16
MIR6808	0
MXRA8	3
AURKAIP1	121
NDUFB4P8	0
CCNL2	34
MRPL20-AS1	13
MRPL20	78
RN7SL657P	0
MRPL20-DT	0
ANKRD65	3
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	3
ATAD3C	0
ATAD3B	7
ENSG00000284740	0
ATAD3A	25
TMEM240	0
SSU72	247
ENSG00000215014	0
ENSG00000274481	0
FNDC10	5
ENSG00000286989	3
ENSG00000272106	2
MIB2	14
MMP23B	1
CDK11B	119
ENSG00000272004	0
SLC35E2B	32
ENSG00000269737	0
MMP23A	0
CDK11A	2
ENSG00000268575	2
ENSG00000227775	2
SLC35E2A	5
NADK	138
GNB1	1003
GNB1-DT	0
CALML6	0
TMEM52	0
CFAP74	1
ENSG00000233542	0
GABRD	1
PRKCZ-DT	0
PRKCZ	12
ENSG00000271806	0
PRKCZ-AS1	2
FAAP20	35
ENSG00000234396	0
SKI	114
ENSG00000287356	0
MORN1	4
ENSG00000272161	0
ENSG00000269896	2
ENSG00000272420	1
RER1	25
PEX10	10
PLCH2	1
ENSG00000224387	0
ENSG00000229393	0
PANK4	27
HES5	0
ENSG00000272449	4
TNFRSF14-AS1	1
TNFRSF14	158
ENSG00000225931	1
ENSG00000228037	2
ENSG00000289610	0
PRXL2B	28
MMEL1	3
MMEL1-AS1	0
TTC34	1
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	0
PRDM16	1
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	0
ENSG00000287828	0
ENSG00000286518	0
ARHGEF16	0
ENSG00000272088	0
MEGF6	5
MIR551A	0
ENSG00000238260	0
TPRG1L	72
WRAP73	19
TP73	1
TP73-AS3	0
TP73-AS2	0
TP73-AS1	10
ENSG00000276189	0
CCDC27	1
SMIM1	3
LRRC47	55
RN7SL574P	0
ENSG00000272153	0
CEP104	93
DFFB	12
C1orf174	44
LINC01134	1
LINC01346	0
