Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/duplicates_rm/RSQ_132_sorted_q10_rmDup.bam
DDX11L1	167
WASH7P	9
MIR6859-1	0
MIR1302-2HG	1
MIR1302-2	0
FAM138A	2
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	8
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	96
WASH9P	6
MIR6859-2	0
ENSG00000228463	21
ENSG00000286448	0
RPL23AP24	1
ENSG00000236601	0
ENSG00000237094	23
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	5
ENSG00000230021	12
ENSG00000235146	0
MTND1P23	88
MTND2P28	526
MTCO1P12	1225
ENSG00000278791	0
MTCO2P12	60
MTATP8P1	10
MTATP6P1	176
MTCO3P12	55
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	9
RNU6-1199P	0
ENSG00000229905	0
LINC01409	4
ENSG00000285268	0
ENSG00000230092	96
FAM87B	0
LINC01128	23
LINC00115	1
ENSG00000288531	2
FAM41C	1
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	2
ENSG00000241180	0
LINC02593	1
SAMD11	1
NOC2L	81
KLHL17	3
PLEKHN1	0
PERM1	1
ENSG00000272512	1
HES4	3
ISG15	29
ENSG00000231702	0
ENSG00000224969	0
AGRN	4
ENSG00000242590	0
ENSG00000217801	3
ENSG00000273443	0
RNF223	0
C1orf159	3
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	1
TTLL10	1
TNFRSF18	0
TNFRSF4	1
SDF4	196
B3GALT6	5
C1QTNF12	0
ENSG00000260179	1
UBE2J2	56
LINC01786	0
SCNN1D	2
ACAP3	20
MIR6726	0
PUSL1	5
INTS11	72
MIR6727	0
ENSG00000240731	2
CPTP	22
TAS1R3	1
DVL1	14
MIR6808	0
MXRA8	2
AURKAIP1	90
NDUFB4P8	0
CCNL2	28
MRPL20-AS1	21
MRPL20	64
RN7SL657P	0
MRPL20-DT	1
ANKRD65	2
ANKRD65-AS1	0
TMEM88B	1
LINC01770	0
VWA1	3
ATAD3C	1
ATAD3B	7
ENSG00000284740	2
ATAD3A	25
TMEM240	2
SSU72	339
ENSG00000215014	3
ENSG00000274481	0
FNDC10	17
ENSG00000286989	3
ENSG00000272106	11
MIB2	29
MMP23B	0
CDK11B	235
ENSG00000272004	0
SLC35E2B	81
ENSG00000269737	2
MMP23A	3
CDK11A	5
ENSG00000268575	8
ENSG00000227775	13
SLC35E2A	9
NADK	202
GNB1	4521
GNB1-DT	0
CALML6	0
TMEM52	1
CFAP74	5
ENSG00000233542	0
GABRD	2
PRKCZ-DT	1
PRKCZ	16
ENSG00000271806	0
PRKCZ-AS1	2
FAAP20	66
ENSG00000234396	0
SKI	407
ENSG00000287356	0
MORN1	8
ENSG00000272161	0
ENSG00000269896	3
ENSG00000272420	0
RER1	58
PEX10	9
PLCH2	7
ENSG00000224387	0
ENSG00000229393	0
PANK4	18
HES5	0
ENSG00000272449	22
TNFRSF14-AS1	7
TNFRSF14	150
ENSG00000225931	3
ENSG00000228037	1
ENSG00000289610	0
PRXL2B	69
MMEL1	4
MMEL1-AS1	0
TTC34	2
ENSG00000285945	1
ENSG00000283259	1
ENSG00000233234	0
ENSG00000287396	1
ENSG00000231630	1
ENSG00000284745	1
ACTRT2	0
PRDM16-DT	0
PRDM16	10
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	0
ENSG00000287828	0
ENSG00000286518	0
ARHGEF16	1
ENSG00000272088	0
MEGF6	11
MIR551A	0
ENSG00000238260	2
TPRG1L	185
WRAP73	17
TP73	2
TP73-AS3	0
TP73-AS2	0
TP73-AS1	17
ENSG00000276189	0
CCDC27	0
SMIM1	4
LRRC47	60
RN7SL574P	0
ENSG00000272153	1
CEP104	175
DFFB	11
C1orf174	130
LINC01134	8
LINC01346	1
LINC01345	2
LINC02780	1
ENSG00000284703	0
EEF1DP6	0
LINC01777	0
ENSG00000284694	1
ENSG00000227169	2
LINC01646	1
AJAP1	8
ENSG00000287586	1
ENSG00000284739	1
LINC02781	3
LINC02782	0
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	1
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	2
ENSG00000264341	0
MIR4689	1
NPHP4	10
KCNAB2	346
CHD5	8
ENSG00000285629	0
RPL22	149
RNF207-AS1	0
RNF207	3
ICMT	49
ICMT-DT	2
HES3	0
GPR153	3
ACOT7	156
ENSG00000271746	0
HES2	1
ESPN	16
MIR4252	0
ENSG00000231868	1
TNFRSF25	1
PLEKHG5	3
NOL9	96
RNU6-731P	0
ENSG00000229519	0
TAS1R1	0
ZBTB48	12
KLHL21	24
PHF13	14
THAP3	7
DNAJC11	53
LINC01672	0
ENSG00000284744	0
CAMTA1-DT	1
CAMTA1	1864
ENSG00000227950	0
ENSG00000237365	1
RNU1-8P	0
CAMTA1-IT1	1
CAMTA1-AS2	3
CAMTA1-AS1	1
ENSG00000270171	0
ENSG00000270035	0
ENSG00000269978	0
VAMP3	1286
ENSG00000269925	0
PER3	220
ENSG00000236266	1
UTS2	5
TNFRSF9	6
ENSG00000270330	0
PARK7	852
Y_RNA	1721
ENSG00000284747	1
ENSG00000284716	0
ERRFI1	9
ERRFI1-DT	4
ENSG00000232848	1
ENSG00000229305	2
ENSG00000288816	1
LINC01714	0
RNU1-7P	0
ENSG00000233645	0
RNU6-991P	0
SLC45A1	0
RERE	917
RERE-AS1	1
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	1
RPL7P7	3
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	0
ENO1	1618
MIR6728	0
ENO1-AS1	1
RNU6-304P	0
HMGN2P17	0
ENSG00000232208	3
ENSG00000232663	0
CA6	4
RN7SL451P	1
SLC2A7	2
SLC2A5	31
ENSG00000252404	0
GPR157	3
MIR34AHG	2
MIR34A	0
LNCTAM34A	2
H6PD	18
SPSB1	50
ENSG00000284652	2
LINC02606	7
RNA5SP40	0
ENSG00000235263	1
SLC25A33	25
ENSG00000231181	2
TMEM201	10
PIK3CD	347
PIK3CD-AS1	1
ENSG00000233268	0
PIK3CD-AS2	0
CLSTN1	57
MZT1P1	0
ENSG00000280113	1
CTNNBIP1	214
ENSG00000223989	0
ENSG00000285701	0
LZIC	1068
ENSG00000228150	5
NMNAT1	79
RN7SKP269	1
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	95
UBE4B	354
ENSG00000224340	0
PGAM1P11	0
RNU6-828P	0
KIF1B	389
ENSG00000264881	0
RNU6-37P	1
RN7SL731P	0
ENSG00000284735	0
ENSG00000284642	4
PGD	1621
ENSG00000271989	0
CENPS-CORT	0
CENPS	0
CORT	1
DFFA	72
ENSG00000203469	0
PEX14	18
ENSG00000287727	2
RN7SL614P	1
CASZ1	18
ENSG00000272078	3
HSPE1P24	0
C1orf127	4
CFL1P6	0
TARDBP	228
MASP2	1
SRM	62
EXOSC10	124
ENSG00000226849	1
EXOSC10-AS1	2
MTOR	130
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	3
RNU6-291P	0
RPL39P6	0
UBIAD1	13
UBE2V2P3	0
ENSG00000284646	0
MTCYBP45	0
DISP3	0
ENSG00000285833	0
LINC01647	0
ENSG00000284708	1
FBXO2	4
FBXO44	6
FBXO6	15
MAD2L2	28
DRAXIN	7
AGTRAP	48
C1orf167	0
C1orf167-AS1	0
MTHFR	102
CLCN6	38
ENSG00000276470	0
ENSG00000278852	0
NPPA	2
ENSG00000275915	0
NPPB	1
SBF1P2	0
ENSG00000285646	0
RNU5E-1	0
RNU5E-4P	0
KIAA2013	97
PLOD1	36
ENSG00000287384	1
MFN2	1719
ENSG00000270914	0
MIIP	36
MIR6729	0
RN7SL649P	0
TNFRSF8	17
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	1
MIR7846	0
TNFRSF1B	51
MIR4632	0
RPL10P17	0
SNORA70	0
VPS13D	379
SNORA59A	0
LINC02766	5
DHRS3	229
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	24
ENSG00000272482	10
AADACL4	0
ENSG00000226166	0
AADACL3	0
CFAP107	4
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	1
PRAMEF30P	0
HNRNPCL1	0
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	1
PRAMEF27	1
HNRNPCL3	1
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
ENSG00000233336	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	2
PRAMEF13	0
PRAMEF18	1
PRAMEF31P	0
PRAMEF5	1
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	1
PRAMEF15	0
ENSG00000228229	2
PRAMEF14	0
PRAMEF19	1
PRAMEF17	1
PRAMEF20	1
LRRC38	0
ENSG00000259961	0
BRWD1P1	0
PDPN	3
RNA5SP41	0
ENSG00000237445	1
ENSG00000253085	0
PRDM2	827
ENSG00000289380	1
KAZN	63
RNU6-1265P	0
ENSG00000231606	0
KAZN-AS1	5
TBCAP2	0
ENSG00000287756	3
TMEM51-AS1	3
TMEM51	3
TMEM51-AS2	0
MFFP1	2
ZBTB2P1	1
FHAD1	4
FHAD1-AS1	0
ENSG00000236045	3
EFHD2-AS1	1
EFHD2	855
CTRC	2
CELA2A	1
CELA2B	1
CASP9	120
DNAJC16	961
SCARNA21B	0
ENSG00000272510	0
AGMAT	10
ENSG00000237301	2
CHCHD2P6	2
RNU7-179P	0
CD24P1	0
DDI2	345
RSC1A1	0
ENSG00000271742	1
PLEKHM2	137
ENSG00000237938	3
SLC25A34	0
SLC25A34-AS1	0
TMEM82	0
FBLIM1	4
RPL12P14	0
UQCRHL	28
ENSG00000178715	1
FLJ37453	16
SPEN	782
ENSG00000270620	0
ZBTB17	53
ENSG00000234607	1
ENSG00000231353	0
ENSG00000275503	0
TBC1D3P6	0
SRARP	2
ENSG00000233078	0
HSPB7	4
CLCNKA	4
ENSG00000232456	0
CLCNKB	4
FAM131C	0
EPHA2	5
EPHA2-AS1	2
ENSG00000224621	0
ARHGEF19-AS1	0
ARHGEF19	2
ANO7L1	5
ENSG00000288398	7
CPLANE2	4
MT1XP1	0
FBXO42	62
SZRD1	357
RPL22P3	0
SPATA21	3
NECAP2	277
LINC01772	4
CROCCP3	10
RNU1-1	35
ENSG00000261135	0
ENSG00000285853	0
ENSG00000224174	0
LINC01783	1
RNU1-6P	0
PDE4DIPP8	0
NBPF1	58
ENSG00000271732	2
CROCCP2	21
ENSG00000283773	0
MST1P2	3
ENSG00000282143	0
