Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/duplicates_rm/RSQ_134_sorted_q10_rmDup.bam
DDX11L1	11
WASH7P	3
MIR6859-1	0
MIR1302-2HG	1
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	1
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	2
ENSG00000239906	0
ENSG00000241860	1
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	9
WASH9P	2
MIR6859-2	0
ENSG00000228463	1
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	7
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	2
U6	6
ENSG00000230021	1
ENSG00000235146	0
MTND1P23	16
MTND2P28	222
MTCO1P12	616
ENSG00000278791	0
MTCO2P12	12
MTATP8P1	0
MTATP6P1	1365
MTCO3P12	23
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	7
RNU6-1199P	0
ENSG00000229905	0
LINC01409	3
ENSG00000285268	0
ENSG00000230092	26
FAM87B	1
LINC01128	41
LINC00115	1
ENSG00000288531	8
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	1
ENSG00000230699	1
ENSG00000241180	0
LINC02593	3
SAMD11	2
NOC2L	60
KLHL17	4
PLEKHN1	4
PERM1	4
ENSG00000272512	2
HES4	6
ISG15	23
ENSG00000231702	1
ENSG00000224969	1
AGRN	6
ENSG00000242590	0
ENSG00000217801	5
ENSG00000273443	0
RNF223	1
C1orf159	2
ENSG00000285812	0
LINC01342	4
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	2
TTLL10	3
TNFRSF18	2
TNFRSF4	0
SDF4	80
B3GALT6	10
C1QTNF12	2
ENSG00000260179	1
UBE2J2	38
LINC01786	1
SCNN1D	2
ACAP3	22
MIR6726	0
PUSL1	2
INTS11	40
MIR6727	0
ENSG00000240731	0
CPTP	20
TAS1R3	0
DVL1	21
MIR6808	0
MXRA8	2
AURKAIP1	103
NDUFB4P8	1
CCNL2	27
MRPL20-AS1	8
MRPL20	49
RN7SL657P	0
MRPL20-DT	0
ANKRD65	3
ANKRD65-AS1	2
TMEM88B	0
LINC01770	1
VWA1	6
ATAD3C	8
ATAD3B	8
ENSG00000284740	1
ATAD3A	18
TMEM240	0
SSU72	205
