Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
RSQ_178	99474710	0	18815965	0	0	0	0	0	99474710	0	100.0	nan	80658745	0	40331434	0	40327311	0	80653218	0	99.99	nan	80653218	0	5527	0	0.01	nan	0	0	0	0	99474710
RSQ_178_sorted_q10	73110850	0	0	0	0	0	0	0	73110850	0	100.0	nan	73110850	0	36555425	0	36555425	0	73110850	0	100.0	nan	73110850	0	0	0	0.0	nan	0	0	0	0	73110850
RSQ_178_sorted_q10_mrkDup	73110850	0	0	0	0	0	60938162	0	73110850	0	100.0	nan	73110850	0	36555425	0	36555425	0	73110850	0	100.0	nan	73110850	0	0	0	0.0	nan	0	0	0	0	73110850
RSQ_178_sorted_q10_rmDup	12172688	0	0	0	0	0	0	0	12172688	0	100.0	nan	12172688	0	6086344	0	6086344	0	12172688	0	100.0	nan	12172688	0	0	0	0.0	nan	0	0	0	0	12172688
RSQ_179	104406301	0	23906731	0	0	0	0	0	104406301	0	100.0	nan	80499570	0	40252374	0	40247196	0	80490282	0	99.99	nan	80490282	0	9288	0	0.01	nan	0	0	0	0	104406301
RSQ_179_sorted_q10	71892742	0	0	0	0	0	0	0	71892742	0	100.0	nan	71892742	0	35946371	0	35946371	0	71892742	0	100.0	nan	71892742	0	0	0	0.0	nan	0	0	0	0	71892742
RSQ_179_sorted_q10_mrkDup	71892742	0	0	0	0	0	69961766	0	71892742	0	100.0	nan	71892742	0	35946371	0	35946371	0	71892742	0	100.0	nan	71892742	0	0	0	0.0	nan	0	0	0	0	71892742
RSQ_179_sorted_q10_rmDup	1930976	0	0	0	0	0	0	0	1930976	0	100.0	nan	1930976	0	965488	0	965488	0	1930976	0	100.0	nan	1930976	0	0	0	0.0	nan	0	0	0	0	1930976
RSQ_180	84954646	0	15758759	0	0	0	0	0	84954646	0	100.0	nan	69195887	0	34599748	0	34596139	0	69190080	0	99.99	nan	69190080	0	5807	0	0.01	nan	0	0	0	0	84954646
RSQ_180_sorted_q10	63418272	0	0	0	0	0	0	0	63418272	0	100.0	nan	63418272	0	31709136	0	31709136	0	63418272	0	100.0	nan	63418272	0	0	0	0.0	nan	0	0	0	0	63418272
RSQ_180_sorted_q10_mrkDup	63418272	0	0	0	0	0	58767640	0	63418272	0	100.0	nan	63418272	0	31709136	0	31709136	0	63418272	0	100.0	nan	63418272	0	0	0	0.0	nan	0	0	0	0	63418272
RSQ_180_sorted_q10_rmDup	4650632	0	0	0	0	0	0	0	4650632	0	100.0	nan	4650632	0	2325316	0	2325316	0	4650632	0	100.0	nan	4650632	0	0	0	0.0	nan	0	0	0	0	4650632
RSQ_181	85759011	0	11607786	0	0	0	0	0	85759011	0	100.0	nan	74151225	0	37078725	0	37072500	0	74143302	0	99.99	nan	74143302	0	7923	0	0.01	nan	0	0	0	0	85759011
RSQ_181_sorted_q10	68943234	0	0	0	0	0	0	0	68943234	0	100.0	nan	68943234	0	34471617	0	34471617	0	68943234	0	100.0	nan	68943234	0	0	0	0.0	nan	0	0	0	0	68943234
RSQ_181_sorted_q10_mrkDup	68943234	0	0	0	0	0	63415382	0	68943234	0	100.0	nan	68943234	0	34471617	0	34471617	0	68943234	0	100.0	nan	68943234	0	0	0	0.0	nan	0	0	0	0	68943234
RSQ_181_sorted_q10_rmDup	5527852	0	0	0	0	0	0	0	5527852	0	100.0	nan	5527852	0	2763926	0	2763926	0	5527852	0	100.0	nan	5527852	0	0	0	0.0	nan	0	0	0	0	5527852
RSQ_182	102953381	0	17327285	0	0	0	0	0	102953381	0	100.0	nan	85626096	0	42815668	0	42810428	0	85618550	0	99.99	nan	85618550	0	7546	0	0.01	nan	0	0	0	0	102953381
RSQ_182_sorted_q10	79551104	0	0	0	0	0	0	0	79551104	0	100.0	nan	79551104	0	39775552	0	39775552	0	79551104	0	100.0	nan	79551104	0	0	0	0.0	nan	0	0	0	0	79551104
RSQ_182_sorted_q10_mrkDup	79551104	0	0	0	0	0	72198818	0	79551104	0	100.0	nan	79551104	0	39775552	0	39775552	0	79551104	0	100.0	nan	79551104	0	0	0	0.0	nan	0	0	0	0	79551104
RSQ_182_sorted_q10_rmDup	7352286	0	0	0	0	0	0	0	7352286	0	100.0	nan	7352286	0	3676143	0	3676143	0	7352286	0	100.0	nan	7352286	0	0	0	0.0	nan	0	0	0	0	7352286
RSQ_183	106524025	0	28779648	0	0	0	0	0	106524025	0	100.0	nan	77744377	0	38874327	0	38870050	0	77738498	0	99.99	nan	77738498	0	5879	0	0.01	nan	0	0	0	0	106524025
