Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
RSQ_178	43914369.0	294.0	36560731.0	83.25	288.0	28451156.0	28268668.0	28050341.0	180840.0	19098.0	200877.0	0.43	0.02	1.43	0.01	1.28	3771405.0	8.59	88799.0	0.2	0.0	7.82	0.13	0	3436309	57125
RSQ_178__STARpass1	43914369.0	294.0	37500919.0	85.4	288.1	27501089.0	26449767.0	27134586.0	163357.0	18824.0	184322.0	0.43	0.02	1.43	0.02	1.23	2875642.0	6.55	84813.0	0.19	0.0	7.78	0.08	0	3417850	35145
RSQ_179	46173912.0	296.0	35954821.0	77.87	291.5	39478153.0	39298203.0	38876819.0	300452.0	32045.0	268837.0	0.48	0.02	1.55	0.01	1.38	4299608.0	9.31	98598.0	0.21	0.0	12.36	0.25	0	5705483	115402
RSQ_179__STARpass1	46173912.0	296.0	36134189.0	78.26	291.58	37927537.0	37150562.0	37412948.0	266972.0	31808.0	215809.0	0.48	0.02	1.55	0.01	1.38	4120490.0	8.92	115885.0	0.25	0.0	12.27	0.3	0	5664843	138505
RSQ_180	40438292.0	294.0	31714480.0	78.43	288.66	22141624.0	22019635.0	21742028.0	220224.0	18114.0	161258.0	0.52	0.02	1.46	0.01	1.25	2886367.0	7.14	75247.0	0.19	0.0	14.01	0.24	0	5665150	97048
RSQ_180__STARpass1	40438292.0	294.0	32058562.0	79.28	288.76	20836043.0	20007985.0	20553041.0	138779.0	17392.0	126831.0	0.52	0.02	1.46	0.01	1.22	2570273.0	6.36	69856.0	0.17	0.0	13.96	0.24	0	5642594	97007
RSQ_181	41896896.0	295.0	34479147.0	82.3	287.04	24217951.0	24075363.0	23878217.0	158074.0	16751.0	164909.0	0.54	0.02	1.48	0.01	1.25	2600427.0	6.21	49158.0	0.12	0.0	11.23	0.15	0	4705315	62849
RSQ_181__STARpass1	41896896.0	295.0	35115385.0	83.81	287.07	23397030.0	22188635.0	23107917.0	136088.0	16504.0	136521.0	0.54	0.02	1.47	0.01	1.22	1951923.0	4.66	44790.0	0.11	0.0	11.26	0.16	0	4717761	67037
RSQ_182	47051986.0	297.0	39782764.0	84.55	290.27	35001333.0	34837758.0	34497925.0	245337.0	26350.0	231721.0	0.53	0.02	1.56	0.01	1.31	3034057.0	6.45	89260.0	0.19	0.0	8.7	0.12	0	4089498	56407
RSQ_182__STARpass1	47051986.0	297.0	40175236.0	85.38	290.32	33722654.0	32748942.0	33284823.0	222595.0	26232.0	189004.0	0.52	0.02	1.56	0.01	1.28	2664240.0	5.66	86048.0	0.18	0.0	8.67	0.1	0	4079410	47052
RSQ_183	43122807.0	295.0	34009737.0	78.87	290.12	34368734.0	34156564.0	33835719.0	237418.0	27748.0	267849.0	0.44	0.03	1.55	0.01	1.31	4865391.0	11.28	126693.0	0.29	0.0	9.38	0.18	0	4043394	77592
RSQ_183__STARpass1	43122807.0	295.0	34518041.0	80.05	290.18	34013545.0	32946397.0	33536080.0	214966.0	27519.0	234980.0	0.43	0.03	1.54	0.01	1.28	4445772.0	10.31	90749.0	0.21	0.0	9.26	0.17	0	3994904	73341
RSQ_184	39703914.0	296.0	33974666.0	85.57	288.72	17180071.0	17047432.0	16855284.0	142403.0	12414.0	169970.0	0.5	0.03	1.56	0.02	1.38	2240414.0	5.64	80473.0	0.2	0.0	8.28	0.3	0	3289188	119173
RSQ_184__STARpass1	39703914.0	296.0	34310584.0	86.42	288.76	16033025.0	15293353.0	15787272.0	99872.0	12231.0	133650.0	0.5	0.03	1.56	0.02	1.36	1912952.0	4.82	76351.0	0.19	0.0	8.28	0.29	0	3288838	115189
RSQ_188	46359909.0	296.0	40438651.0	87.23	291.21	32441445.0	32252842.0	31953632.0	245893.0	24535.0	217385.0	0.5	0.02	1.5	0.01	1.36	3379453.0	7.29	68309.0	0.15	0.0	5.25	0.08	0	2436370	37126
RSQ_188__STARpass1	46359909.0	296.0	41299262.0	89.08	291.31	29235578.0	28114063.0	28854461.0	178092.0	24430.0	178595.0	0.5	0.02	1.5	0.01	1.28	2534897.0	5.47	60255.0	0.13	0.0	5.24	0.07	0	2432993	32502
RSQ_190	59503540.0	297.0	47657018.0	80.09	292.41	48922650.0	48669661.0	48197820.0	357532.0	47409.0	319889.0	0.41	0.02	1.49	0.01	1.37	4990117.0	8.39	95384.0	0.16	0.0	11.22	0.15	0	6671825	89196
RSQ_190__STARpass1	59503540.0	297.0	48335970.0	81.23	292.54	44795726.0	43595938.0	44171956.0	301516.0	39654.0	282600.0	0.41	0.02	1.49	0.01	1.36	4330445.0	7.28	90284.0	0.15	0.0	11.22	0.12	0	6675446	71395
RSQ_192	43509198.0	297.0	37013755.0	85.07	292.32	30961090.0	30779039.0	30451777.0	266567.0	27437.0	215309.0	0.46	0.02	1.61	0.01	1.38	3605157.0	8.29	77025.0	0.18	0.0	6.39	0.08	0	2778476	34785
RSQ_192__STARpass1	43509198.0	297.0	37729043.0	86.72	292.39	30604380.0	29590574.0	30188874.0	199743.0	27287.0	188476.0	0.46	0.02	1.6	0.01	1.31	2934685.0	6.74	71115.0	0.16	0.0	6.3	0.08	0	2739567	34788
