Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
RSQ_178_libComplexityPicard	Unknown	0.0	39391754.0	0.0	0.0	0.0	13695099.0	93796.0	0.347664	42733455.0
RSQ_178_sorted_q10	Unknown Library	0.0	36555425.0	0.0	0.0	0.0	30469081.0	475554.0	0.833504	6102863.0
RSQ_179_libComplexityPicard	Unknown	0.0	39568144.0	0.0	0.0	0.0	30443647.0	100818.0	0.769398	9254590.0
RSQ_179_sorted_q10	Unknown Library	0.0	35946371.0	0.0	0.0	0.0	34980883.0	542687.0	0.973141	965488.0
RSQ_180_libComplexityPicard	Unknown	0.0	34142433.0	0.0	0.0	0.0	18119188.0	91915.0	0.530694	19356202.0
RSQ_180_sorted_q10	Unknown Library	0.0	31709136.0	0.0	0.0	0.0	29383820.0	456120.0	0.926667	2325319.0
RSQ_181_libComplexityPicard	Unknown	0.0	36364127.0	0.0	0.0	0.0	18418787.0	94722.0	0.50651	22362531.0
RSQ_181_sorted_q10	Unknown Library	0.0	34471617.0	0.0	0.0	0.0	31707691.0	479937.0	0.91982	2763938.0
RSQ_182_libComplexityPicard	Unknown	0.0	42399380.0	0.0	0.0	0.0	20438071.0	107754.0	0.482037	28325744.0
RSQ_182_sorted_q10	Unknown Library	0.0	39775552.0	0.0	0.0	0.0	36099409.0	588562.0	0.907578	3676229.0
RSQ_183_libComplexityPicard	Unknown	0.0	38151556.0	0.0	0.0	0.0	20902731.0	79925.0	0.547887	20408517.0
RSQ_183_sorted_q10	Unknown Library	0.0	34004102.0	0.0	0.0	0.0	31353785.0	411200.0	0.922059	2650325.0
RSQ_184_libComplexityPicard	Unknown	0.0	35929286.0	0.0	0.0	0.0	9764390.0	80736.0	0.271767	53772547.0
RSQ_184_sorted_q10	Unknown Library	0.0	33969602.0	0.0	0.0	0.0	25122754.0	407334.0	0.739566	9071142.0
RSQ_188_libComplexityPicard	Unknown	0.0	42435431.0	0.0	0.0	0.0	17347498.0	92272.0	0.408797	36590540.0
RSQ_188_sorted_q10	Unknown Library	0.0	40434402.0	0.0	0.0	0.0	34495460.0	512131.0	0.853122	5946159.0
RSQ_190_libComplexityPicard	Unknown	0.0	50845845.0	0.0	0.0	0.0	39703286.0	156114.0	0.780856	11267910.0
RSQ_190_sorted_q10	Unknown Library	0.0	47650816.0	0.0	0.0	0.0	46551906.0	725090.0	0.976938	1098910.0
RSQ_192_libComplexityPicard	Unknown	0.0	39010420.0	0.0	0.0	0.0	24219179.0	99598.0	0.620839	16284096.0
RSQ_192_sorted_q10	Unknown Library	0.0	37009802.0	0.0	0.0	0.0	34943153.0	540838.0	0.944159	2066649.0
