Geneid	/mnt/efs/clusterfcs/data/tfm-esther/procesado-2/duplicates/PP084_sorted_q10_mrkDup.bam
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	1
ENSG00000239945	0
CICP27	1
ENSG00000268903	2
ENSG00000269981	0
ENSG00000239906	3
ENSG00000241860	1
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	2
WASH9P	0
MIR6859-2	0
ENSG00000228463	6
ENSG00000286448	2
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	2
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	7
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	49
MTND2P28	1099
MTCO1P12	283
ENSG00000278791	0
MTCO2P12	1
MTATP8P1	3
MTATP6P1	5685
MTCO3P12	1
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	11
RNU6-1199P	0
ENSG00000229905	0
LINC01409	16
ENSG00000285268	0
ENSG00000230092	93
FAM87B	18
LINC01128	69
LINC00115	0
ENSG00000288531	0
FAM41C	0
TUBB8P11	4
ENSG00000283040	11
ENSG00000272438	4
ENSG00000230699	2
ENSG00000241180	0
LINC02593	19
SAMD11	34
NOC2L	33
KLHL17	13
PLEKHN1	6
PERM1	1
ENSG00000272512	8
HES4	5
ISG15	139
ENSG00000231702	3
ENSG00000224969	0
AGRN	11
ENSG00000242590	0
ENSG00000217801	7
ENSG00000273443	2
RNF223	10
C1orf159	15
ENSG00000285812	0
LINC01342	1
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	3
TTLL10-AS1	4
TTLL10	2
TNFRSF18	1
TNFRSF4	10
SDF4	74
B3GALT6	16
C1QTNF12	1
ENSG00000260179	4
UBE2J2	42
LINC01786	4
SCNN1D	1
ACAP3	16
MIR6726	0
PUSL1	0
INTS11	34
MIR6727	0
ENSG00000240731	0
CPTP	4
TAS1R3	6
DVL1	43
MIR6808	0
MXRA8	19
AURKAIP1	39
NDUFB4P8	0
CCNL2	28
MRPL20-AS1	14
MRPL20	34
RN7SL657P	0
MRPL20-DT	1
ANKRD65	9
ANKRD65-AS1	0
TMEM88B	2
LINC01770	0
VWA1	2
ATAD3C	3
ATAD3B	10
ENSG00000284740	6
ATAD3A	4
TMEM240	2
SSU72	118
ENSG00000215014	0
ENSG00000274481	0
FNDC10	31
ENSG00000286989	14
ENSG00000272106	0
MIB2	10
MMP23B	0
CDK11B	101
ENSG00000272004	0
SLC35E2B	28
ENSG00000269737	0
MMP23A	0
CDK11A	0
ENSG00000268575	3
ENSG00000227775	5
SLC35E2A	5
NADK	72
GNB1	855
GNB1-DT	2
CALML6	0
TMEM52	7
CFAP74	12
ENSG00000233542	1
GABRD	5
PRKCZ-DT	0
PRKCZ	31
ENSG00000271806	12
PRKCZ-AS1	1
FAAP20	16
ENSG00000234396	0
SKI	100
ENSG00000287356	15
MORN1	13
ENSG00000272161	0
ENSG00000269896	3
ENSG00000272420	0
RER1	29
PEX10	13
PLCH2	26
ENSG00000224387	4
ENSG00000229393	0
PANK4	5
HES5	17
ENSG00000272449	1
TNFRSF14-AS1	12
TNFRSF14	68
ENSG00000225931	0
ENSG00000228037	0
