Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-5/duplicates_rm/RSQ_184_sorted_q10_rmDup.bam
DDX11L1	162
WASH7P	10
MIR6859-1	1
MIR1302-2HG	6
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	2
OR4F5	0
ENSG00000238009	1
ENSG00000239945	0
CICP27	2
ENSG00000268903	0
ENSG00000269981	2
ENSG00000239906	0
ENSG00000241860	4
RNU6-1100P	0
ENSG00000241599	2
DDX11L17	55
WASH9P	4
MIR6859-2	0
ENSG00000228463	36
ENSG00000286448	1
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	22
WBP1LP7	0
OR4F29	0
CICP7	1
ENSG00000250575	0
U6	21
ENSG00000230021	8
ENSG00000235146	0
MTND1P23	78
MTND2P28	1281
MTCO1P12	832
ENSG00000278791	0
MTCO2P12	26
MTATP8P1	9
MTATP6P1	3724
MTCO3P12	65
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	37
RNU6-1199P	0
ENSG00000229905	0
LINC01409	16
ENSG00000285268	0
ENSG00000230092	42
FAM87B	7
LINC01128	49
LINC00115	0
ENSG00000288531	12
FAM41C	4
TUBB8P11	2
ENSG00000283040	5
ENSG00000272438	2
ENSG00000230699	4
ENSG00000241180	0
LINC02593	8
SAMD11	13
NOC2L	41
KLHL17	7
PLEKHN1	9
PERM1	4
ENSG00000272512	4
HES4	3
ISG15	30
ENSG00000231702	0
ENSG00000224969	0
AGRN	34
ENSG00000242590	0
ENSG00000217801	14
ENSG00000273443	1
RNF223	1
C1orf159	14
ENSG00000285812	5
LINC01342	5
MIR200B	0
MIR200A	0
MIR429	1
ENSG00000272141	7
TTLL10-AS1	3
TTLL10	16
TNFRSF18	1
TNFRSF4	1
SDF4	103
B3GALT6	10
C1QTNF12	5
ENSG00000260179	5
UBE2J2	39
LINC01786	1
SCNN1D	6
ACAP3	35
MIR6726	0
PUSL1	11
INTS11	40
MIR6727	0
ENSG00000240731	1
CPTP	14
TAS1R3	8
DVL1	19
MIR6808	0
MXRA8	7
AURKAIP1	48
NDUFB4P8	0
CCNL2	21
MRPL20-AS1	10
MRPL20	34
RN7SL657P	0
MRPL20-DT	4
ANKRD65	6
ANKRD65-AS1	0
TMEM88B	2
LINC01770	6
VWA1	8
ATAD3C	7
ATAD3B	22
ENSG00000284740	4
ATAD3A	38
TMEM240	2
SSU72	247
ENSG00000215014	3
ENSG00000274481	1
FNDC10	16
ENSG00000286989	16
