Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
PP002_libComplexityPicard	Unknown	0.0	14164456.0	0.0	0.0	0.0	8190670.0	88.0	0.578255	6833792.0
PP002_sorted_q10	Unknown Library	0.0	11606991.0	0.0	0.0	0.0	8962452.0	2142.0	0.77216	2679808.0
PP003_libComplexityPicard	Unknown	0.0	8409666.0	0.0	0.0	0.0	4995337.0	42.0	0.593999	3846360.0
PP003_sorted_q10	Unknown Library	0.0	5322564.0	0.0	0.0	0.0	3712752.0	188.0	0.69755	1680622.0
PP004_libComplexityPicard	Unknown	0.0	7041128.0	0.0	0.0	0.0	4714116.0	39.0	0.669511	2469737.0
PP004_sorted_q10	Unknown Library	0.0	4921835.0	0.0	0.0	0.0	3855533.0	235.0	0.783353	1077488.0
PP005_libComplexityPicard	Unknown	0.0	8905840.0	0.0	0.0	0.0	5864707.0	118.0	0.658524	3251239.0
PP005_sorted_q10	Unknown Library	0.0	5215107.0	0.0	0.0	0.0	3895115.0	560.0	0.746891	1348172.0
PP007_libComplexityPicard	Unknown	0.0	3669523.0	0.0	0.0	0.0	2125423.0	21.0	0.57921	1764697.0
PP007_sorted_q10	Unknown Library	0.0	1804987.0	0.0	0.0	0.0	1217345.0	49.0	0.674434	621750.0
PP008_libComplexityPicard	Unknown	0.0	19162611.0	0.0	0.0	0.0	13335469.0	223.0	0.695911	6088804.0
PP008_sorted_q10	Unknown Library	0.0	12786395.0	0.0	0.0	0.0	9924014.0	3038.0	0.776139	2897537.0
PP010_libComplexityPicard	Unknown	0.0	7748918.0	0.0	0.0	0.0	4919873.0	144.0	0.634911	3077060.0
PP010_sorted_q10	Unknown Library	0.0	4884157.0	0.0	0.0	0.0	3529795.0	769.0	0.722703	1396690.0
PP011_libComplexityPicard	Unknown	0.0	7173059.0	0.0	0.0	0.0	4732641.0	29.0	0.65978	2606784.0
PP011_sorted_q10	Unknown Library	0.0	5295863.0	0.0	0.0	0.0	4157163.0	332.0	0.784983	1150216.0
PP012_libComplexityPicard	Unknown	0.0	8900430.0	0.0	0.0	0.0	5677006.0	49.0	0.637835	3498113.0
PP012_sorted_q10	Unknown Library	0.0	5710447.0	0.0	0.0	0.0	4250765.0	278.0	0.744384	1492183.0
PP015_libComplexityPicard	Unknown	0.0	9517755.0	0.0	0.0	0.0	7804056.0	66.0	0.819947	1720509.0
PP015_sorted_q10	Unknown Library	0.0	8197299.0	0.0	0.0	0.0	7440833.0	628.0	0.907718	756480.0
PP016_libComplexityPicard	Unknown	0.0	11937656.0	0.0	0.0	0.0	7792440.0	79.0	0.652761	4449370.0
PP016_sorted_q10	Unknown Library	0.0	8602491.0	0.0	0.0	0.0	6707903.0	666.0	0.779763	1916104.0
PP017_libComplexityPicard	Unknown	0.0	10104105.0	0.0	0.0	0.0	6442659.0	77.0	0.637628	3974094.0
PP017_sorted_q10	Unknown Library	0.0	7245444.0	0.0	0.0	0.0	5425341.0	612.0	0.748793	1857711.0
PP018_libComplexityPicard	Unknown	0.0	5790595.0	0.0	0.0	0.0	3713838.0	53.0	0.641357	2247729.0
PP018_sorted_q10	Unknown Library	0.0	4074203.0	0.0	0.0	0.0	2978682.0	207.0	0.731108	1125697.0
PP019_libComplexityPicard	Unknown	0.0	7536423.0	0.0	0.0	0.0	3807823.0	27.0	0.505256	4646176.0
PP019_sorted_q10	Unknown Library	0.0	5754691.0	0.0	0.0	0.0	3720772.0	310.0	0.646563	2192921.0
PP020_libComplexityPicard	Unknown	0.0	9586560.0	0.0	0.0	0.0	5093961.0	54.0	0.531365	5414278.0
PP020_sorted_q10	Unknown Library	0.0	6492197.0	0.0	0.0	0.0	4242190.0	277.0	0.653429	2413986.0
PP026_libComplexityPicard	Unknown	0.0	4804995.0	0.0	0.0	0.0	2829955.0	23.0	0.588961	2235654.0
PP026_sorted_q10	Unknown Library	0.0	3823336.0	0.0	0.0	0.0	2771179.0	218.0	0.724807	1084026.0
PP027_libComplexityPicard	Unknown	0.0	22087654.0	0.0	0.0	0.0	15040679.0	117.0	0.680954	7426375.0
PP027_sorted_q10	Unknown Library	0.0	18897142.0	0.0	0.0	0.0	15091215.0	2829.0	0.798598	3833672.0
PP029_libComplexityPicard	Unknown	0.0	7126691.0	0.0	0.0	0.0	4278870.0	36.0	0.600401	3189153.0
PP029_sorted_q10	Unknown Library	0.0	4851194.0	0.0	0.0	0.0	3453780.0	170.0	0.711944	1448245.0
PP031_libComplexityPicard	Unknown	0.0	16582456.0	0.0	0.0	0.0	11542301.0	251.0	0.696055	5266071.0
PP031_sorted_q10	Unknown Library	0.0	11807599.0	0.0	0.0	0.0	9289446.0	871.0	0.786735	2542622.0
PP032_libComplexityPicard	Unknown	0.0	6491396.0	0.0	0.0	0.0	3240739.0	17.0	0.499236	4083860.0
PP032_sorted_q10	Unknown Library	0.0	5125495.0	0.0	0.0	0.0	3492505.0	297.0	0.681399	1720468.0
