Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
PP002	56763347	0	26239366	0	0	0	0	0	56763347	0	100.0	nan	30523981	0	15260595	0	15263386	0	30519234	0	99.98	nan	30519234	0	4747	0	0.02	nan	0	0	0	0	56763347
PP002_sorted_q10	23213982	0	0	0	0	0	0	0	23213982	0	100.0	nan	23213982	0	11606991	0	11606991	0	23213982	0	100.0	nan	23213982	0	0	0	0.0	nan	0	0	0	0	23213982
PP002_sorted_q10_mrkDup	23213982	0	0	0	0	0	17924904	0	23213982	0	100.0	nan	23213982	0	11606991	0	11606991	0	23213982	0	100.0	nan	23213982	0	0	0	0.0	nan	0	0	0	0	23213982
PP002_sorted_q10_rmDup	5289078	0	0	0	0	0	0	0	5289078	0	100.0	nan	5289078	0	2644539	0	2644539	0	5289078	0	100.0	nan	5289078	0	0	0	0.0	nan	0	0	0	0	5289078
PP003	57435205	0	38038629	0	0	0	0	0	57435205	0	100.0	nan	19396576	0	9695718	0	9700858	0	19390050	0	99.97	nan	19390050	0	6526	0	0.03	nan	0	0	0	0	57435205
PP003_sorted_q10	10645128	0	0	0	0	0	0	0	10645128	0	100.0	nan	10645128	0	5322564	0	5322564	0	10645128	0	100.0	nan	10645128	0	0	0	0.0	nan	0	0	0	0	10645128
PP003_sorted_q10_mrkDup	10645128	0	0	0	0	0	7425504	0	10645128	0	100.0	nan	10645128	0	5322564	0	5322564	0	10645128	0	100.0	nan	10645128	0	0	0	0.0	nan	0	0	0	0	10645128
PP003_sorted_q10_rmDup	3219624	0	0	0	0	0	0	0	3219624	0	100.0	nan	3219624	0	1609812	0	1609812	0	3219624	0	100.0	nan	3219624	0	0	0	0.0	nan	0	0	0	0	3219624
PP004	37343140	0	22054339	0	0	0	0	0	37343140	0	100.0	nan	15288801	0	7641112	0	7647689	0	15280786	0	99.95	nan	15280786	0	8015	0	0.05	nan	0	0	0	0	37343140
PP004_sorted_q10	9843670	0	0	0	0	0	0	0	9843670	0	100.0	nan	9843670	0	4921835	0	4921835	0	9843670	0	100.0	nan	9843670	0	0	0	0.0	nan	0	0	0	0	9843670
