Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
RSQ_067_libComplexityPicard	Unknown	0.0	37177779.0	0.0	0.0	0.0	24980324.0	97055.0	0.671915	12932797.0
RSQ_067_sorted_q10	Unknown Library	0.0	34691077.0	0.0	0.0	0.0	33260386.0	433309.0	0.958759	1430691.0
RSQ_068_libComplexityPicard	Unknown	0.0	38936709.0	0.0	0.0	0.0	24022637.0	82133.0	0.616966	16470812.0
RSQ_068_sorted_q10	Unknown Library	0.0	36404891.0	0.0	0.0	0.0	34404309.0	435688.0	0.945046	2000582.0
RSQ_069_libComplexityPicard	Unknown	0.0	12667639.0	0.0	0.0	0.0	6723515.0	23444.0	0.530763	7176450.0
RSQ_069_sorted_q10	Unknown Library	0.0	11604121.0	0.0	0.0	0.0	10640075.0	123075.0	0.916922	964052.0
RSQ_070_libComplexityPicard	Unknown	0.0	39403349.0	0.0	0.0	0.0	26438862.0	98771.0	0.67098	13753985.0
RSQ_070_sorted_q10	Unknown Library	0.0	37845913.0	0.0	0.0	0.0	36311131.0	478232.0	0.959447	1534782.0
RSQ_071_libComplexityPicard	Unknown	0.0	42120233.0	0.0	0.0	0.0	27419097.0	110485.0	0.650972	15810214.0
RSQ_071_sorted_q10	Unknown Library	0.0	39943086.0	0.0	0.0	0.0	38085583.0	506571.0	0.953496	1857503.0
RSQ_072_libComplexityPicard	Unknown	0.0	33413916.0	0.0	0.0	0.0	24997403.0	67643.0	0.748114	8593948.0
RSQ_072_sorted_q10	Unknown Library	0.0	31585718.0	0.0	0.0	0.0	30684835.0	401750.0	0.971478	900883.0
RSQ_073_libComplexityPicard	Unknown	0.0	40290610.0	0.0	0.0	0.0	25546173.0	135532.0	0.634048	16063234.0
RSQ_073_sorted_q10	Unknown Library	0.0	37138614.0	0.0	0.0	0.0	35053940.0	614238.0	0.943868	2084674.0
RSQ_074_libComplexityPicard	Unknown	0.0	43626295.0	0.0	0.0	0.0	16047812.0	118606.0	0.367847	43798080.0
RSQ_074_sorted_q10	Unknown Library	0.0	41560490.0	0.0	0.0	0.0	35322673.0	610902.0	0.84991	6246702.0
RSQ_076_libComplexityPicard	Unknown	0.0	49249396.0	0.0	0.0	0.0	33082513.0	148762.0	0.671734	17144983.0
RSQ_076_sorted_q10	Unknown Library	0.0	45327263.0	0.0	0.0	0.0	43277560.0	683779.0	0.95478	2049703.0
RSQ_077_libComplexityPicard	Unknown	0.0	43370954.0	0.0	0.0	0.0	23977823.0	145205.0	0.552854	22830850.0
RSQ_077_sorted_q10	Unknown Library	0.0	41409902.0	0.0	0.0	0.0	38354565.0	782399.0	0.926217	3055342.0
RSQ_078_libComplexityPicard	Unknown	0.0	40023193.0	0.0	0.0	0.0	17023041.0	87285.0	0.425329	32531921.0
RSQ_078_sorted_q10	Unknown Library	0.0	36497420.0	0.0	0.0	0.0	32107340.0	416516.0	0.879715	4391266.0
RSQ_132_libComplexityPicard	Unknown	0.0	36594232.0	0.0	0.0	0.0	10502340.0	88362.0	0.286994	51128598.0
RSQ_132_sorted_q10	Unknown Library	0.0	34093012.0	0.0	0.0	0.0	26146760.0	425764.0	0.766924	8070776.0
RSQ_134_libComplexityPicard	Unknown	0.0	39250305.0	0.0	0.0	0.0	20769171.0	83312.0	0.529147	22360566.0
RSQ_134_sorted_q10	Unknown Library	0.0	33477450.0	0.0	0.0	0.0	30109372.0	383099.0	0.899393	3368260.0
RSQ_135_libComplexityPicard	Unknown	0.0	44795050.0	0.0	0.0	0.0	24692199.0	107879.0	0.551226	23698712.0
RSQ_135_sorted_q10	Unknown Library	0.0	38817382.0	0.0	0.0	0.0	35903733.0	510788.0	0.92494	2913654.0
RSQ_138_libComplexityPicard	Unknown	0.0	41435307.0	0.0	0.0	0.0	33345123.0	108544.0	0.804751	8141004.0
RSQ_138_sorted_q10	Unknown Library	0.0	40411999.0	0.0	0.0	0.0	39749007.0	613497.0	0.983594	662992.0
RSQ_141_libComplexityPicard	Unknown	0.0	36898316.0	0.0	0.0	0.0	27661413.0	91308.0	0.749666	9426868.0
RSQ_141_sorted_q10	Unknown Library	0.0	34671505.0	0.0	0.0	0.0	33720507.0	519754.0	0.972571	950998.0
RSQ_160b_libComplexityPicard	Unknown	0.0	41686899.0	0.0	0.0	0.0	14702174.0	101607.0	0.352681	44348459.0
RSQ_160b_sorted_q10	Unknown Library	0.0	38856779.0	0.0	0.0	0.0	32840802.0	516967.0	0.845176	6026378.0
RSQ_169b_libComplexityPicard	Unknown	0.0	36458754.0	0.0	0.0	0.0	24770969.0	92097.0	0.679424	12334402.0
RSQ_169b_sorted_q10	Unknown Library	0.0	35029492.0	0.0	0.0	0.0	33739220.0	520150.0	0.963166	1290272.0
RSQ_171b_libComplexityPicard	Unknown	0.0	39639977.0	0.0	0.0	0.0	13076397.0	88875.0	0.329879	46154487.0
RSQ_171b_sorted_q10	Unknown Library	0.0	36647451.0	0.0	0.0	0.0	29831635.0	440847.0	0.814017	6850519.0
RSQ_177_libComplexityPicard	Unknown	0.0	33751358.0	0.0	0.0	0.0	14591274.0	78633.0	0.432317	26769505.0
RSQ_177_sorted_q10	Unknown Library	0.0	31519059.0	0.0	0.0	0.0	27149124.0	392638.0	0.861356	4373482.0
