Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
PP091	49157481	0	34335639	0	0	0	0	0	49157481	0	100.0	nan	14821842	0	7411027	0	7410815	0	14820972	0	99.99	nan	14820972	0	870	0	0.01	nan	0	0	0	0	49157481
PP091_sorted_q10	6923720	0	0	0	0	0	0	0	6923720	0	100.0	nan	6923720	0	3461860	0	3461860	0	6923720	0	100.0	nan	6923720	0	0	0	0.0	nan	0	0	0	0	6923720
PP091_sorted_q10_mrkDup	6923720	0	0	0	0	0	4935426	0	6923720	0	100.0	nan	6923720	0	3461860	0	3461860	0	6923720	0	100.0	nan	6923720	0	0	0	0.0	nan	0	0	0	0	6923720
PP091_sorted_q10_rmDup	1988294	0	0	0	0	0	0	0	1988294	0	100.0	nan	1988294	0	994147	0	994147	0	1988294	0	100.0	nan	1988294	0	0	0	0.0	nan	0	0	0	0	1988294
PP097	29216172	0	16514847	0	0	0	0	0	29216172	0	100.0	nan	12701325	0	6350780	0	6350545	0	12700530	0	99.99	nan	12700530	0	795	0	0.01	nan	0	0	0	0	29216172
PP097_sorted_q10	8394294	0	0	0	0	0	0	0	8394294	0	100.0	nan	8394294	0	4197147	0	4197147	0	8394294	0	100.0	nan	8394294	0	0	0	0.0	nan	0	0	0	0	8394294
PP097_sorted_q10_mrkDup	8394294	0	0	0	0	0	6176908	0	8394294	0	100.0	nan	8394294	0	4197147	0	4197147	0	8394294	0	100.0	nan	8394294	0	0	0	0.0	nan	0	0	0	0	8394294
PP097_sorted_q10_rmDup	2217386	0	0	0	0	0	0	0	2217386	0	100.0	nan	2217386	0	1108693	0	1108693	0	2217386	0	100.0	nan	2217386	0	0	0	0.0	nan	0	0	0	0	2217386
PP098	83716613	0	42087778	0	0	0	0	0	83716613	0	100.0	nan	41628835	0	20815071	0	20813764	0	41625998	0	99.99	nan	41625998	0	2837	0	0.01	nan	0	0	0	0	83716613
PP098_sorted_q10	30718696	0	0	0	0	0	0	0	30718696	0	100.0	nan	30718696	0	15359348	0	15359348	0	30718696	0	100.0	nan	30718696	0	0	0	0.0	nan	0	0	0	0	30718696
PP098_sorted_q10_mrkDup	30718696	0	0	0	0	0	26587500	0	30718696	0	100.0	nan	30718696	0	15359348	0	15359348	0	30718696	0	100.0	nan	30718696	0	0	0	0.0	nan	0	0	0	0	30718696
PP098_sorted_q10_rmDup	4131196	0	0	0	0	0	0	0	4131196	0	100.0	nan	4131196	0	2065598	0	2065598	0	4131196	0	100.0	nan	4131196	0	0	0	0.0	nan	0	0	0	0	4131196
PP099	68322173	0	42283108	0	0	0	0	0	68322173	0	100.0	nan	26039065	0	13019752	0	13019313	0	26037374	0	99.99	nan	26037374	0	1691	0	0.01	nan	0	0	0	0	68322173
PP099_sorted_q10	14385208	0	0	0	0	0	0	0	14385208	0	100.0	nan	14385208	0	7192604	0	7192604	0	14385208	0	100.0	nan	14385208	0	0	0	0.0	nan	0	0	0	0	14385208
PP099_sorted_q10_mrkDup	14385208	0	0	0	0	0	11352382	0	14385208	0	100.0	nan	14385208	0	7192604	0	7192604	0	14385208	0	100.0	nan	14385208	0	0	0	0.0	nan	0	0	0	0	14385208
PP099_sorted_q10_rmDup	3032826	0	0	0	0	0	0	0	3032826	0	100.0	nan	3032826	0	1516413	0	1516413	0	3032826	0	100.0	nan	3032826	0	0	0	0.0	nan	0	0	0	0	3032826
PP102	36705299	0	15657800	0	0	0	0	0	36705299	0	100.0	nan	21047499	0	10524119	0	10523380	0	21045988	0	99.99	nan	21045988	0	1511	0	0.01	nan	0	0	0	0	36705299
PP102_sorted_q10	16251336	0	0	0	0	0	0	0	16251336	0	100.0	nan	16251336	0	8125668	0	8125668	0	16251336	0	100.0	nan	16251336	0	0	0	0.0	nan	0	0	0	0	16251336
PP102_sorted_q10_mrkDup	16251336	0	0	0	0	0	12644240	0	16251336	0	100.0	nan	16251336	0	8125668	0	8125668	0	16251336	0	100.0	nan	16251336	0	0	0	0.0	nan	0	0	0	0	16251336
PP102_sorted_q10_rmDup	3607096	0	0	0	0	0	0	0	3607096	0	100.0	nan	3607096	0	1803548	0	1803548	0	3607096	0	100.0	nan	3607096	0	0	0	0.0	nan	0	0	0	0	3607096
PP103	60610546	0	22878058	0	0	0	0	0	60610546	0	100.0	nan	37732488	0	18866880	0	18865608	0	37730034	0	99.99	nan	37730034	0	2454	0	0.01	nan	0	0	0	0	60610546
PP103_sorted_q10	31092306	0	0	0	0	0	0	0	31092306	0	100.0	nan	31092306	0	15546153	0	15546153	0	31092306	0	100.0	nan	31092306	0	0	0	0.0	nan	0	0	0	0	31092306
PP103_sorted_q10_mrkDup	31092306	0	0	0	0	0	21163080	0	31092306	0	100.0	nan	31092306	0	15546153	0	15546153	0	31092306	0	100.0	nan	31092306	0	0	0	0.0	nan	0	0	0	0	31092306
PP103_sorted_q10_rmDup	9929226	0	0	0	0	0	0	0	9929226	0	100.0	nan	9929226	0	4964613	0	4964613	0	9929226	0	100.0	nan	9929226	0	0	0	0.0	nan	0	0	0	0	9929226
PP105	45453374	0	22033276	0	0	0	0	0	45453374	0	100.0	nan	23420098	0	11710432	0	11709666	0	23418624	0	99.99	nan	23418624	0	1474	0	0.01	nan	0	0	0	0	45453374
PP105_sorted_q10	16960474	0	0	0	0	0	0	0	16960474	0	100.0	nan	16960474	0	8480237	0	8480237	0	16960474	0	100.0	nan	16960474	0	0	0	0.0	nan	0	0	0	0	16960474
PP105_sorted_q10_mrkDup	16960474	0	0	0	0	0	14403436	0	16960474	0	100.0	nan	16960474	0	8480237	0	8480237	0	16960474	0	100.0	nan	16960474	0	0	0	0.0	nan	0	0	0	0	16960474
PP105_sorted_q10_rmDup	2557038	0	0	0	0	0	0	0	2557038	0	100.0	nan	2557038	0	1278519	0	1278519	0	2557038	0	100.0	nan	2557038	0	0	0	0.0	nan	0	0	0	0	2557038
