Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PP091_R1	PP091_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39888970.0	0.0	1-100	49.0	26.87039478260204	94.903948986399	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PP091_R2	PP091_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39888970.0	0.0	1-100	50.0	29.352932029464135	94.79915114378737	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
PP097_R1	PP097_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30008029.0	0.0	1-100	48.0	32.4387824594837	95.48836459735493	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
PP097_R2	PP097_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30008029.0	0.0	1-100	50.0	32.108226237389886	95.40822171292889	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PP098_R1	PP098_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30286290.0	0.0	1-100	46.0	19.426242637390384	97.48060267533593	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
PP098_R2	PP098_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30286290.0	0.0	1-100	48.0	21.28968028879805	97.45595838909288	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PP099_R1	PP099_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30969599.0	0.0	1-100	45.0	27.539425506014336	95.95058870474881	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
PP099_R2	PP099_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30969599.0	0.0	1-100	47.0	26.964755349130463	95.91698445950172	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
PP102_R1	PP102_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30850511.0	0.0	1-100	48.0	31.152935017809618	96.00083862468274	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
PP102_R2	PP102_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30850511.0	0.0	1-100	50.0	30.616895677494117	95.91447188670554	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PP103_R1	PP103_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29981313.0	0.0	1-100	45.0	34.90050806410896	98.08791949838889	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
PP103_R2	PP103_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29981313.0	0.0	1-100	46.0	34.23368850450388	98.03209032239515	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PP105_R1	PP105_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32004921.0	0.0	1-100	47.0	23.5903477008541	96.55373159646292	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
PP105_R2	PP105_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32004921.0	0.0	1-100	49.0	24.70235435592427	96.47699096023389	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
PP109_R1	PP109_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29645009.0	0.0	1-100	46.0	25.915336186346842	97.24193418190563	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
