Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
PP091_RSeQC_readDistribution	14821842	17210326	10693731	39015440	5300907	135.87	24544196	1115267	45.44	57343407	2155143	37.58	1587580244	1911064	1.2	26098899	19430	0.74	0.5	0.42	28587031	13107	0.46	0.63	0.55	6516595	30.800735558408366	6.480220072530875	12.522383364498731	11.104170833254408	0.11289733849318136	0.34035380852169794	0.5189675082273282	0.07615776714514298	0.4498229725572891	0.709074308063659	37.864448355016634	96140332	90890313	30740	39146	96398306	95256052	44618	64309
PP097_RSeQC_readDistribution	12701325	14539932	10972252	39015440	5082705	130.27	24544196	909501	37.06	57343407	3228431	56.3	1587580244	1470953	0.93	26098899	17377	0.67	0.7	0.55	28587031	16064	0.56	0.96	0.74	3567680	34.956869124284765	6.255194315901889	22.203893388222173	10.116642911397385	0.11951225081382774	0.5635239559579783	0.8116337820562023	0.1104819472333158	0.8214825213763035	1.1186503485710937	24.537116129566495	96140332	90890313	36075	64559	96398306	95256052	43208	103379
PP098_RSeQC_readDistribution	41628835	50601976	39035890	39015440	19809802	507.74	24544196	3060084	124.68	57343407	5603901	97.73	1587580244	9131877	5.75	26098899	91279	3.5	3.19	3.11	28587031	85121	2.98	3.35	3.48	11566086	39.14827752971544	6.04736068014419	11.074470688654529	18.046483006908662	0.18038623630033737	0.737935609471061	1.310456729990149	0.1682167510612629	0.8188751364175977	1.51596649111094	22.856984873476087	96140332	90890313	289707	282131	96398306	95256052	352742	329246
PP099_RSeQC_readDistribution	26039065	30509441	20306870	39015440	10260257	262.98	24544196	2106582	85.83	57343407	3790355	66.1	1587580244	3655620	2.3	26098899	40724	1.56	1.13	1.05	28587031	31519	1.1	1.28	1.23	10202571	33.6297770909667	6.904688945300571	12.423547845403002	11.98193044572662	0.13347999394679175	0.4330593929924838	0.7324257432314147	0.10330900523546138	0.5194359346013583	0.8869287378946078	33.44070119147709	96140332	90890313	91335	91400	96398306	95256052	112120	126958
PP102_RSeQC_readDistribution	21047499	25774768	22045719	39015440	12775841	327.46	24544196	2007713	81.8	57343407	5228087	91.17	1587580244	1641894	1.03	26098899	30215	1.16	1.05	0.8	28587031	21500	0.75	1.38	1.0	3729049	49.56723955769456	7.789451295934071	20.28374028429664	6.3701601504230805	0.11722704933755368	0.47785881137708014	0.6636800765772168	0.0834149118238426	0.6653638938670563	0.8579010294098476	14.46782760566458	96140332	90890313	47895	92952	96398306	95256052	49626	149996
PP103_RSeQC_readDistribution	37732488	42624186	31558431	39015440	11424096	292.81	24544196	2130430	86.8	57343407	4442013	77.46	1587580244	11488520	7.24	26098899	116939	4.48	4.8	4.64	28587031	118231	4.14	5.08	4.93	11065755	26.80191007049378	4.998171695290556	10.4213438820861	26.953054305834723	0.27434893419430934	1.3178832318346207	2.3181087845290467	0.2773800771233496	1.4763472550537389	2.5461999438534733	25.961211317912326	96140332	90890313	426338	444798	96398306	95256052	456016	511050
PP105_RSeQC_readDistribution	23420098	28630564	23083374	39015440	13235070	339.23	24544196	1965185	80.07	57343407	4752501	82.88	1587580244	2628535	1.66	26098899	32893	1.26	1.22	1.0	28587031	27708	0.97	1.57	1.31	5547190	46.227066990367355	6.863940926905945	16.59939706392092	9.180870485122124	0.1148877123063311	0.5000041214696295	0.7461082499108296	0.09677769533286176	0.6786279166557808	1.0075526280236744	19.375063655749152	96140332	90890313	70461	110261	96398306	95256052	94173	166587
PP109_RSeQC_readDistribution	35349899	41496351	35238566	39015440	17843053	457.33	24544196	2141750	87.26	57343407	8410072	146.66	1587580244	5598331	3.53	26098899	74515	2.86	3.23	2.71	28587031	70761	2.48	3.71	3.03	6257785	42.999089245220624	5.161297194541274	20.2670157672418	13.491140461964957	0.17957000604703774	0.9093932138756008	1.3906258890088914	0.1705234274695623	1.1076058229794712	1.6105054634803915	15.080325978542064	96140332	90890313	199694	302850	96398306	95256052	208685	388855
PP111_RSeQC_readDistribution	23440827	27806774	21409525	39015440	11139437	285.51	24544196	2001211	81.53	57343407	4349199	75.84	1587580244	3336215	2.1	26098899	46123	1.77	1.47	1.25	28587031	33031	1.16	1.7	1.44	6397249	40.06015584547852	7.196847070429673	15.640789542864628	11.997849876436584	0.1658696546388301	0.6163857770771971	0.9616110088858204	0.11878760189873158	0.7559201221975623	1.1366654758297385	23.006081180075043	96140332	90890313	95996	125274	96398306	95256052	105873	177166
PP114_RSeQC_readDistribution	8759063	10423457	7354048	39015440	3590333	92.02	24544196	720245	29.34	57343407	1250334	21.8	1587580244	1573595	0.99	26098899	17671	0.68	0.51	0.47	28587031	13541	0.47	0.54	0.54	3069409	34.44474323633705	6.909847663783713	11.995386943122613	15.096670902945156	0.1695310874309742	0.5762003910986537	0.9707048247045102	0.1299089160150994	0.638770803198977	1.1355157890515593	29.44713064005541	96140332	90890313	41121	42389	96398306	95256052	51778	53041
