Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
PP091	39888970.0	189.0	3462536.0	8.68	188.81	1929098.0	1879478.0	1898629.0	13517.0	1253.0	15699.0	0.5	0.03	1.74	0.02	1.22	3948820.0	9.9	345105.0	0.87	0.0	80.47	0.09	0	32096611	35898
PP097	30008029.0	191.0	4197731.0	13.99	190.44	1443836.0	1380495.0	1417400.0	10196.0	1084.0	15156.0	0.6	0.02	1.49	0.02	1.14	2153329.0	7.18	215224.0	0.72	0.0	78.07	0.05	0	23426741	15004
PP098	30286290.0	195.0	15361810.0	50.72	192.78	7445228.0	7275472.0	7321296.0	52566.0	5361.0	66005.0	0.55	0.02	1.42	0.02	1.23	5454026.0	18.01	492063.0	1.62	0.0	29.46	0.19	0	8920857	57534
PP099	30969599.0	192.0	7193865.0	23.23	191.44	3677789.0	3567821.0	3607367.0	25249.0	2770.0	42403.0	0.55	0.02	1.42	0.02	1.22	5826513.0	18.81	454091.0	1.47	0.0	56.37	0.12	0	17457966	37164
PP102	30850511.0	192.0	8126957.0	26.34	192.28	4102168.0	3955655.0	4027510.0	26441.0	3611.0	44606.0	0.58	0.02	1.44	0.02	1.18	2397548.0	7.77	119529.0	0.39	0.0	65.44	0.05	0	20191050	15427
PP103	29981313.0	196.0	15548432.0	51.86	191.49	3657482.0	3488509.0	3570954.0	24230.0	2806.0	59492.0	0.53	0.02	1.56	0.02	1.24	3319039.0	11.07	341630.0	1.14	0.0	35.78	0.15	0	10727240	44972
PP105	32004921.0	193.0	8481539.0	26.5	192.07	4449987.0	4323161.0	4379105.0	30357.0	3471.0	37054.0	0.49	0.02	1.58	0.02	1.19	3229247.0	10.09	201009.0	0.63	0.0	62.71	0.07	0	20070722	22404
PP109	29645009.0	194.0	15099456.0	50.93	192.02	4907353.0	4749362.0	4823014.0	33151.0	3529.0	47659.0	0.53	0.02	1.43	0.02	1.17	2576353.0	8.69	121356.0	0.41	0.0	39.86	0.11	0	11815238	32606
PP111	34842035.0	188.0	7917134.0	22.72	189.98	3504750.0	3382350.0	3434730.0	22646.0	2789.0	44585.0	0.46	0.02	1.5	0.02	1.21	3804290.0	10.92	271562.0	0.78	0.0	65.36	0.22	0	22772398	76651
PP114	34265687.0	187.0	2644670.0	7.72	189.73	1350038.0	1313674.0	1323878.0	10535.0	1012.0	14613.0	0.48	0.02	1.5	0.02	1.24	1735262.0	5.06	135313.0	0.39	0.0	86.74	0.09	0	29719605	30837
PP116	33346984.0	180.0	5227455.0	15.68	186.58	2998255.0	2909672.0	2949262.0	21985.0	2398.0	24610.0	0.5	0.02	1.45	0.02	1.17	2634183.0	7.9	246608.0	0.74	0.0	75.45	0.24	0	25158710	80028
RSQ_041b	34370338.0	294.0	30465061.0	88.64	287.44	22222689.0	21272395.0	21938874.0	135045.0	19707.0	129063.0	0.52	0.02	1.44	0.02	1.22	1385130.0	4.03	26951.0	0.08	0.0	7.19	0.07	0	2469157	24039
RSQ_047	37300906.0	287.0	20202073.0	54.16	284.41	12578536.0	12171923.0	12401925.0	82671.0	9789.0	84151.0	0.56	0.03	1.53	0.02	1.25	2067774.0	5.54	99757.0	0.27	0.0	39.79	0.24	0	14841781	89521
RSQ_051	64194923.0	281.0	50280578.0	78.32	278.21	24687850.0	23863710.0	24279655.0	166939.0	20155.0	221101.0	0.52	0.03	1.61	0.02	1.35	5451467.0	8.49	343642.0	0.54	0.0	12.17	0.48	0	7811154	308082
RSQ_054	36179072.0	289.0	31633042.0	87.43	284.46	17810746.0	17190217.0	17576862.0	104197.0	13737.0	115950.0	0.55	0.03	1.47	0.02	1.17	1926522.0	5.32	53691.0	0.15	0.0	6.99	0.1	0	2529628	36189
RSQ_066	38271058.0	288.0	26409377.0	69.01	284.78	16530154.0	16032802.0	16220274.0	123432.0	12461.0	173987.0	0.5	0.02	1.71	0.02	1.37	2030998.0	5.31	104145.0	0.27	0.0	25.05	0.37	0	9584964	141574
