Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-3/duplicates/RSQ_051_sorted_q10_mrkDup.bam
DDX11L1	99
WASH7P	26
MIR6859-1	0
MIR1302-2HG	7
MIR1302-2	0
FAM138A	3
OR4G4P	0
OR4G11P	0
OR4F5	4
ENSG00000238009	16
ENSG00000239945	0
CICP27	8
ENSG00000268903	3
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	46
RNU6-1100P	0
ENSG00000241599	2
DDX11L17	154
WASH9P	19
MIR6859-2	0
ENSG00000228463	60
ENSG00000286448	10
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	55
WBP1LP7	8
OR4F29	0
CICP7	0
ENSG00000250575	2
U6	38
ENSG00000230021	46
ENSG00000235146	0
MTND1P23	364
MTND2P28	3719
MTCO1P12	5766
ENSG00000278791	0
MTCO2P12	187
MTATP8P1	39
MTATP6P1	55785
MTCO3P12	123
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	69
RNU6-1199P	0
ENSG00000229905	1
LINC01409	50
ENSG00000285268	0
ENSG00000230092	376
FAM87B	12
LINC01128	150
LINC00115	5
ENSG00000288531	12
FAM41C	13
TUBB8P11	0
ENSG00000283040	7
ENSG00000272438	1
ENSG00000230699	58
ENSG00000241180	0
LINC02593	8
SAMD11	6
NOC2L	366
KLHL17	19
PLEKHN1	29
PERM1	20
ENSG00000272512	4
HES4	29
ISG15	207
ENSG00000231702	0
ENSG00000224969	10
AGRN	100
ENSG00000242590	0
ENSG00000217801	8
ENSG00000273443	0
RNF223	7
C1orf159	51
ENSG00000285812	0
LINC01342	19
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	15
TTLL10-AS1	11
TTLL10	22
TNFRSF18	10
TNFRSF4	3
SDF4	530
B3GALT6	63
C1QTNF12	1
ENSG00000260179	9
UBE2J2	278
LINC01786	0
SCNN1D	5
ACAP3	92
MIR6726	0
PUSL1	12
INTS11	381
MIR6727	0
ENSG00000240731	8
CPTP	68
TAS1R3	13
DVL1	96
MIR6808	0
MXRA8	11
AURKAIP1	671
NDUFB4P8	0
CCNL2	172
MRPL20-AS1	137
MRPL20	489
RN7SL657P	0
MRPL20-DT	25
ANKRD65	10
ANKRD65-AS1	0
TMEM88B	21
LINC01770	4
VWA1	57
ATAD3C	27
ATAD3B	50
ENSG00000284740	2
ATAD3A	125
TMEM240	0
SSU72	1727
ENSG00000215014	22
ENSG00000274481	0
FNDC10	19
ENSG00000286989	16
ENSG00000272106	28
MIB2	184
MMP23B	6
CDK11B	873
ENSG00000272004	0
SLC35E2B	243
ENSG00000269737	15
MMP23A	1
CDK11A	30
ENSG00000268575	43
ENSG00000227775	12
SLC35E2A	30
NADK	764
GNB1	11152
GNB1-DT	3
CALML6	8
TMEM52	0
CFAP74	37
ENSG00000233542	2
GABRD	28
PRKCZ-DT	18
PRKCZ	126
ENSG00000271806	15
PRKCZ-AS1	11
FAAP20	199
ENSG00000234396	0
SKI	954
ENSG00000287356	9
MORN1	70
ENSG00000272161	5
ENSG00000269896	20
ENSG00000272420	3
RER1	239
PEX10	39
PLCH2	63
ENSG00000224387	8
ENSG00000229393	0
PANK4	102
HES5	1
ENSG00000272449	39
TNFRSF14-AS1	31
TNFRSF14	759
ENSG00000225931	1
ENSG00000228037	14
ENSG00000289610	1
PRXL2B	133
MMEL1	7
MMEL1-AS1	6
TTC34	29
ENSG00000285945	6
ENSG00000283259	11
ENSG00000233234	20
ENSG00000287396	4
ENSG00000231630	5
ENSG00000284745	13
ACTRT2	16
PRDM16-DT	16
PRDM16	48
MIR4251	1
ENSG00000226286	0
ENSG00000279839	26
ENSG00000272235	6
ENSG00000287828	0
ENSG00000286518	3
ARHGEF16	34
ENSG00000272088	1
MEGF6	85
MIR551A	3
ENSG00000238260	20
TPRG1L	519
WRAP73	148
TP73	42
TP73-AS3	14
TP73-AS2	0
TP73-AS1	107
ENSG00000276189	0
CCDC27	37
SMIM1	31
LRRC47	363
RN7SL574P	0
ENSG00000272153	1
CEP104	525
DFFB	116
C1orf174	581
LINC01134	28
LINC01346	21
LINC01345	7
LINC02780	34
ENSG00000284703	23
EEF1DP6	1
LINC01777	21
ENSG00000284694	19
ENSG00000227169	0
LINC01646	36
AJAP1	92
ENSG00000287586	26
ENSG00000284739	27
LINC02781	30
LINC02782	7
ENSG00000284616	33
ENSG00000284692	9
ENSG00000284666	1
ENSG00000260972	17
ENSG00000283356	1
ENSG00000236948	19
ENSG00000264341	0
MIR4689	0
NPHP4	121
KCNAB2	1065
CHD5	70
ENSG00000285629	0
RPL22	834
RNF207-AS1	0
RNF207	36
ICMT	154
ICMT-DT	26
HES3	2
GPR153	39
ACOT7	359
ENSG00000271746	9
HES2	51
ESPN	44
MIR4252	0
ENSG00000231868	0
TNFRSF25	52
PLEKHG5	49
NOL9	485
RNU6-731P	0
ENSG00000229519	0
