Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
PP035_RSeQC_readDistribution	40656406	47634115	39611529	39015440	21439693	549.52	24544196	3151442	128.4	57343407	10708048	186.74	1587580244	3460608	2.18	26098899	63101	2.42	2.48	1.84	28587031	48585	1.7	2.93	2.09	8022586	45.009113741275556	6.615934818984251	22.479787857924936	7.2649780519696865	0.1324701844465883	0.6087128941096103	0.8213902997882925	0.10199622686387687	0.7613136089544227	0.9666937236054454	16.842101506451836	96140332	90890313	101307	226854	96398306	95256052	97831	314060
PP036_RSeQC_readDistribution	25443586	29874185	20955959	39015440	9675950	248.0	24544196	1935466	78.86	57343407	3564447	62.16	1587580244	5064031	3.19	26098899	52925	2.03	1.61	1.54	28587031	43953	1.54	1.78	1.76	8918226	32.38900073759334	6.478724022094662	11.931528843380999	16.95119381499445	0.1771596446898886	0.6300690713403562	1.0986944078976548	0.14712702622682428	0.7376134277805403	1.2982412741971034	29.852616899841788	96140332	90890313	139998	135303	96398306	95256052	167483	176403
PP041_RSeQC_readDistribution	19221294	23731376	19004472	39015440	10756805	275.71	24544196	1864585	75.97	57343407	3540843	61.75	1587580244	2424970	1.53	26098899	34326	1.32	1.02	0.84	28587031	24344	0.85	1.25	1.08	4726904	45.32735480656495	7.857045457456828	14.920512826563447	10.21841295675396	0.14464395153487938	0.5052340833502448	0.7586749289211042	0.10258149379960099	0.6503036317826661	0.9996259803898434	19.918373043349867	96140332	90890313	60145	85573	96398306	95256052	82899	129982
PP043_RSeQC_readDistribution	22618099	27024227	20435553	39015440	10242612	262.53	24544196	2060481	83.95	57343407	3481449	60.71	1587580244	4043590	2.55	26098899	41413	1.59	1.4	1.3	28587031	37045	1.3	1.52	1.5	6588674	37.90159104273362	7.62456961303648	12.88269596018417	14.962833164478672	0.15324397622918132	0.6049016684177497	1.0247545655977506	0.13708070169777659	0.6980958234254027	1.2229359973922658	24.38061965657704	96140332	90890313	113462	122057	96398306	95256052	141834	151610
PP046_RSeQC_readDistribution	14280708	17183726	13464560	39015440	6910849	177.13	24544196	1282532	52.25	57343407	3267417	56.98	1587580244	1709964	1.08	26098899	26412	1.01	0.77	0.61	28587031	16184	0.57	0.87	0.75	3719166	40.217406865076875	7.463643216843657	19.014601373415754	9.951066491632838	0.15370356813184755	0.523349825294002	0.7526132574506833	0.09418213488739288	0.6243872836426745	0.9571323471987392	21.64353644838145	96140332	90890313	39396	63519	96398306	95256052	57178	91109
PP047_RSeQC_readDistribution	35073697	42889599	39188213	39015440	23660707	606.44	24544196	2822328	114.99	57343407	9920828	173.01	1587580244	1963668	1.24	26098899	49541	1.9	2.22	1.49	28587031	35793	1.25	3.56	2.29	3701386	55.16653816231762	6.580448560500647	23.131081267511966	4.578424713180461	0.1155081911584205	0.6049392068226145	0.7399229822596383	0.08345379960302264	1.0271930963961682	1.173552590221233	8.630031724008425	96140332	90890313	57894	209915	96398306	95256052	62773	404766
PP048_RSeQC_readDistribution	24287502	29442305	24455577	39015440	13161464	337.34	24544196	2243347	91.4	57343407	5453003	95.09	1587580244	3031795	1.91	26098899	44281	1.7	1.49	1.26	28587031	33224	1.16	1.61	1.35	4986728	44.70255980297738	7.619467973040833	18.520978571480732	10.297410477882082	0.15039922995159516	0.5918048875589055	0.9123776144564768	0.11284442573365094	0.6765265151624508	1.0099175319323674	16.937288028230128	96140332	90890313	94384	129960	96398306	95256052	98158	165961
PP049_RSeQC_readDistribution	31229803	38548879	30103416	39015440	18532436	475.0	24544196	2725549	111.05	57343407	5773656	100.69	1587580244	2634093	1.66	26098899	54092	2.07	1.32	1.01	28587031	33469	1.17	1.26	1.01	8445463	48.075161926239154	7.070371618329031	14.97749389807159	6.833124771280638	0.1403205525120458	0.39964586259434415	0.5596686741526258	0.08682223937043668	0.4052595148097562	0.5757262098334948	21.90845290209347	96140332	90890313	61687	99967	96398306	95256052	65713	122754
PP050_RSeQC_readDistribution	18459395	22868764	16928178	39015440	10119902	259.38	24544196	1824413	74.33	57343407	2778963	48.46	1587580244	1977158	1.25	26098899	28525	1.09	0.58	0.46	28587031	14492	0.51	0.61	0.58	5940586	44.252072390095066	7.977750787056091	12.151784853785715	8.645670574937938	0.12473345739192551	0.2984813696096562	0.4333378052263778	0.06337028096490042	0.33059941499243245	0.562527122147922	25.976856466750892	96140332	90890313	30840	39734	96398306	95256052	53039	61112
PP055_RSeQC_readDistribution	39119159	48247461	44071049	39015440	24245615	621.44	24544196	4354315	177.41	57343407	12269474	213.96	1587580244	2549948	1.61	26098899	49542	1.9	1.87	1.4	28587031	39550	1.38	2.3	1.61	4176412	50.25262365619613	9.024961956029147	25.430299845208438	5.285144434854303	0.1026831235741089	0.4546000876605714	0.6164200018732592	0.08197322549263265	0.5898921810621288	0.7343184338757225	8.656231671963008	96140332	90890313	78074	169791	96398306	95256052	69682	245058
PP058_RSeQC_readDistribution	17260825	21311561	17831334	39015440	10159617	260.4	24544196	2065833	84.17	57343407	3931430	68.56	1587580244	1433923	0.9	26098899	22528	0.86	0.69	0.5	28587031	14599	0.51	0.79	0.61	3480227	47.67185754248598	9.693485146395425	18.447405143152114	6.72838090086409	0.10570788315318619	0.3774570994588336	0.4985228440094088	0.06850272488251799	0.4601680749711389	0.6301180847334459	16.33023033835954	96140332	90890313	25801	57914	96398306	95256052	36219	83470
PP060_RSeQC_readDistribution	15345899	18437451	14318272	39015440	7164082	183.62	24544196	1258686	51.28	57343407	2837015	49.47	1587580244	2639554	1.66	26098899	31828	1.22	1.0	0.9	28587031	25941	0.91	1.11	1.04	4119179	38.85614123123636	6.826789668485085	15.387240893548679	14.316263132034901	0.1726268994558955	0.6335962601337897	1.0347688517246771	0.1406973230735637	0.7459382536121723	1.237427017433158	22.34136920553714	96140332	90890313	73966	84991	96398306	95256052	90618	111591
PP061_RSeQC_readDistribution	35397256	42860561	37091923	39015440	19831842	508.31	24544196	3279508	133.62	57343407	7649870	133.4	1587580244	5550409	3.5	26098899	66420	2.54	2.23	1.7	28587031	55387	1.94	2.48	1.89	5768638	46.27060761057234	7.651575069211063	17.848273147894634	12.949921490761634	0.15496764029756868	0.6098963566995774	0.8477653850587723	0.12922602669619745	0.7173447869709405	0.9727754146755103	13.459081881826046	96140332	90890313	101952	194985	96398306	95256052	109479	252071
PP062_RSeQC_readDistribution	56264698	69773814	62053734	39015440	37569862	962.95	24544196	5166367	210.49	57343407	14218250	247.95	1587580244	3942839	2.48	26098899	81375	3.12	3.37	2.48	28587031	69669	2.44	4.05	2.85	7720080	53.845217634225925	7.404449755319381	20.37763049616293	5.65088644860377	0.11662684800346444	0.5649841644029951	0.7562478955213771	0.09984978032016424	0.7182092697412241	0.9011303294958192	11.064437440670794	96140332	90890313	133452	312836	96398306	95256052	127631	431453
PP073_RSeQC_readDistribution	13411593	15125392	8942428	39015440	3593114	92.09	24544196	1215704	49.53	57343407	2248798	39.22	1587580244	1719041	1.08	26098899	19288	0.74	0.45	0.36	28587031	9603	0.34	0.47	0.41	6182964	23.75550993984156	8.03750408584452	14.86770061893272	11.365265772946579	0.1275206619438359	0.34525386185032425	0.5024266478515069	0.06348926361710162	0.3877254883708138	0.5935515588620778	40.87804137572104	96140332	90890313	23773	32933	96398306	95256052	31132	49042
PP074_RSeQC_readDistribution	16308579	19414294	16729826	39015440	9557695	244.97	24544196	1096263	44.66	57343407	4613712	80.46	1587580244	1118401	0.7	26098899	22035	0.84	1.03	0.67	28587031	15549	0.54	1.43	0.91	2684468	49.23019606069631	5.646679709290485	23.764510828979926	5.760709094031439	0.11349884780770293	0.6182712593102794	0.7399444965652627	0.08009047354490459	0.9136052024348658	1.0306838868310122	13.827275923605567	96140332	90890313	23622	97998	96398306	95256052	22730	161821
PP075_RSeQC_readDistribution	18341524	21289974	16354630	39015440	7417644	190.12	24544196	1401413	57.1	57343407	5225196	91.12	1587580244	1935915	1.22	26098899	30316	1.16	1.03	0.76	28587031	18017	0.63	1.29	0.96	4935344	34.84101953341982	6.582502167452153	24.5429891083944	9.093082969476619	0.14239566473871693	0.5665812461771912	0.76186565563678	0.08462668859999548	0.7512785125994048	0.9969998084544397	23.18154075716579	96140332	90890313	41576	90309	96398306	95256052	52314	141930
PP078_RSeQC_readDistribution	42898226	51519690	42926845	39015440	22740797	582.87	24544196	4307689	175.51	57343407	11533457	201.13	1587580244	3597413	2.27	26098899	70980	2.72	2.07	1.56	28587031	41106	1.44	2.68	1.88	8592845	44.1400113238259	8.361247903471469	22.386503102017887	6.9825983036776815	0.13777256811910166	0.46949040260141317	0.6472787394489369	0.07978697076787535	0.6453125009098463	0.8036014968257766	16.67875913073235	96140332	90890313	91596	170900	96398306	95256052	81550	291357
PP084_RSeQC_readDistribution	66760806	69939041	32642901	39015440	6157970	157.83	24544196	3554981	144.84	57343407	7417997	129.36	1587580244	13661514	8.61	26098899	174331	6.68	4.15	3.7	28587031	93158	3.26	5.94	4.82	37296140	8.80476756894622	5.0829707544888985	10.606375057387476	19.533459144800112	0.24926135318326711	0.693399556336496	1.1273445971328089	0.1331988524120598	1.0521762801980656	1.518443754468981	53.3266391227755	96140332	90890313	303497	310626	96398306	95256052	326103	642724
PP087_RSeQC_readDistribution	8214462	9660999	7740055	39015440	3928718	100.7	24544196	754859	30.76	57343407	1789783	31.21	1587580244	1045963	0.66	26098899	14808	0.57	0.58	0.47	28587031	12134	0.42	0.7	0.54	1920944	40.66575309654829	7.813467323617361	18.525858454182636	10.82665467618825	0.15327607424449582	0.7079081573241028	1.0473347528552688	0.12559777720709833	0.8951351718388543	1.237439316575853	19.883492380032333	96140332	90890313	32792	53583	96398306	95256052	33070	74345
