Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
PP035_libComplexityPicard	Unknown	0.0	18241958.0	0.0	0.0	0.0	11942837.0	110.0	0.654691	6752164.0
PP035_sorted_q10	Unknown Library	0.0	15092580.0	0.0	0.0	0.0	12111170.0	2072.0	0.802459	3001065.0
PP036_libComplexityPicard	Unknown	0.0	10850767.0	0.0	0.0	0.0	8271745.0	70.0	0.762319	2620738.0
PP036_sorted_q10	Unknown Library	0.0	7722559.0	0.0	0.0	0.0	6608677.0	541.0	0.855763	1114977.0
PP041_libComplexityPicard	Unknown	0.0	8694969.0	0.0	0.0	0.0	6090512.0	42.0	0.700464	2714812.0
PP041_sorted_q10	Unknown Library	0.0	6736934.0	0.0	0.0	0.0	5486388.0	539.0	0.814375	1256443.0
PP043_libComplexityPicard	Unknown	0.0	10013071.0	0.0	0.0	0.0	7693661.0	71.0	0.768362	2352775.0
PP043_sorted_q10	Unknown Library	0.0	7605818.0	0.0	0.0	0.0	6607931.0	973.0	0.8688	998378.0
PP046_libComplexityPicard	Unknown	0.0	6565721.0	0.0	0.0	0.0	4597083.0	35.0	0.700164	2052375.0
PP046_sorted_q10	Unknown Library	0.0	4735354.0	0.0	0.0	0.0	3908080.0	276.0	0.825298	830038.0
PP047_libComplexityPicard	Unknown	0.0	16639354.0	0.0	0.0	0.0	10642582.0	64.0	0.639603	6499044.0
PP047_sorted_q10	Unknown Library	0.0	14844895.0	0.0	0.0	0.0	11862634.0	1394.0	0.799105	3003714.0
PP048_libComplexityPicard	Unknown	0.0	11184330.0	0.0	0.0	0.0	7917296.0	48.0	0.707892	3392577.0
PP048_sorted_q10	Unknown Library	0.0	9134221.0	0.0	0.0	0.0	7560553.0	866.0	0.827717	1578514.0
PP049_libComplexityPicard	Unknown	0.0	12590980.0	0.0	0.0	0.0	11146428.0	267.0	0.885271	1444789.0
PP049_sorted_q10	Unknown Library	0.0	10672682.0	0.0	0.0	0.0	10142634.0	1201.0	0.950336	530048.0
PP050_libComplexityPicard	Unknown	0.0	7757555.0	0.0	0.0	0.0	6076365.0	112.0	0.783284	1698852.0
PP050_sorted_q10	Unknown Library	0.0	5474343.0	0.0	0.0	0.0	4816687.0	640.0	0.879866	657816.0
PP055_libComplexityPicard	Unknown	0.0	18366938.0	0.0	0.0	0.0	13701616.0	112.0	0.745993	4766406.0
PP055_sorted_q10	Unknown Library	0.0	16486262.0	0.0	0.0	0.0	14407815.0	3446.0	0.873929	2079196.0
PP058_libComplexityPicard	Unknown	0.0	7814649.0	0.0	0.0	0.0	5771678.0	68.0	0.738572	2093004.0
PP058_sorted_q10	Unknown Library	0.0	6161698.0	0.0	0.0	0.0	5229425.0	1039.0	0.848699	933543.0
PP060_libComplexityPicard	Unknown	0.0	6846332.0	0.0	0.0	0.0	4747178.0	61.0	0.69339	2196434.0
PP060_sorted_q10	Unknown Library	0.0	5411698.0	0.0	0.0	0.0	4406834.0	247.0	0.814316	1009610.0
PP061_libComplexityPicard	Unknown	0.0	16150240.0	0.0	0.0	0.0	11855435.0	138.0	0.734072	4407774.0
PP061_sorted_q10	Unknown Library	0.0	13970992.0	0.0	0.0	0.0	11860696.0	1134.0	0.848952	2113139.0
PP062_libComplexityPicard	Unknown	0.0	25570813.0	0.0	0.0	0.0	21434877.0	319.0	0.838256	4144606.0
PP062_sorted_q10	Unknown Library	0.0	23166699.0	0.0	0.0	0.0	21447714.0	2990.0	0.925799	1718987.0
PP073_libComplexityPicard	Unknown	0.0	5144399.0	0.0	0.0	0.0	3411537.0	71.0	0.663156	1846802.0
PP073_sorted_q10	Unknown Library	0.0	2738485.0	0.0	0.0	0.0	2171452.0	215.0	0.792939	571791.0
PP074_libComplexityPicard	Unknown	0.0	7701368.0	0.0	0.0	0.0	4279434.0	61.0	0.555672	4009159.0
PP074_sorted_q10	Unknown Library	0.0	6158905.0	0.0	0.0	0.0	4619895.0	341.0	0.750116	1570086.0
PP075_libComplexityPicard	Unknown	0.0	8481505.0	0.0	0.0	0.0	5882018.0	57.0	0.693511	2719771.0
PP075_sorted_q10	Unknown Library	0.0	5955590.0	0.0	0.0	0.0	4977717.0	409.0	0.835806	980124.0
PP078_libComplexityPicard	Unknown	0.0	19758769.0	0.0	0.0	0.0	11998317.0	124.0	0.60724	8637190.0
PP078_sorted_q10	Unknown Library	0.0	15417041.0	0.0	0.0	0.0	11890363.0	2737.0	0.771248	3574592.0
PP084_sorted_q10	Unknown Library	0.0	11690725.0	0.0	0.0	0.0	9296973.0	5035.0	0.795243	2412767.0
PP087_libComplexityPicard	Unknown	0.0	3829646.0	0.0	0.0	0.0	2041754.0	14.0	0.533144	2150038.0
PP087_sorted_q10	Unknown Library	0.0	2988692.0	0.0	0.0	0.0	2018662.0	103.0	0.675433	1025698.0
