Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/duplicates/RSQ_177_sorted_q10_mrkDup.bam
DDX11L1	66
WASH7P	0
MIR6859-1	0
MIR1302-2HG	22
MIR1302-2	0
FAM138A	4
OR4G4P	10
OR4G11P	0
OR4F5	0
ENSG00000238009	4
ENSG00000239945	0
CICP27	1
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	4
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	25
WASH9P	17
MIR6859-2	0
ENSG00000228463	19
ENSG00000286448	5
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	19
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	12
ENSG00000230021	14
ENSG00000235146	0
MTND1P23	84
MTND2P28	1662
MTCO1P12	3342
ENSG00000278791	0
MTCO2P12	30
MTATP8P1	10
MTATP6P1	27615
MTCO3P12	38
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	26
RNU6-1199P	0
ENSG00000229905	0
LINC01409	33
ENSG00000285268	0
ENSG00000230092	177
FAM87B	36
LINC01128	116
LINC00115	0
ENSG00000288531	31
FAM41C	1
TUBB8P11	4
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	3
ENSG00000241180	0
LINC02593	0
SAMD11	13
NOC2L	263
KLHL17	2
PLEKHN1	0
PERM1	0
ENSG00000272512	11
HES4	15
ISG15	198
ENSG00000231702	0
ENSG00000224969	0
AGRN	8
ENSG00000242590	0
ENSG00000217801	6
ENSG00000273443	0
RNF223	2
C1orf159	8
ENSG00000285812	9
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	2
TTLL10-AS1	0
TTLL10	2
TNFRSF18	6
TNFRSF4	53
SDF4	357
B3GALT6	33
C1QTNF12	0
ENSG00000260179	2
UBE2J2	285
LINC01786	0
SCNN1D	2
ACAP3	185
MIR6726	0
PUSL1	49
INTS11	302
MIR6727	0
ENSG00000240731	2
CPTP	103
TAS1R3	1
DVL1	18
MIR6808	0
MXRA8	0
AURKAIP1	791
NDUFB4P8	5
CCNL2	110
MRPL20-AS1	68
MRPL20	214
RN7SL657P	0
MRPL20-DT	1
ANKRD65	10
ANKRD65-AS1	8
TMEM88B	15
LINC01770	0
VWA1	52
ATAD3C	3
ATAD3B	78
ENSG00000284740	0
ATAD3A	151
TMEM240	0
SSU72	1159
ENSG00000215014	0
ENSG00000274481	0
FNDC10	0
ENSG00000286989	0
ENSG00000272106	23
MIB2	187
MMP23B	0
CDK11B	821
ENSG00000272004	0
SLC35E2B	159
ENSG00000269737	25
MMP23A	0
CDK11A	10
ENSG00000268575	2
ENSG00000227775	19
SLC35E2A	21
NADK	656
GNB1	9102
GNB1-DT	1
CALML6	3
TMEM52	4
CFAP74	89
ENSG00000233542	1
GABRD	10
PRKCZ-DT	1
PRKCZ	159
ENSG00000271806	6
PRKCZ-AS1	4
FAAP20	134
ENSG00000234396	0
SKI	571
ENSG00000287356	13
MORN1	2
ENSG00000272161	0
ENSG00000269896	10
ENSG00000272420	1
RER1	170
PEX10	4
PLCH2	41
ENSG00000224387	5
ENSG00000229393	0
PANK4	79
HES5	0
ENSG00000272449	1
TNFRSF14-AS1	31
TNFRSF14	337
ENSG00000225931	37
ENSG00000228037	24
ENSG00000289610	0
PRXL2B	85
MMEL1	31
MMEL1-AS1	0
TTC34	22
ENSG00000285945	4
ENSG00000283259	1
ENSG00000233234	28
ENSG00000287396	7
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	7
PRDM16-DT	2
PRDM16	52
MIR4251	0
ENSG00000226286	1
ENSG00000279839	3
ENSG00000272235	4
ENSG00000287828	0
ENSG00000286518	10
ARHGEF16	4
ENSG00000272088	7
MEGF6	51
MIR551A	0
ENSG00000238260	9
TPRG1L	466
WRAP73	43
TP73	6
TP73-AS3	1
TP73-AS2	4
TP73-AS1	91
ENSG00000276189	0
CCDC27	3
SMIM1	54
LRRC47	334
RN7SL574P	0
ENSG00000272153	1
CEP104	448
DFFB	71
C1orf174	192
LINC01134	13
LINC01346	3
LINC01345	9
LINC02780	0
ENSG00000284703	13
EEF1DP6	0
LINC01777	12
ENSG00000284694	18
ENSG00000227169	0
LINC01646	3
AJAP1	44
ENSG00000287586	0
ENSG00000284739	6
LINC02781	17
LINC02782	0
ENSG00000284616	24
ENSG00000284692	7
ENSG00000284666	0
ENSG00000260972	18
ENSG00000283356	0
ENSG00000236948	1
ENSG00000264341	0
MIR4689	0
NPHP4	103
KCNAB2	720
CHD5	71
ENSG00000285629	1
RPL22	391
RNF207-AS1	0
RNF207	9
ICMT	157
ICMT-DT	14
HES3	0
GPR153	20
ACOT7	312
ENSG00000271746	1
HES2	7
ESPN	192
MIR4252	0
ENSG00000231868	1
TNFRSF25	0
PLEKHG5	12
NOL9	284
RNU6-731P	0
ENSG00000229519	0
TAS1R1	2
ZBTB48	35
KLHL21	56
PHF13	24
THAP3	104
DNAJC11	255
LINC01672	3
ENSG00000284744	12
CAMTA1-DT	0
CAMTA1	2059
ENSG00000227950	1
ENSG00000237365	0
RNU1-8P	0
CAMTA1-IT1	4
CAMTA1-AS2	0
CAMTA1-AS1	0
ENSG00000270171	28
ENSG00000270035	3
ENSG00000269978	0
VAMP3	2789
ENSG00000269925	0
PER3	192
ENSG00000236266	0
UTS2	2
TNFRSF9	25
ENSG00000270330	0
PARK7	2008
Y_RNA	1041
ENSG00000284747	2
ENSG00000284716	0
ERRFI1	85
ERRFI1-DT	1
ENSG00000232848	2
ENSG00000229305	4
ENSG00000288816	2
LINC01714	1
RNU1-7P	2
ENSG00000233645	19
RNU6-991P	2
SLC45A1	8
RERE	2087
RERE-AS1	11
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	5
RPL7P7	2
ENSG00000226545	0
ENSG00000228423	2
RPL23AP19	0
ENO1	4999
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	0
ENSG00000232208	0
ENSG00000232663	4
CA6	10
RN7SL451P	0
SLC2A7	6
SLC2A5	11
ENSG00000252404	0
GPR157	12
MIR34AHG	16
MIR34A	0
LNCTAM34A	7
H6PD	57
SPSB1	43
ENSG00000284652	0
LINC02606	11
RNA5SP40	0
ENSG00000235263	0
SLC25A33	61
ENSG00000231181	0
TMEM201	23
PIK3CD	1242
PIK3CD-AS1	6
ENSG00000233268	0
PIK3CD-AS2	7
CLSTN1	166
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	399
ENSG00000223989	0
ENSG00000285701	7
LZIC	2210
ENSG00000228150	0
NMNAT1	174
RN7SKP269	16
TMEM274P	11
MIR5697	0
ENSG00000241326	0
RBP7	513
UBE4B	588
ENSG00000224340	3
PGAM1P11	0
RNU6-828P	1
KIF1B	1003
ENSG00000264881	0
RNU6-37P	0
RN7SL731P	0
ENSG00000284735	16
ENSG00000284642	52
PGD	2355
ENSG00000271989	0
CENPS-CORT	0
CENPS	0
CORT	0
DFFA	183
ENSG00000203469	0
PEX14	82
ENSG00000287727	3
RN7SL614P	0
CASZ1	50
ENSG00000272078	12
HSPE1P24	0
C1orf127	29
CFL1P6	0
TARDBP	540
MASP2	15
SRM	360
EXOSC10	794
ENSG00000226849	6
EXOSC10-AS1	3
MTOR	541
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	4
RNU6-291P	0
RPL39P6	0
UBIAD1	47
UBE2V2P3	2
ENSG00000284646	0
MTCYBP45	0
DISP3	0
ENSG00000285833	0
LINC01647	5
ENSG00000284708	2
FBXO2	34
FBXO44	127
FBXO6	26
MAD2L2	370
DRAXIN	38
AGTRAP	25
C1orf167	13
C1orf167-AS1	0
MTHFR	221
CLCN6	164
ENSG00000276470	0
ENSG00000278852	0
NPPA	9
ENSG00000275915	0
NPPB	0
SBF1P2	1
ENSG00000285646	2
RNU5E-1	0
RNU5E-4P	0
KIAA2013	116
PLOD1	132
ENSG00000287384	8
MFN2	1339
ENSG00000270914	0
MIIP	70
MIR6729	0
RN7SL649P	0
TNFRSF8	13
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	1
MIR7846	0
TNFRSF1B	176
MIR4632	0
RPL10P17	0
SNORA70	32
VPS13D	1079
SNORA59A	1
LINC02766	0
DHRS3	339
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	27
ENSG00000272482	0
AADACL4	11
ENSG00000226166	0
AADACL3	16
CFAP107	8
PRAMEF12	7
PRAMEF1	0
LINC01784	0
PRAMEF11	9
PRAMEF30P	0
HNRNPCL1	0
PRAMEF2	0
PRAMEF4	1
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	9
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	2
PRAMEF36P	0
ENSG00000233336	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	3
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	6
ENSG00000228229	7
PRAMEF14	3
PRAMEF19	0
PRAMEF17	5
PRAMEF20	9
LRRC38	2
ENSG00000259961	0
BRWD1P1	0
PDPN	25
RNA5SP41	0
ENSG00000237445	0
ENSG00000253085	0
PRDM2	2120
ENSG00000289380	0
KAZN	97
RNU6-1265P	0
ENSG00000231606	2
KAZN-AS1	56
TBCAP2	0
ENSG00000287756	1
TMEM51-AS1	17
TMEM51	0
TMEM51-AS2	0
MFFP1	0
ZBTB2P1	0
FHAD1	78
FHAD1-AS1	3
ENSG00000236045	1
EFHD2-AS1	20
EFHD2	5418
CTRC	28
CELA2A	0
CELA2B	3
CASP9	494
DNAJC16	1690
SCARNA21B	0
ENSG00000272510	0
AGMAT	43
ENSG00000237301	2
CHCHD2P6	0
RNU7-179P	0
CD24P1	2
