Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/duplicates/RSQ_160b_sorted_q10_mrkDup.bam
DDX11L1	149
WASH7P	8
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	4
ENSG00000269981	10
ENSG00000239906	6
ENSG00000241860	5
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	239
WASH9P	7
MIR6859-2	0
ENSG00000228463	105
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	151
WBP1LP7	0
OR4F29	0
CICP7	1
ENSG00000250575	0
U6	2
ENSG00000230021	24
ENSG00000235146	0
MTND1P23	244
MTND2P28	3601
MTCO1P12	2718
ENSG00000278791	0
MTCO2P12	109
MTATP8P1	14
MTATP6P1	52165
MTCO3P12	73
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	33
RNU6-1199P	0
ENSG00000229905	0
LINC01409	3
ENSG00000285268	0
ENSG00000230092	403
FAM87B	0
LINC01128	67
LINC00115	3
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	1
ENSG00000241180	0
LINC02593	0
SAMD11	0
NOC2L	270
KLHL17	3
PLEKHN1	4
PERM1	3
ENSG00000272512	0
HES4	39
ISG15	175
ENSG00000231702	0
ENSG00000224969	3
AGRN	20
ENSG00000242590	0
ENSG00000217801	2
ENSG00000273443	0
RNF223	0
C1orf159	30
ENSG00000285812	0
LINC01342	2
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	20
SDF4	643
B3GALT6	37
C1QTNF12	0
ENSG00000260179	2
UBE2J2	299
LINC01786	0
SCNN1D	1
ACAP3	15
MIR6726	0
PUSL1	10
INTS11	214
MIR6727	0
ENSG00000240731	0
CPTP	36
TAS1R3	0
DVL1	55
MIR6808	0
MXRA8	4
AURKAIP1	262
NDUFB4P8	0
CCNL2	70
MRPL20-AS1	19
MRPL20	210
RN7SL657P	0
MRPL20-DT	2
ANKRD65	19
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	6
