Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-3/duplicates_rm/PP098_sorted_q10_rmDup.bam
DDX11L1	7
WASH7P	3
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	1
ENSG00000238009	1
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	1
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	15
WASH9P	0
MIR6859-2	0
ENSG00000228463	2
ENSG00000286448	1
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	3
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	0
ENSG00000230021	1
ENSG00000235146	0
MTND1P23	12
MTND2P28	167
MTCO1P12	46
ENSG00000278791	0
MTCO2P12	4
MTATP8P1	2
MTATP6P1	540
MTCO3P12	0
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	5
RNU6-1199P	0
ENSG00000229905	0
LINC01409	0
ENSG00000285268	0
ENSG00000230092	22
FAM87B	1
LINC01128	17
LINC00115	0
ENSG00000288531	2
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	2
ENSG00000241180	0
LINC02593	0
SAMD11	1
NOC2L	36
KLHL17	0
PLEKHN1	0
PERM1	0
ENSG00000272512	0
HES4	5
ISG15	27
ENSG00000231702	0
ENSG00000224969	0
AGRN	1
ENSG00000242590	0
ENSG00000217801	3
ENSG00000273443	0
RNF223	2
C1orf159	6
ENSG00000285812	0
LINC01342	1
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	1
SDF4	47
B3GALT6	7
C1QTNF12	0
ENSG00000260179	0
UBE2J2	30
LINC01786	0
SCNN1D	1
ACAP3	12
MIR6726	0
PUSL1	5
INTS11	52
MIR6727	0
ENSG00000240731	0
CPTP	12
TAS1R3	2
DVL1	4
MIR6808	0
MXRA8	3
AURKAIP1	59
NDUFB4P8	0
CCNL2	12
MRPL20-AS1	6
MRPL20	49
RN7SL657P	0
MRPL20-DT	1
ANKRD65	1
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	1
ATAD3C	5
ATAD3B	10
ENSG00000284740	0
ATAD3A	13
TMEM240	1
SSU72	175
ENSG00000215014	0
ENSG00000274481	0
FNDC10	3
ENSG00000286989	0
ENSG00000272106	0
MIB2	20
MMP23B	1
CDK11B	90
ENSG00000272004	0
SLC35E2B	22
ENSG00000269737	0
MMP23A	0
CDK11A	4
ENSG00000268575	2
ENSG00000227775	4
SLC35E2A	5
NADK	100
GNB1	591
GNB1-DT	0
CALML6	1
TMEM52	0
CFAP74	3
ENSG00000233542	1
GABRD	1
PRKCZ-DT	0
PRKCZ	20
ENSG00000271806	3
PRKCZ-AS1	1
FAAP20	24
ENSG00000234396	0
SKI	56
ENSG00000287356	0
MORN1	1
ENSG00000272161	0
ENSG00000269896	2
ENSG00000272420	0
RER1	19
PEX10	5
PLCH2	5
ENSG00000224387	0
ENSG00000229393	3
PANK4	7
HES5	0
ENSG00000272449	3
TNFRSF14-AS1	1
TNFRSF14	85
ENSG00000225931	0
ENSG00000228037	2
ENSG00000289610	1
PRXL2B	31
MMEL1	3
MMEL1-AS1	0
TTC34	5
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	1
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	6
PRDM16	12
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	2
ENSG00000287828	0
ENSG00000286518	2
ARHGEF16	1
ENSG00000272088	0
MEGF6	2
MIR551A	0
ENSG00000238260	1
TPRG1L	43
WRAP73	9
TP73	1
TP73-AS3	0
TP73-AS2	0
TP73-AS1	11
ENSG00000276189	0
CCDC27	0
SMIM1	14
LRRC47	32
RN7SL574P	0
ENSG00000272153	2
CEP104	35
DFFB	5
C1orf174	28
LINC01134	2
LINC01346	5
LINC01345	1
LINC02780	1
ENSG00000284703	1
EEF1DP6	0
LINC01777	1
ENSG00000284694	0
ENSG00000227169	0
LINC01646	3
AJAP1	3
ENSG00000287586	2
ENSG00000284739	1
LINC02781	0
LINC02782	0
ENSG00000284616	3
