Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-3/duplicates_rm/RSQ_054_sorted_q10_rmDup.bam
DDX11L1	228
WASH7P	5
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	2
ENSG00000239945	0
CICP27	0
ENSG00000268903	2
ENSG00000269981	0
ENSG00000239906	1
ENSG00000241860	3
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	114
WASH9P	6
MIR6859-2	0
ENSG00000228463	0
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	35
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	0
ENSG00000230021	2
ENSG00000235146	0
MTND1P23	142
MTND2P28	2109
MTCO1P12	1884
ENSG00000278791	0
MTCO2P12	89
MTATP8P1	22
MTATP6P1	6838
MTCO3P12	83
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	7
RNU6-1199P	0
ENSG00000229905	0
LINC01409	3
ENSG00000285268	0
ENSG00000230092	66
FAM87B	0
LINC01128	15
LINC00115	2
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	1
ENSG00000241180	0
LINC02593	0
SAMD11	0
NOC2L	41
KLHL17	0
PLEKHN1	0
PERM1	1
ENSG00000272512	0
HES4	4
ISG15	39
ENSG00000231702	0
ENSG00000224969	0
AGRN	1
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	0
C1orf159	1
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	1
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	1
SDF4	128
B3GALT6	3
C1QTNF12	0
ENSG00000260179	0
UBE2J2	46
LINC01786	0
SCNN1D	0
ACAP3	5
MIR6726	0
PUSL1	0
INTS11	26
MIR6727	0
ENSG00000240731	1
CPTP	22
TAS1R3	0
DVL1	4
MIR6808	0
MXRA8	0
AURKAIP1	71
NDUFB4P8	0
CCNL2	17
MRPL20-AS1	4
MRPL20	44
RN7SL657P	0
MRPL20-DT	0
ANKRD65	0
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	3
ATAD3C	2
ATAD3B	6
ENSG00000284740	0
ATAD3A	8
TMEM240	0
SSU72	211
ENSG00000215014	1
ENSG00000274481	0
FNDC10	5
ENSG00000286989	1
ENSG00000272106	4
MIB2	13
MMP23B	0
CDK11B	109
ENSG00000272004	0
SLC35E2B	66
ENSG00000269737	0
MMP23A	0
CDK11A	3
ENSG00000268575	4
ENSG00000227775	4
SLC35E2A	12
NADK	73
GNB1	3205
GNB1-DT	0
CALML6	0
TMEM52	0
CFAP74	4
ENSG00000233542	0
GABRD	3
PRKCZ-DT	0
PRKCZ	1
ENSG00000271806	0
PRKCZ-AS1	0
FAAP20	25
ENSG00000234396	0
SKI	173
ENSG00000287356	0
MORN1	2
ENSG00000272161	0
ENSG00000269896	0
ENSG00000272420	1
RER1	44
PEX10	11
PLCH2	2
ENSG00000224387	0
ENSG00000229393	0
PANK4	10
HES5	0
ENSG00000272449	16
TNFRSF14-AS1	2
TNFRSF14	133
ENSG00000225931	10
ENSG00000228037	2
ENSG00000289610	0
PRXL2B	46
MMEL1	0
MMEL1-AS1	0
TTC34	0
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	0
PRDM16	0
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
