Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-3/duplicates_rm/RSQ_065_sorted_q10_rmDup.bam
DDX11L1	53
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	2
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	2
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	5
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	54
WASH9P	1
MIR6859-2	0
ENSG00000228463	12
ENSG00000286448	0
RPL23AP24	1
ENSG00000236601	0
ENSG00000237094	4
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	1
ENSG00000230021	3
ENSG00000235146	0
MTND1P23	53
MTND2P28	607
MTCO1P12	313
ENSG00000278791	0
MTCO2P12	19
MTATP8P1	3
MTATP6P1	2099
MTCO3P12	16
WBP1LP6	0
OR4F16	0
CICP3	1
ENSG00000228327	7
RNU6-1199P	0
ENSG00000229905	0
LINC01409	6
ENSG00000285268	0
ENSG00000230092	5
FAM87B	3
LINC01128	15
LINC00115	1
ENSG00000288531	6
FAM41C	1
TUBB8P11	0
ENSG00000283040	1
ENSG00000272438	1
ENSG00000230699	1
ENSG00000241180	0
LINC02593	6
SAMD11	4
NOC2L	30
KLHL17	0
PLEKHN1	3
PERM1	3
ENSG00000272512	0
HES4	2
ISG15	8
ENSG00000231702	0
ENSG00000224969	0
AGRN	22
ENSG00000242590	0
ENSG00000217801	1
ENSG00000273443	0
RNF223	1
C1orf159	5
ENSG00000285812	2
LINC01342	2
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	1
TTLL10-AS1	0
TTLL10	2
TNFRSF18	3
TNFRSF4	2
SDF4	25
B3GALT6	3
C1QTNF12	1
ENSG00000260179	1
UBE2J2	20
LINC01786	0
SCNN1D	1
ACAP3	7
MIR6726	0
PUSL1	0
INTS11	31
MIR6727	0
ENSG00000240731	0
CPTP	7
TAS1R3	1
DVL1	2
MIR6808	0
MXRA8	4
AURKAIP1	17
NDUFB4P8	0
CCNL2	7
MRPL20-AS1	4
MRPL20	9
RN7SL657P	0
MRPL20-DT	2
ANKRD65	2
ANKRD65-AS1	0
TMEM88B	3
LINC01770	1
VWA1	2
ATAD3C	3
ATAD3B	1
ENSG00000284740	0
ATAD3A	11
TMEM240	4
SSU72	73
ENSG00000215014	2
ENSG00000274481	0
FNDC10	3
ENSG00000286989	0
ENSG00000272106	1
MIB2	9
MMP23B	0
CDK11B	36
ENSG00000272004	0
SLC35E2B	6
ENSG00000269737	3
MMP23A	0
CDK11A	0
ENSG00000268575	2
ENSG00000227775	1
SLC35E2A	5
NADK	37
GNB1	804
GNB1-DT	0
CALML6	2
TMEM52	0
CFAP74	19
ENSG00000233542	0
GABRD	7
PRKCZ-DT	0
PRKCZ	11
ENSG00000271806	3
PRKCZ-AS1	1
FAAP20	20
ENSG00000234396	0
SKI	74
ENSG00000287356	4
MORN1	8
ENSG00000272161	1
ENSG00000269896	1
ENSG00000272420	0
RER1	14
PEX10	1
PLCH2	8
ENSG00000224387	0
ENSG00000229393	0
PANK4	9
HES5	1
ENSG00000272449	5
TNFRSF14-AS1	4
TNFRSF14	29
ENSG00000225931	2
ENSG00000228037	3
ENSG00000289610	0
PRXL2B	13
MMEL1	8
MMEL1-AS1	0
TTC34	6
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	3
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	2
PRDM16-DT	7
PRDM16	8
MIR4251	0
ENSG00000226286	0
ENSG00000279839	1
ENSG00000272235	1
ENSG00000287828	0
ENSG00000286518	0
ARHGEF16	5
ENSG00000272088	2
MEGF6	14
MIR551A	0
ENSG00000238260	1
TPRG1L	31
WRAP73	10
TP73	8
TP73-AS3	0
TP73-AS2	1
TP73-AS1	13
ENSG00000276189	0
CCDC27	2
SMIM1	5
LRRC47	14
RN7SL574P	0
ENSG00000272153	0
CEP104	41
DFFB	4
C1orf174	30
LINC01134	4
LINC01346	2
LINC01345	0
LINC02780	1
ENSG00000284703	2
EEF1DP6	1
LINC01777	4
ENSG00000284694	6
ENSG00000227169	1
LINC01646	3
AJAP1	6
ENSG00000287586	2
ENSG00000284739	1
LINC02781	3
LINC02782	0
ENSG00000284616	2
ENSG00000284692	0
ENSG00000284666	0
ENSG00000260972	1
ENSG00000283356	2
ENSG00000236948	0
ENSG00000264341	1
MIR4689	0
NPHP4	11
KCNAB2	64
CHD5	14
ENSG00000285629	1
RPL22	32
RNF207-AS1	0
RNF207	4
ICMT	10
ICMT-DT	0
HES3	0
GPR153	4
ACOT7	62
ENSG00000271746	0
HES2	3
ESPN	3
MIR4252	0
ENSG00000231868	0
TNFRSF25	4
PLEKHG5	10
NOL9	15
RNU6-731P	2
ENSG00000229519	0
TAS1R1	2
ZBTB48	2
KLHL21	2
PHF13	4
THAP3	2
DNAJC11	24
LINC01672	4
ENSG00000284744	0
CAMTA1-DT	2
CAMTA1	206
ENSG00000227950	1
ENSG00000237365	0
RNU1-8P	0
CAMTA1-IT1	1
CAMTA1-AS2	2
CAMTA1-AS1	0
ENSG00000270171	3
ENSG00000270035	0
ENSG00000269978	0
VAMP3	124
ENSG00000269925	1
PER3	11
ENSG00000236266	0
UTS2	1
TNFRSF9	5
ENSG00000270330	1
PARK7	210
Y_RNA	300
ENSG00000284747	0
ENSG00000284716	0
ERRFI1	3
ERRFI1-DT	1
ENSG00000232848	3
ENSG00000229305	0
ENSG00000288816	1
LINC01714	2
RNU1-7P	1
ENSG00000233645	0
RNU6-991P	1
SLC45A1	1
RERE	97
RERE-AS1	1
ENSG00000221083	3
ENSG00000270282	0
RPL7P11	3
RPL7P7	0
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	0
ENO1	273
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	1
ENSG00000232208	2
ENSG00000232663	0
CA6	5
RN7SL451P	0
SLC2A7	1
SLC2A5	4
ENSG00000252404	0
GPR157	1
MIR34AHG	5
MIR34A	0
LNCTAM34A	0
H6PD	11
SPSB1	15
ENSG00000284652	1
LINC02606	2
RNA5SP40	0
ENSG00000235263	1
SLC25A33	5
ENSG00000231181	1
TMEM201	10
PIK3CD	76
PIK3CD-AS1	3
ENSG00000233268	0
PIK3CD-AS2	4
CLSTN1	15
MZT1P1	0
ENSG00000280113	1
CTNNBIP1	42
ENSG00000223989	0
ENSG00000285701	1
LZIC	141
ENSG00000228150	0
NMNAT1	10
RN7SKP269	0
TMEM274P	1
MIR5697	1
ENSG00000241326	0
RBP7	2
UBE4B	66
ENSG00000224340	1
PGAM1P11	0
RNU6-828P	0
KIF1B	73
ENSG00000264881	0
RNU6-37P	0
RN7SL731P	0
ENSG00000284735	1
ENSG00000284642	1
PGD	342
ENSG00000271989	0
CENPS-CORT	0
CENPS	0
CORT	2
DFFA	13
ENSG00000203469	0
PEX14	11
ENSG00000287727	2
RN7SL614P	0
CASZ1	6
ENSG00000272078	4
HSPE1P24	0
C1orf127	5
CFL1P6	0
TARDBP	39
MASP2	4
SRM	12
EXOSC10	22
ENSG00000226849	0
EXOSC10-AS1	0
MTOR	46
MTOR-AS1	1
RNU6-537P	0
ANGPTL7	2
RNU6-291P	0
RPL39P6	0
UBIAD1	4
UBE2V2P3	0
ENSG00000284646	2
MTCYBP45	0
DISP3	4
ENSG00000285833	0
LINC01647	7
ENSG00000284708	1
FBXO2	8
FBXO44	2
FBXO6	3
MAD2L2	11
DRAXIN	4
AGTRAP	9
C1orf167	3
C1orf167-AS1	0
MTHFR	34
CLCN6	13
ENSG00000276470	0
ENSG00000278852	0
NPPA	2
ENSG00000275915	0
NPPB	2
SBF1P2	1
ENSG00000285646	2
RNU5E-1	0
RNU5E-4P	0
KIAA2013	18
PLOD1	10
ENSG00000287384	2
MFN2	450
ENSG00000270914	0
MIIP	12
MIR6729	0
RN7SL649P	0
TNFRSF8	6
RNU6-777P	2
RPL23AP89	1
ENSG00000285604	1
MIR7846	0
TNFRSF1B	23
MIR4632	0
RPL10P17	0
SNORA70	1
VPS13D	100
SNORA59A	0
LINC02766	0
DHRS3	57
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	9
ENSG00000272482	1
AADACL4	2
ENSG00000226166	0
AADACL3	0
CFAP107	6
PRAMEF12	2
PRAMEF1	4
LINC01784	0
PRAMEF11	1
PRAMEF30P	1
HNRNPCL1	2
PRAMEF2	2
PRAMEF4	1
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	1
HNRNPCL3	1
PRAMEF25	1
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
ENSG00000233336	0
PRAMEF26	1
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	2
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	1
PRAMEF8	2
PRAMEF33	0
PRAMEF15	0
ENSG00000228229	0
PRAMEF14	6
PRAMEF19	0
PRAMEF17	3
PRAMEF20	2
LRRC38	2
ENSG00000259961	0
BRWD1P1	1
PDPN	5
RNA5SP41	0
ENSG00000237445	0
ENSG00000253085	2
PRDM2	131
ENSG00000289380	0
KAZN	19
RNU6-1265P	0
ENSG00000231606	2
KAZN-AS1	6
TBCAP2	3
ENSG00000287756	0
TMEM51-AS1	6
TMEM51	3
TMEM51-AS2	0
MFFP1	2
ZBTB2P1	2
FHAD1	23
FHAD1-AS1	0
ENSG00000236045	0
EFHD2-AS1	9
EFHD2	181
CTRC	4
CELA2A	4
CELA2B	1
CASP9	25
DNAJC16	132
SCARNA21B	1
ENSG00000272510	0
AGMAT	3
ENSG00000237301	2
CHCHD2P6	1
RNU7-179P	0
CD24P1	0
DDI2	57
RSC1A1	0
ENSG00000271742	1
PLEKHM2	40
ENSG00000237938	1
SLC25A34	1
SLC25A34-AS1	0
TMEM82	0
FBLIM1	6
RPL12P14	0
UQCRHL	15
ENSG00000178715	0
FLJ37453	1
SPEN	147
ENSG00000270620	0
ZBTB17	8
ENSG00000234607	0
ENSG00000231353	0
ENSG00000275503	0
TBC1D3P6	1
SRARP	0
