Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-3/duplicates_rm/PP102_sorted_q10_rmDup.bam
DDX11L1	16
WASH7P	2
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	1
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	1
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	1
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	28
WASH9P	1
MIR6859-2	0
ENSG00000228463	0
ENSG00000286448	0
RPL23AP24	1
ENSG00000236601	0
ENSG00000237094	1
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	0
ENSG00000230021	2
ENSG00000235146	0
MTND1P23	27
MTND2P28	677
MTCO1P12	123
ENSG00000278791	0
MTCO2P12	10
MTATP8P1	4
MTATP6P1	1829
MTCO3P12	9
WBP1LP6	1
OR4F16	0
CICP3	0
ENSG00000228327	1
RNU6-1199P	0
ENSG00000229905	0
LINC01409	0
ENSG00000285268	0
ENSG00000230092	28
FAM87B	0
LINC01128	3
LINC00115	0
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	2
ENSG00000241180	0
LINC02593	0
SAMD11	0
NOC2L	19
KLHL17	0
PLEKHN1	4
PERM1	0
ENSG00000272512	0
HES4	4
ISG15	22
ENSG00000231702	0
ENSG00000224969	0
AGRN	2
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	1
C1orf159	6
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	2
SDF4	45
B3GALT6	7
C1QTNF12	0
ENSG00000260179	0
UBE2J2	25
LINC01786	0
SCNN1D	0
ACAP3	3
MIR6726	0
PUSL1	0
INTS11	8
MIR6727	0
ENSG00000240731	0
CPTP	5
TAS1R3	0
DVL1	3
MIR6808	0
MXRA8	0
AURKAIP1	35
NDUFB4P8	0
CCNL2	6
MRPL20-AS1	3
MRPL20	18
RN7SL657P	0
MRPL20-DT	0
ANKRD65	0
ANKRD65-AS1	0
TMEM88B	1
LINC01770	0
VWA1	1
ATAD3C	0
ATAD3B	1
ENSG00000284740	0
ATAD3A	7
TMEM240	0
SSU72	96
ENSG00000215014	1
ENSG00000274481	0
FNDC10	2
ENSG00000286989	4
ENSG00000272106	2
MIB2	6
MMP23B	0
CDK11B	38
ENSG00000272004	0
SLC35E2B	11
ENSG00000269737	0
MMP23A	0
CDK11A	1
ENSG00000268575	0
ENSG00000227775	0
SLC35E2A	0
NADK	44
GNB1	894
GNB1-DT	0
CALML6	0
TMEM52	0
CFAP74	3
ENSG00000233542	0
GABRD	3
PRKCZ-DT	0
PRKCZ	2
ENSG00000271806	0
PRKCZ-AS1	0
FAAP20	11
ENSG00000234396	0
SKI	70
ENSG00000287356	2
MORN1	2
ENSG00000272161	0
ENSG00000269896	0
ENSG00000272420	0
RER1	11
PEX10	3
PLCH2	0
ENSG00000224387	0
ENSG00000229393	0
PANK4	5
HES5	0
ENSG00000272449	6
TNFRSF14-AS1	0
TNFRSF14	32
ENSG00000225931	1
ENSG00000228037	1
ENSG00000289610	0
PRXL2B	11
MMEL1	0
MMEL1-AS1	0
TTC34	0
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	1
ENSG00000287396	1
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	1
PRDM16	1
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	1
ENSG00000287828	0
ENSG00000286518	0
ARHGEF16	1
ENSG00000272088	0
MEGF6	1
MIR551A	0
ENSG00000238260	0
TPRG1L	41
WRAP73	3
TP73	1
TP73-AS3	0
TP73-AS2	0
TP73-AS1	0
ENSG00000276189	0
CCDC27	1
SMIM1	16
LRRC47	13
RN7SL574P	0
ENSG00000272153	0
CEP104	17
DFFB	3
C1orf174	26
LINC01134	1
LINC01346	0
LINC01345	0
LINC02780	0
ENSG00000284703	0
EEF1DP6	0
LINC01777	0
ENSG00000284694	0
ENSG00000227169	0
LINC01646	0
AJAP1	0
ENSG00000287586	0
ENSG00000284739	0
LINC02781	0
LINC02782	0
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	0
ENSG00000260972	1
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	1
MIR4689	0
NPHP4	8
KCNAB2	44
CHD5	2
ENSG00000285629	0
RPL22	180
RNF207-AS1	0
RNF207	0
ICMT	8
ICMT-DT	0
HES3	0
GPR153	1
ACOT7	22
ENSG00000271746	3
HES2	0
ESPN	4
