Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-3/duplicates_rm/PP109_sorted_q10_rmDup.bam
DDX11L1	11
WASH7P	1
MIR6859-1	0
MIR1302-2HG	1
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	2
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	6
WASH9P	0
MIR6859-2	0
ENSG00000228463	4
ENSG00000286448	0
RPL23AP24	1
ENSG00000236601	0
ENSG00000237094	1
WBP1LP7	0
OR4F29	0
CICP7	2
ENSG00000250575	0
U6	1
ENSG00000230021	1
ENSG00000235146	0
MTND1P23	32
MTND2P28	1014
MTCO1P12	327
ENSG00000278791	0
MTCO2P12	22
MTATP8P1	8
MTATP6P1	2930
MTCO3P12	26
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	6
RNU6-1199P	0
ENSG00000229905	0
LINC01409	3
ENSG00000285268	0
ENSG00000230092	39
FAM87B	1
LINC01128	10
LINC00115	0
ENSG00000288531	0
FAM41C	2
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	1
ENSG00000241180	0
LINC02593	2
SAMD11	1
NOC2L	15
KLHL17	2
PLEKHN1	2
PERM1	0
ENSG00000272512	0
HES4	2
ISG15	5
ENSG00000231702	0
ENSG00000224969	0
AGRN	3
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	1
C1orf159	4
ENSG00000285812	0
LINC01342	2
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	2
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	50
B3GALT6	5
C1QTNF12	0
ENSG00000260179	0
UBE2J2	16
LINC01786	0
SCNN1D	0
ACAP3	6
MIR6726	0
PUSL1	0
INTS11	20
MIR6727	0
ENSG00000240731	0
CPTP	8
TAS1R3	0
DVL1	7
MIR6808	0
MXRA8	2
AURKAIP1	26
NDUFB4P8	0
CCNL2	10
MRPL20-AS1	6
MRPL20	12
RN7SL657P	0
MRPL20-DT	3
ANKRD65	0
ANKRD65-AS1	0
TMEM88B	2
LINC01770	0
VWA1	5
ATAD3C	0
ATAD3B	0
ENSG00000284740	1
ATAD3A	2
TMEM240	0
SSU72	78
ENSG00000215014	1
ENSG00000274481	0
FNDC10	5
ENSG00000286989	0
ENSG00000272106	2
MIB2	13
MMP23B	0
CDK11B	73
ENSG00000272004	0
SLC35E2B	10
ENSG00000269737	0
MMP23A	0
CDK11A	0
ENSG00000268575	1
ENSG00000227775	4
SLC35E2A	2
NADK	49
GNB1	907
GNB1-DT	0
CALML6	0
TMEM52	0
CFAP74	3
ENSG00000233542	2
GABRD	2
PRKCZ-DT	0
PRKCZ	8
ENSG00000271806	1
PRKCZ-AS1	0
FAAP20	23
ENSG00000234396	0
SKI	67
ENSG00000287356	4
MORN1	2
ENSG00000272161	0
ENSG00000269896	1
ENSG00000272420	0
RER1	14
PEX10	7
PLCH2	4
ENSG00000224387	0
ENSG00000229393	0
PANK4	12
HES5	0
ENSG00000272449	8
TNFRSF14-AS1	2
TNFRSF14	32
ENSG00000225931	0
ENSG00000228037	0
ENSG00000289610	0
PRXL2B	11
MMEL1	2
MMEL1-AS1	0
TTC34	6
ENSG00000285945	0
ENSG00000283259	1
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	1
ACTRT2	2
PRDM16-DT	2
PRDM16	11
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	3
ENSG00000287828	0
ENSG00000286518	0
ARHGEF16	1
ENSG00000272088	0
MEGF6	3
MIR551A	0
ENSG00000238260	1
TPRG1L	35
WRAP73	7
TP73	2
TP73-AS3	0
TP73-AS2	0
TP73-AS1	5
ENSG00000276189	0
CCDC27	1
SMIM1	2
LRRC47	19
RN7SL574P	0
ENSG00000272153	0
CEP104	35
DFFB	7
C1orf174	17
LINC01134	5
LINC01346	2
LINC01345	0
LINC02780	1
ENSG00000284703	3
EEF1DP6	0
LINC01777	4
ENSG00000284694	0
ENSG00000227169	1
LINC01646	0
AJAP1	6
ENSG00000287586	1
ENSG00000284739	0
LINC02781	0
LINC02782	0
ENSG00000284616	2
ENSG00000284692	0
ENSG00000284666	0
ENSG00000260972	1
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
MIR4689	0
NPHP4	3
KCNAB2	58
CHD5	2
ENSG00000285629	0
RPL22	178
RNF207-AS1	0
RNF207	2
ICMT	11
ICMT-DT	2
HES3	0
GPR153	5
ACOT7	62
ENSG00000271746	3
HES2	3
ESPN	2
MIR4252	0
ENSG00000231868	0
TNFRSF25	2
PLEKHG5	3
NOL9	27
RNU6-731P	0
ENSG00000229519	0
TAS1R1	1
ZBTB48	1
KLHL21	9
PHF13	5
THAP3	1
DNAJC11	24
LINC01672	1
ENSG00000284744	1
CAMTA1-DT	1
CAMTA1	236
ENSG00000227950	0
ENSG00000237365	0
RNU1-8P	0
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	0
ENSG00000270171	1
ENSG00000270035	1
ENSG00000269978	0
VAMP3	319
ENSG00000269925	0
PER3	11
ENSG00000236266	0
UTS2	0
TNFRSF9	4
ENSG00000270330	0
PARK7	257
Y_RNA	958
ENSG00000284747	0
ENSG00000284716	1
ERRFI1	14
ERRFI1-DT	3
ENSG00000232848	1
ENSG00000229305	0
ENSG00000288816	4
LINC01714	1
RNU1-7P	1
ENSG00000233645	0
RNU6-991P	0
SLC45A1	3
RERE	208
RERE-AS1	1
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	2
RPL7P7	0
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	0
ENO1	444
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	0
ENSG00000232208	1
ENSG00000232663	0
CA6	1
RN7SL451P	0
SLC2A7	0
SLC2A5	22
ENSG00000252404	0
GPR157	2
MIR34AHG	3
MIR34A	0
LNCTAM34A	2
H6PD	5
SPSB1	21
ENSG00000284652	2
LINC02606	4
RNA5SP40	0
ENSG00000235263	0
SLC25A33	3
ENSG00000231181	0
TMEM201	0
PIK3CD	81
PIK3CD-AS1	0
ENSG00000233268	1
PIK3CD-AS2	1
CLSTN1	22
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	38
ENSG00000223989	0
ENSG00000285701	1
LZIC	211
ENSG00000228150	0
NMNAT1	18
RN7SKP269	0
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	52
UBE4B	85
ENSG00000224340	0
PGAM1P11	0
RNU6-828P	0
KIF1B	97
ENSG00000264881	0
RNU6-37P	4
RN7SL731P	0
ENSG00000284735	4
ENSG00000284642	0
PGD	397
ENSG00000271989	0
CENPS-CORT	0
CENPS	1
CORT	0
DFFA	9
ENSG00000203469	0
PEX14	10
ENSG00000287727	1
RN7SL614P	0
CASZ1	16
ENSG00000272078	4
HSPE1P24	0
C1orf127	2
CFL1P6	0
TARDBP	47
MASP2	0
SRM	15
EXOSC10	31
ENSG00000226849	0
EXOSC10-AS1	2
MTOR	38
MTOR-AS1	0
RNU6-537P	1
ANGPTL7	1
RNU6-291P	0
RPL39P6	0
UBIAD1	10
UBE2V2P3	0
ENSG00000284646	0
MTCYBP45	1
DISP3	1
ENSG00000285833	0
LINC01647	0
ENSG00000284708	1
FBXO2	2
FBXO44	5
FBXO6	2
MAD2L2	14
DRAXIN	4
AGTRAP	10
C1orf167	0
C1orf167-AS1	0
MTHFR	19
CLCN6	8
ENSG00000276470	0
ENSG00000278852	0
NPPA	0
ENSG00000275915	0
NPPB	0
SBF1P2	1
ENSG00000285646	1
RNU5E-1	0
