Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/duplicates_rm/PP027_sorted_q10_rmDup.bam
DDX11L1	14
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	1
OR4G11P	0
OR4F5	0
ENSG00000238009	1
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	1
ENSG00000239906	1
ENSG00000241860	6
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	8
WASH9P	2
MIR6859-2	0
ENSG00000228463	3
ENSG00000286448	1
RPL23AP24	0
ENSG00000236601	1
ENSG00000237094	8
WBP1LP7	0
OR4F29	0
CICP7	2
ENSG00000250575	0
U6	5
ENSG00000230021	4
ENSG00000235146	0
MTND1P23	40
MTND2P28	1152
MTCO1P12	210
ENSG00000278791	0
MTCO2P12	23
MTATP8P1	8
MTATP6P1	2438
MTCO3P12	23
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	3
RNU6-1199P	0
ENSG00000229905	0
LINC01409	4
ENSG00000285268	0
ENSG00000230092	54
FAM87B	0
LINC01128	30
LINC00115	0
ENSG00000288531	2
FAM41C	2
TUBB8P11	1
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	3
ENSG00000241180	0
LINC02593	0
SAMD11	4
NOC2L	36
KLHL17	2
PLEKHN1	6
PERM1	0
ENSG00000272512	2
HES4	6
ISG15	45
ENSG00000231702	0
ENSG00000224969	0
AGRN	7
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	1
C1orf159	3
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	1
TTLL10-AS1	1
TTLL10	1
TNFRSF18	3
TNFRSF4	3
SDF4	89
B3GALT6	10
C1QTNF12	1
ENSG00000260179	1
UBE2J2	56
LINC01786	1
SCNN1D	0
ACAP3	12
MIR6726	0
PUSL1	4
INTS11	55
MIR6727	0
ENSG00000240731	0
CPTP	14
TAS1R3	1
DVL1	16
MIR6808	0
MXRA8	1
AURKAIP1	87
NDUFB4P8	0
CCNL2	22
MRPL20-AS1	22
MRPL20	64
RN7SL657P	0
MRPL20-DT	1
ANKRD65	0
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	1
ATAD3C	4
ATAD3B	8
ENSG00000284740	1
ATAD3A	27
TMEM240	3
SSU72	215
ENSG00000215014	1
ENSG00000274481	0
FNDC10	2
ENSG00000286989	0
ENSG00000272106	2
MIB2	16
MMP23B	0
CDK11B	135
ENSG00000272004	0
SLC35E2B	36
ENSG00000269737	0
