Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/duplicates_rm/PP029_sorted_q10_rmDup.bam
DDX11L1	3
WASH7P	2
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	1
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	22
WASH9P	1
MIR6859-2	0
ENSG00000228463	1
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	3
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	5
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	11
MTND2P28	423
MTCO1P12	31
ENSG00000278791	0
MTCO2P12	13
MTATP8P1	1
MTATP6P1	1034
MTCO3P12	6
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	0
RNU6-1199P	0
ENSG00000229905	0
LINC01409	0
ENSG00000285268	0
ENSG00000230092	17
FAM87B	0
LINC01128	9
LINC00115	0
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	5
ENSG00000230699	8
ENSG00000241180	0
LINC02593	2
SAMD11	10
NOC2L	24
KLHL17	5
PLEKHN1	3
PERM1	1
ENSG00000272512	0
HES4	0
ISG15	14
ENSG00000231702	0
ENSG00000224969	0
AGRN	7
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	1
C1orf159	5
ENSG00000285812	0
LINC01342	3
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	3
TNFRSF4	0
SDF4	33
B3GALT6	2
C1QTNF12	1
ENSG00000260179	1
UBE2J2	22
LINC01786	0
SCNN1D	4
ACAP3	7
MIR6726	0
PUSL1	3
INTS11	16
MIR6727	0
ENSG00000240731	0
CPTP	5
TAS1R3	1
DVL1	6
MIR6808	0
MXRA8	2
AURKAIP1	27
NDUFB4P8	0
CCNL2	11
MRPL20-AS1	9
MRPL20	13
RN7SL657P	0
MRPL20-DT	0
ANKRD65	0
ANKRD65-AS1	0
TMEM88B	2
LINC01770	0
VWA1	5
ATAD3C	7
ATAD3B	6
ENSG00000284740	0
ATAD3A	2
TMEM240	6
SSU72	69
ENSG00000215014	0
ENSG00000274481	0
FNDC10	3
ENSG00000286989	1
ENSG00000272106	4
MIB2	17
MMP23B	0
CDK11B	51
ENSG00000272004	0
SLC35E2B	23
ENSG00000269737	0
MMP23A	0
CDK11A	0
ENSG00000268575	1
ENSG00000227775	2
SLC35E2A	1
NADK	26
GNB1	609
GNB1-DT	2
CALML6	0
TMEM52	1
CFAP74	4
ENSG00000233542	0
GABRD	2
PRKCZ-DT	0
PRKCZ	4
ENSG00000271806	1
PRKCZ-AS1	0
FAAP20	8
ENSG00000234396	0
SKI	83
ENSG00000287356	1
MORN1	5
ENSG00000272161	1
ENSG00000269896	0
ENSG00000272420	0
RER1	17
PEX10	3
PLCH2	3
ENSG00000224387	1
ENSG00000229393	0
PANK4	6
HES5	1
ENSG00000272449	6
TNFRSF14-AS1	0
TNFRSF14	40
ENSG00000225931	1
ENSG00000228037	1
ENSG00000289610	0
PRXL2B	8
MMEL1	3
MMEL1-AS1	0
TTC34	3
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	2
PRDM16	6
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	5
ENSG00000287828	0
ENSG00000286518	5
ARHGEF16	0
ENSG00000272088	0
MEGF6	3
MIR551A	0
ENSG00000238260	2
TPRG1L	29
WRAP73	12
TP73	5
TP73-AS3	0
TP73-AS2	0
TP73-AS1	3
ENSG00000276189	0
CCDC27	1
SMIM1	2
LRRC47	18
RN7SL574P	0
ENSG00000272153	0
CEP104	24
DFFB	4
C1orf174	18
LINC01134	3
LINC01346	1
LINC01345	1
LINC02780	0
ENSG00000284703	1
EEF1DP6	0
LINC01777	1
ENSG00000284694	0
ENSG00000227169	0
LINC01646	4
AJAP1	10
ENSG00000287586	1
ENSG00000284739	0
LINC02781	1
LINC02782	0
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	4
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
MIR4689	0
NPHP4	5
KCNAB2	47
CHD5	10
ENSG00000285629	0
RPL22	261
RNF207-AS1	1
RNF207	4
ICMT	9
ICMT-DT	0
HES3	0
GPR153	2
ACOT7	33
ENSG00000271746	0
HES2	0
ESPN	22
MIR4252	0
ENSG00000231868	0
TNFRSF25	4
PLEKHG5	5
NOL9	15
RNU6-731P	0
ENSG00000229519	0
TAS1R1	0
ZBTB48	3
KLHL21	6
PHF13	9
THAP3	1
DNAJC11	10
LINC01672	0
ENSG00000284744	0
CAMTA1-DT	1
CAMTA1	116
ENSG00000227950	0
ENSG00000237365	0
RNU1-8P	1
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	0
ENSG00000270171	1
ENSG00000270035	1
ENSG00000269978	0
VAMP3	173
ENSG00000269925	0
PER3	8
ENSG00000236266	0
UTS2	7
TNFRSF9	0
ENSG00000270330	0
PARK7	119
Y_RNA	1869
ENSG00000284747	0
ENSG00000284716	0
ERRFI1	5
ERRFI1-DT	1
ENSG00000232848	1
ENSG00000229305	0
ENSG00000288816	0
LINC01714	0
RNU1-7P	9
ENSG00000233645	5
RNU6-991P	0
SLC45A1	3
RERE	113
RERE-AS1	0
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	0
RPL7P7	0
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	0
ENO1	350
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	0
ENSG00000232208	1
ENSG00000232663	0
CA6	0
RN7SL451P	0
SLC2A7	1
SLC2A5	5
ENSG00000252404	0
GPR157	2
MIR34AHG	1
MIR34A	0
LNCTAM34A	1
H6PD	11
SPSB1	21
ENSG00000284652	1
LINC02606	0
RNA5SP40	0
ENSG00000235263	1
SLC25A33	2
ENSG00000231181	0
TMEM201	2
PIK3CD	49
PIK3CD-AS1	0
ENSG00000233268	0
PIK3CD-AS2	2
CLSTN1	10
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	33
ENSG00000223989	0
ENSG00000285701	0
LZIC	102
ENSG00000228150	0
NMNAT1	5
RN7SKP269	0
TMEM274P	1
MIR5697	0
ENSG00000241326	0
RBP7	25
UBE4B	52
ENSG00000224340	0
PGAM1P11	0
RNU6-828P	0
KIF1B	76
ENSG00000264881	0
RNU6-37P	6
RN7SL731P	0
ENSG00000284735	0
ENSG00000284642	0
PGD	206
ENSG00000271989	0
CENPS-CORT	0
CENPS	2
CORT	0
DFFA	9
ENSG00000203469	0
PEX14	9
ENSG00000287727	0
RN7SL614P	0
CASZ1	2
ENSG00000272078	1
HSPE1P24	0
C1orf127	0
CFL1P6	0
TARDBP	46
MASP2	2
SRM	13
EXOSC10	24
ENSG00000226849	0
EXOSC10-AS1	0
MTOR	32
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0
RNU6-291P	0
RPL39P6	0
UBIAD1	4
UBE2V2P3	0
ENSG00000284646	0
MTCYBP45	0
DISP3	3
ENSG00000285833	0
LINC01647	0
ENSG00000284708	1
FBXO2	0
FBXO44	5
FBXO6	8
MAD2L2	18
DRAXIN	2
AGTRAP	5
C1orf167	5
C1orf167-AS1	0
MTHFR	23
CLCN6	13
ENSG00000276470	0
ENSG00000278852	0
NPPA	2
ENSG00000275915	0
NPPB	0
SBF1P2	1
ENSG00000285646	5
RNU5E-1	0
RNU5E-4P	0
KIAA2013	27
PLOD1	7
ENSG00000287384	0
MFN2	79
ENSG00000270914	0
MIIP	6
MIR6729	0
RN7SL649P	1
TNFRSF8	8
RNU6-777P	0
