Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/duplicates_rm/PP008_sorted_q10_rmDup.bam
DDX11L1	1
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	2
ENSG00000239945	0
CICP27	1
ENSG00000268903	4
ENSG00000269981	1
ENSG00000239906	0
ENSG00000241860	1
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	1
WASH9P	2
MIR6859-2	0
ENSG00000228463	2
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	6
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	10
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	17
MTND2P28	1251
MTCO1P12	74
ENSG00000278791	0
MTCO2P12	8
MTATP8P1	2
MTATP6P1	903
MTCO3P12	7
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	4
RNU6-1199P	0
ENSG00000229905	0
LINC01409	2
ENSG00000285268	0
ENSG00000230092	4
FAM87B	1
LINC01128	13
LINC00115	1
ENSG00000288531	4
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	1
ENSG00000230699	7
ENSG00000241180	0
LINC02593	3
SAMD11	10
NOC2L	14
KLHL17	4
PLEKHN1	8
PERM1	3
ENSG00000272512	2
HES4	4
ISG15	12
ENSG00000231702	0
ENSG00000224969	0
AGRN	13
ENSG00000242590	0
ENSG00000217801	3
ENSG00000273443	1
RNF223	1
C1orf159	6
ENSG00000285812	0
LINC01342	4
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	1
TTLL10-AS1	1
TTLL10	5
TNFRSF18	4
TNFRSF4	1
SDF4	59
B3GALT6	3
C1QTNF12	0
ENSG00000260179	1
UBE2J2	39
LINC01786	0
SCNN1D	4
ACAP3	18
MIR6726	0
PUSL1	2
INTS11	21
MIR6727	0
ENSG00000240731	0
CPTP	14
TAS1R3	1
DVL1	14
MIR6808	0
MXRA8	7
AURKAIP1	62
NDUFB4P8	1
CCNL2	22
MRPL20-AS1	9
MRPL20	21
RN7SL657P	0
MRPL20-DT	0
ANKRD65	0
ANKRD65-AS1	2
TMEM88B	1
LINC01770	0
VWA1	10
ATAD3C	5
ATAD3B	10
ENSG00000284740	0
ATAD3A	8
TMEM240	3
SSU72	119
ENSG00000215014	1
ENSG00000274481	0
FNDC10	12
ENSG00000286989	3
ENSG00000272106	5
MIB2	16
MMP23B	0
CDK11B	36
ENSG00000272004	0
SLC35E2B	19
ENSG00000269737	1
MMP23A	0
CDK11A	0
ENSG00000268575	0
ENSG00000227775	2
SLC35E2A	3
NADK	43
GNB1	1277
GNB1-DT	3
CALML6	0
TMEM52	0
CFAP74	8
ENSG00000233542	1
GABRD	9
PRKCZ-DT	4
PRKCZ	9
ENSG00000271806	3
PRKCZ-AS1	1
FAAP20	44
ENSG00000234396	0
SKI	91
ENSG00000287356	4
MORN1	10
ENSG00000272161	1
ENSG00000269896	0
ENSG00000272420	0
RER1	26
PEX10	6
PLCH2	10
ENSG00000224387	0
ENSG00000229393	0
PANK4	9
HES5	1
ENSG00000272449	6
TNFRSF14-AS1	5
TNFRSF14	38
ENSG00000225931	0
ENSG00000228037	0
ENSG00000289610	0
PRXL2B	24
MMEL1	4
MMEL1-AS1	0
TTC34	6
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	1
ENSG00000287396	2
ENSG00000231630	0
ENSG00000284745	4
ACTRT2	0
