Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/duplicates_rm/PP016_sorted_q10_rmDup.bam
DDX11L1	16
WASH7P	1
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	1
ENSG00000239945	0
CICP27	0
ENSG00000268903	1
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	4
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	28
WASH9P	2
MIR6859-2	0
ENSG00000228463	0
ENSG00000286448	1
RPL23AP24	1
ENSG00000236601	0
ENSG00000237094	1
WBP1LP7	0
OR4F29	0
CICP7	2
ENSG00000250575	0
U6	3
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	30
MTND2P28	884
MTCO1P12	121
ENSG00000278791	0
MTCO2P12	13
MTATP8P1	4
MTATP6P1	1883
MTCO3P12	22
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	2
RNU6-1199P	0
ENSG00000229905	0
LINC01409	0
ENSG00000285268	0
ENSG00000230092	15
FAM87B	0
LINC01128	15
LINC00115	0
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	2
ENSG00000230699	6
ENSG00000241180	0
LINC02593	1
SAMD11	8
NOC2L	13
KLHL17	4
PLEKHN1	3
PERM1	1
ENSG00000272512	0
HES4	2
ISG15	15
ENSG00000231702	0
ENSG00000224969	0
AGRN	10
ENSG00000242590	0
ENSG00000217801	1
ENSG00000273443	1
RNF223	1
C1orf159	3
ENSG00000285812	0
LINC01342	4
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	1
TTLL10-AS1	0
TTLL10	1
TNFRSF18	7
TNFRSF4	2
SDF4	38
B3GALT6	5
C1QTNF12	0
ENSG00000260179	0
UBE2J2	18
LINC01786	0
SCNN1D	1
ACAP3	9
MIR6726	0
PUSL1	5
INTS11	13
MIR6727	0
ENSG00000240731	0
CPTP	7
TAS1R3	2
DVL1	8
MIR6808	0
MXRA8	8
AURKAIP1	21
NDUFB4P8	0
CCNL2	7
MRPL20-AS1	4
MRPL20	15
RN7SL657P	0
MRPL20-DT	1
ANKRD65	2
ANKRD65-AS1	0
TMEM88B	1
LINC01770	0
VWA1	3
ATAD3C	7
ATAD3B	3
ENSG00000284740	0
ATAD3A	2
TMEM240	4
SSU72	73
ENSG00000215014	1
ENSG00000274481	0
FNDC10	3
ENSG00000286989	0
ENSG00000272106	1
MIB2	14
MMP23B	0
CDK11B	32
ENSG00000272004	0
SLC35E2B	13
ENSG00000269737	0
MMP23A	0
CDK11A	0
ENSG00000268575	0
