Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/duplicates_rm/PP020_sorted_q10_rmDup.bam
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2HG	1
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	1
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	4
WASH9P	2
MIR6859-2	0
ENSG00000228463	0
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	2
WBP1LP7	0
OR4F29	0
CICP7	3
ENSG00000250575	0
U6	2
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	23
MTND2P28	418
MTCO1P12	47
ENSG00000278791	0
MTCO2P12	13
MTATP8P1	2
MTATP6P1	1116
MTCO3P12	12
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	4
RNU6-1199P	0
ENSG00000229905	0
LINC01409	2
ENSG00000285268	0
ENSG00000230092	36
FAM87B	2
LINC01128	13
LINC00115	0
ENSG00000288531	1
FAM41C	1
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	4
ENSG00000230699	11
ENSG00000241180	0
LINC02593	2
SAMD11	7
NOC2L	53
KLHL17	4
PLEKHN1	3
PERM1	1
ENSG00000272512	1
HES4	9
ISG15	29
ENSG00000231702	0
ENSG00000224969	0
AGRN	10
ENSG00000242590	0
ENSG00000217801	3
ENSG00000273443	1
RNF223	1
C1orf159	3
ENSG00000285812	0
LINC01342	1
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	3
TTLL10	4
TNFRSF18	2
TNFRSF4	1
SDF4	62
B3GALT6	9
C1QTNF12	1
ENSG00000260179	2
UBE2J2	35
LINC01786	0
SCNN1D	2
ACAP3	15
MIR6726	0
PUSL1	6
INTS11	58
MIR6727	0
ENSG00000240731	0
CPTP	9
TAS1R3	0
DVL1	9
MIR6808	0
MXRA8	7
AURKAIP1	83
NDUFB4P8	0
CCNL2	28
MRPL20-AS1	15
MRPL20	49
RN7SL657P	0
MRPL20-DT	0
ANKRD65	1
ANKRD65-AS1	1
TMEM88B	1
LINC01770	0
VWA1	12
ATAD3C	10
ATAD3B	5
ENSG00000284740	0
ATAD3A	15
TMEM240	0
SSU72	172
ENSG00000215014	1
ENSG00000274481	0
FNDC10	2
ENSG00000286989	0
ENSG00000272106	4
MIB2	18
MMP23B	1
CDK11B	112
ENSG00000272004	0
SLC35E2B	21
ENSG00000269737	0
MMP23A	0
CDK11A	0
ENSG00000268575	4
ENSG00000227775	2
SLC35E2A	2
NADK	132
GNB1	948
GNB1-DT	6
CALML6	1
TMEM52	0
CFAP74	6
ENSG00000233542	1
GABRD	2
PRKCZ-DT	3
PRKCZ	9
ENSG00000271806	1
PRKCZ-AS1	0
FAAP20	25
ENSG00000234396	0
SKI	88
ENSG00000287356	3
MORN1	4
ENSG00000272161	1
ENSG00000269896	3
ENSG00000272420	0
RER1	23
PEX10	11
PLCH2	9
ENSG00000224387	0
ENSG00000229393	0
PANK4	9
HES5	0
ENSG00000272449	2
TNFRSF14-AS1	5
TNFRSF14	91
ENSG00000225931	1
