Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/duplicates_rm/PP019_sorted_q10_rmDup.bam
DDX11L1	9
WASH7P	1
MIR6859-1	0
MIR1302-2HG	3
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	2
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	20
WASH9P	3
MIR6859-2	0
ENSG00000228463	3
ENSG00000286448	1
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	0
WBP1LP7	0
OR4F29	1
CICP7	0
ENSG00000250575	0
U6	2
ENSG00000230021	2
ENSG00000235146	0
MTND1P23	20
MTND2P28	561
MTCO1P12	105
ENSG00000278791	0
MTCO2P12	19
MTATP8P1	2
MTATP6P1	53
MTCO3P12	15
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	1
RNU6-1199P	0
ENSG00000229905	0
LINC01409	2
ENSG00000285268	0
ENSG00000230092	15
FAM87B	0
LINC01128	2
LINC00115	2
ENSG00000288531	3
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	6
ENSG00000230699	4
ENSG00000241180	0
LINC02593	1
SAMD11	2
NOC2L	15
KLHL17	2
PLEKHN1	2
PERM1	0
ENSG00000272512	0
HES4	4
ISG15	25
ENSG00000231702	0
ENSG00000224969	0
AGRN	4
ENSG00000242590	0
ENSG00000217801	1
ENSG00000273443	0
RNF223	0
C1orf159	3
ENSG00000285812	1
LINC01342	2
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	1
TTLL10	4
TNFRSF18	2
TNFRSF4	0
SDF4	36
B3GALT6	7
C1QTNF12	0
ENSG00000260179	6
UBE2J2	17
LINC01786	0
SCNN1D	3
ACAP3	4
MIR6726	0
PUSL1	4
INTS11	27
MIR6727	0
ENSG00000240731	0
CPTP	5
TAS1R3	1
DVL1	5
MIR6808	0
MXRA8	1
AURKAIP1	29
NDUFB4P8	0
CCNL2	12
MRPL20-AS1	4
MRPL20	22
RN7SL657P	0
MRPL20-DT	0
ANKRD65	1
ANKRD65-AS1	0
TMEM88B	0
LINC01770	1
VWA1	4
ATAD3C	7
ATAD3B	2
ENSG00000284740	0
ATAD3A	8
TMEM240	1
SSU72	80
ENSG00000215014	1
ENSG00000274481	0
FNDC10	2
ENSG00000286989	0
ENSG00000272106	2
MIB2	12
MMP23B	0
CDK11B	33
ENSG00000272004	0
SLC35E2B	14
ENSG00000269737	1
MMP23A	0
CDK11A	1
ENSG00000268575	5
ENSG00000227775	3
SLC35E2A	2
NADK	37
GNB1	601
GNB1-DT	7
CALML6	0
TMEM52	0
CFAP74	12
ENSG00000233542	1
GABRD	7
PRKCZ-DT	0
PRKCZ	6
ENSG00000271806	1
PRKCZ-AS1	1
FAAP20	17
ENSG00000234396	0
SKI	56
ENSG00000287356	0
MORN1	7
ENSG00000272161	0
ENSG00000269896	2
ENSG00000272420	0
RER1	11
PEX10	6
PLCH2	9
ENSG00000224387	0
ENSG00000229393	1
PANK4	6
HES5	1
ENSG00000272449	4
TNFRSF14-AS1	6
TNFRSF14	47
ENSG00000225931	0
ENSG00000228037	0
ENSG00000289610	0
PRXL2B	7
MMEL1	2
MMEL1-AS1	0
TTC34	3
ENSG00000285945	0
ENSG00000283259	1
ENSG00000233234	1
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	1
ACTRT2	3
PRDM16-DT	1
PRDM16	10
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	5
ENSG00000287828	0
ENSG00000286518	1
ARHGEF16	0
ENSG00000272088	0
MEGF6	7
MIR551A	0
ENSG00000238260	2
TPRG1L	27
WRAP73	6
TP73	2
TP73-AS3	1
TP73-AS2	0
TP73-AS1	3
ENSG00000276189	0
CCDC27	4
SMIM1	3
LRRC47	10
RN7SL574P	0
ENSG00000272153	0
CEP104	25
DFFB	6
C1orf174	16
LINC01134	2
LINC01346	3
LINC01345	1
LINC02780	1
ENSG00000284703	1
EEF1DP6	0
LINC01777	1
ENSG00000284694	1
ENSG00000227169	0
LINC01646	0
AJAP1	4
ENSG00000287586	1
ENSG00000284739	1
LINC02781	0
LINC02782	1
ENSG00000284616	0
ENSG00000284692	2
ENSG00000284666	4
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	2
ENSG00000264341	0
MIR4689	0
NPHP4	8
KCNAB2	55
CHD5	6
ENSG00000285629	0
RPL22	218
RNF207-AS1	0
RNF207	2
ICMT	14
ICMT-DT	2
HES3	0
GPR153	2
ACOT7	20
ENSG00000271746	0
HES2	5
ESPN	4
MIR4252	0
ENSG00000231868	1
TNFRSF25	3
PLEKHG5	4
NOL9	25
RNU6-731P	0
ENSG00000229519	0
TAS1R1	0
ZBTB48	4
KLHL21	6
PHF13	4
THAP3	4
DNAJC11	21
LINC01672	3
ENSG00000284744	0
CAMTA1-DT	0
CAMTA1	176
ENSG00000227950	0
ENSG00000237365	0
RNU1-8P	2
CAMTA1-IT1	1
CAMTA1-AS2	1
CAMTA1-AS1	0
ENSG00000270171	2
ENSG00000270035	0
ENSG00000269978	0
VAMP3	219
ENSG00000269925	0
PER3	24
ENSG00000236266	0
UTS2	3
TNFRSF9	1
ENSG00000270330	0
PARK7	144
Y_RNA	2671
ENSG00000284747	2
ENSG00000284716	0
ERRFI1	3
ERRFI1-DT	2
ENSG00000232848	1
ENSG00000229305	0
ENSG00000288816	2
LINC01714	0
RNU1-7P	3
ENSG00000233645	3
RNU6-991P	0
SLC45A1	3
RERE	121
RERE-AS1	0
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	0
RPL7P7	6
ENSG00000226545	1
ENSG00000228423	0
RPL23AP19	0
ENO1	249
MIR6728	0
ENO1-AS1	0
