Geneid	/mnt/efs/clusterfcs/data/tfm-esther/procesado-2/duplicates_rm/PP084_sorted_q10_rmDup.bam
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	1
ENSG00000239945	0
CICP27	1
ENSG00000268903	1
ENSG00000269981	0
ENSG00000239906	1
ENSG00000241860	1
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	1
WASH9P	0
MIR6859-2	0
ENSG00000228463	1
ENSG00000286448	2
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	2
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	4
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	15
MTND2P28	258
MTCO1P12	137
ENSG00000278791	0
MTCO2P12	1
MTATP8P1	3
MTATP6P1	841
MTCO3P12	1
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	4
RNU6-1199P	0
ENSG00000229905	0
LINC01409	6
ENSG00000285268	0
ENSG00000230092	19
FAM87B	2
LINC01128	19
LINC00115	0
ENSG00000288531	0
FAM41C	0
TUBB8P11	2
ENSG00000283040	4
ENSG00000272438	3
ENSG00000230699	2
ENSG00000241180	0
LINC02593	3
SAMD11	13
NOC2L	12
KLHL17	3
PLEKHN1	2
PERM1	1
ENSG00000272512	1
HES4	4
ISG15	39
ENSG00000231702	1
ENSG00000224969	0
AGRN	6
ENSG00000242590	0
ENSG00000217801	1
ENSG00000273443	1
RNF223	4
C1orf159	3
ENSG00000285812	0
LINC01342	1
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	2
TTLL10-AS1	2
TTLL10	2
TNFRSF18	1
TNFRSF4	2
SDF4	21
B3GALT6	4
C1QTNF12	1
ENSG00000260179	1
UBE2J2	11
LINC01786	1
SCNN1D	1
ACAP3	6
MIR6726	0
PUSL1	0
INTS11	15
MIR6727	0
ENSG00000240731	0
CPTP	2
TAS1R3	2
DVL1	21
MIR6808	0
MXRA8	8
AURKAIP1	9
NDUFB4P8	0
CCNL2	6
MRPL20-AS1	4
MRPL20	9
RN7SL657P	0
MRPL20-DT	1
ANKRD65	2
ANKRD65-AS1	0
TMEM88B	1
LINC01770	0
VWA1	2
ATAD3C	1
ATAD3B	5
ENSG00000284740	1
ATAD3A	2
TMEM240	2
SSU72	38
ENSG00000215014	0
ENSG00000274481	0
FNDC10	8
ENSG00000286989	2
ENSG00000272106	0
MIB2	9
MMP23B	0
CDK11B	30
ENSG00000272004	0
SLC35E2B	6
ENSG00000269737	0
MMP23A	0
CDK11A	0
ENSG00000268575	3
ENSG00000227775	2
SLC35E2A	2
NADK	24
GNB1	251
GNB1-DT	2
CALML6	0
TMEM52	1
CFAP74	6
ENSG00000233542	1
GABRD	4
PRKCZ-DT	0
PRKCZ	13
ENSG00000271806	7
PRKCZ-AS1	1
FAAP20	8
ENSG00000234396	0
SKI	42
ENSG00000287356	8
MORN1	6
ENSG00000272161	0
ENSG00000269896	2
ENSG00000272420	0
RER1	9
PEX10	3
PLCH2	11
ENSG00000224387	1
ENSG00000229393	0
PANK4	2
HES5	4
ENSG00000272449	1
TNFRSF14-AS1	4
TNFRSF14	19
ENSG00000225931	0
ENSG00000228037	0
