Geneid	/mnt/efs/clusterfcs/data/tfm-esther/procesado-2/duplicates_rm/PP061_sorted_q10_rmDup.bam
DDX11L1	13
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	2
ENSG00000239945	0
CICP27	1
ENSG00000268903	2
ENSG00000269981	1
ENSG00000239906	0
ENSG00000241860	3
RNU6-1100P	1
ENSG00000241599	0
DDX11L17	9
WASH9P	1
MIR6859-2	0
ENSG00000228463	4
ENSG00000286448	0
RPL23AP24	2
ENSG00000236601	0
ENSG00000237094	13
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	1
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	31
MTND2P28	792
MTCO1P12	166
ENSG00000278791	0
MTCO2P12	16
MTATP8P1	6
MTATP6P1	1781
MTCO3P12	14
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	3
RNU6-1199P	0
ENSG00000229905	0
LINC01409	4
ENSG00000285268	0
ENSG00000230092	15
FAM87B	1
LINC01128	5
LINC00115	6
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	1
ENSG00000241180	0
LINC02593	0
SAMD11	0
NOC2L	18
KLHL17	1
PLEKHN1	0
PERM1	0
ENSG00000272512	0
HES4	6
ISG15	19
ENSG00000231702	0
ENSG00000224969	0
AGRN	6
ENSG00000242590	0
ENSG00000217801	2
ENSG00000273443	0
RNF223	0
C1orf159	4
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	1
TTLL10	0
TNFRSF18	0
TNFRSF4	2
SDF4	39
B3GALT6	6
C1QTNF12	0
ENSG00000260179	2
UBE2J2	19
LINC01786	0
SCNN1D	0
ACAP3	21
MIR6726	0
PUSL1	3
INTS11	51
MIR6727	0
ENSG00000240731	1
CPTP	1
TAS1R3	1
DVL1	5
MIR6808	0
MXRA8	2
AURKAIP1	30
NDUFB4P8	0
CCNL2	50
MRPL20-AS1	2
MRPL20	20
RN7SL657P	0
MRPL20-DT	0
ANKRD65	2
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	1
ATAD3C	3
ATAD3B	8
ENSG00000284740	0
ATAD3A	10
TMEM240	2
SSU72	78
ENSG00000215014	1
ENSG00000274481	0
FNDC10	11
ENSG00000286989	3
ENSG00000272106	2
MIB2	22
MMP23B	1
CDK11B	58
ENSG00000272004	0
SLC35E2B	28
ENSG00000269737	2
MMP23A	0
CDK11A	4
ENSG00000268575	2
ENSG00000227775	4
SLC35E2A	4
NADK	136
GNB1	944
GNB1-DT	0
CALML6	0
TMEM52	0
CFAP74	3
ENSG00000233542	0
GABRD	1
PRKCZ-DT	0
PRKCZ	6
ENSG00000271806	1
PRKCZ-AS1	1
FAAP20	19
ENSG00000234396	0
SKI	55
ENSG00000287356	0
MORN1	1
ENSG00000272161	0
ENSG00000269896	1
ENSG00000272420	0
RER1	15
PEX10	6
PLCH2	10
ENSG00000224387	0
ENSG00000229393	1
PANK4	19
HES5	0
ENSG00000272449	8
TNFRSF14-AS1	5
TNFRSF14	71
ENSG00000225931	2
ENSG00000228037	1
ENSG00000289610	0
PRXL2B	11
MMEL1	1
MMEL1-AS1	0
TTC34	2
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	1
ACTRT2	0
PRDM16-DT	0
PRDM16	1
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	0
ENSG00000287828	0
ENSG00000286518	0
ARHGEF16	1
ENSG00000272088	0
MEGF6	23
MIR551A	0
ENSG00000238260	1
TPRG1L	24
WRAP73	9
TP73	2
TP73-AS3	1
TP73-AS2	0
TP73-AS1	4
ENSG00000276189	0
CCDC27	1
SMIM1	11
LRRC47	14
RN7SL574P	0
ENSG00000272153	1
CEP104	59
DFFB	7
C1orf174	18
LINC01134	1
LINC01346	0
LINC01345	0
LINC02780	0
ENSG00000284703	0
EEF1DP6	0
LINC01777	0
ENSG00000284694	0
ENSG00000227169	0
LINC01646	0
AJAP1	4
ENSG00000287586	1
ENSG00000284739	0
LINC02781	3
LINC02782	0
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	0
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
MIR4689	0
NPHP4	16
KCNAB2	93
CHD5	2
ENSG00000285629	0
RPL22	187
RNF207-AS1	1
RNF207	2
ICMT	7
ICMT-DT	0
HES3	0
GPR153	1
ACOT7	48
ENSG00000271746	0
HES2	1
ESPN	3
MIR4252	0
ENSG00000231868	0
TNFRSF25	6
PLEKHG5	3
NOL9	22
RNU6-731P	0
ENSG00000229519	0
TAS1R1	1
ZBTB48	22
KLHL21	15
PHF13	8
THAP3	4
DNAJC11	32
LINC01672	3
ENSG00000284744	0
CAMTA1-DT	0
CAMTA1	263
ENSG00000227950	0
ENSG00000237365	0
RNU1-8P	0
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	0
ENSG00000270171	1
ENSG00000270035	0
ENSG00000269978	0
VAMP3	296
ENSG00000269925	0
PER3	12
ENSG00000236266	1
UTS2	1
TNFRSF9	4
ENSG00000270330	0
PARK7	291
Y_RNA	1134
ENSG00000284747	0
ENSG00000284716	0
ERRFI1	1
ERRFI1-DT	1
ENSG00000232848	1
ENSG00000229305	0
ENSG00000288816	0
LINC01714	2
RNU1-7P	3
ENSG00000233645	0
RNU6-991P	1
SLC45A1	0
RERE	219
RERE-AS1	1
ENSG00000221083	0
ENSG00000270282	1
RPL7P11	2
RPL7P7	0
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	0
ENO1	417
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	0
ENSG00000232208	0
ENSG00000232663	0
CA6	3
RN7SL451P	1
SLC2A7	0
SLC2A5	2
ENSG00000252404	0
GPR157	3
MIR34AHG	0
MIR34A	0
LNCTAM34A	0
H6PD	27
SPSB1	13
ENSG00000284652	0
LINC02606	1
RNA5SP40	0
ENSG00000235263	0
SLC25A33	0
ENSG00000231181	0
TMEM201	3
PIK3CD	194
PIK3CD-AS1	8
ENSG00000233268	0
PIK3CD-AS2	3
CLSTN1	27
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	32
ENSG00000223989	0
ENSG00000285701	0
LZIC	174
ENSG00000228150	1
NMNAT1	16
RN7SKP269	0
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	24
UBE4B	68
ENSG00000224340	0
PGAM1P11	2
RNU6-828P	0
KIF1B	108
ENSG00000264881	0
RNU6-37P	7
RN7SL731P	0
ENSG00000284735	2
ENSG00000284642	1
PGD	270
ENSG00000271989	0
CENPS-CORT	1
CENPS	0
CORT	0
DFFA	14
ENSG00000203469	0
PEX14	9
ENSG00000287727	0
RN7SL614P	0
CASZ1	7
ENSG00000272078	1
HSPE1P24	0
C1orf127	0
CFL1P6	0
TARDBP	43
MASP2	4
SRM	11
EXOSC10	42
ENSG00000226849	0
EXOSC10-AS1	1
MTOR	48
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	1
RNU6-291P	0
RPL39P6	0
UBIAD1	6
UBE2V2P3	0
ENSG00000284646	0
MTCYBP45	1
DISP3	0
ENSG00000285833	0
LINC01647	0
ENSG00000284708	0
FBXO2	3
FBXO44	10
FBXO6	7
MAD2L2	7
DRAXIN	3
AGTRAP	20
C1orf167	0
C1orf167-AS1	0
MTHFR	29
CLCN6	52
ENSG00000276470	0
ENSG00000278852	0
NPPA	1
ENSG00000275915	0
NPPB	0
SBF1P2	0
ENSG00000285646	3
RNU5E-1	0
RNU5E-4P	0
KIAA2013	23
PLOD1	18
ENSG00000287384	0
MFN2	272
ENSG00000270914	0
MIIP	16
MIR6729	0
RN7SL649P	0
TNFRSF8	8
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	0
MIR7846	1
TNFRSF1B	149
MIR4632	0
RPL10P17	0
SNORA70	0
VPS13D	108
SNORA59A	0
LINC02766	1
DHRS3	67
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	6
ENSG00000272482	0
AADACL4	0
ENSG00000226166	0
AADACL3	0
CFAP107	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0
PRAMEF2	0
PRAMEF4	0
PRAMEF10	1
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	1
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
ENSG00000233336	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	1
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
