Geneid	/mnt/efs/clusterfcs/data/tfm-esther/procesado-2/duplicates_rm/PP046_sorted_q10_rmDup.bam
DDX11L1	3
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	2
WASH9P	0
MIR6859-2	0
ENSG00000228463	0
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	0
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	1
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	10
MTND2P28	283
MTCO1P12	40
ENSG00000278791	0
MTCO2P12	6
MTATP8P1	1
MTATP6P1	738
MTCO3P12	5
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	1
RNU6-1199P	0
ENSG00000229905	0
LINC01409	0
ENSG00000285268	0
ENSG00000230092	10
FAM87B	0
LINC01128	8
LINC00115	0
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	4
ENSG00000241180	0
LINC02593	0
SAMD11	1
NOC2L	19
KLHL17	1
PLEKHN1	1
PERM1	0
ENSG00000272512	0
HES4	2
ISG15	5
ENSG00000231702	0
ENSG00000224969	0
AGRN	1
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	0
C1orf159	0
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	1
TTLL10-AS1	1
TTLL10	1
TNFRSF18	1
TNFRSF4	0
SDF4	27
B3GALT6	2
C1QTNF12	0
ENSG00000260179	0
UBE2J2	12
LINC01786	0
SCNN1D	0
ACAP3	5
MIR6726	0
PUSL1	0
INTS11	16
MIR6727	0
ENSG00000240731	0
CPTP	3
TAS1R3	0
DVL1	4
MIR6808	0
MXRA8	3
AURKAIP1	20
NDUFB4P8	0
CCNL2	6
MRPL20-AS1	1
MRPL20	18
RN7SL657P	0
MRPL20-DT	0
ANKRD65	0
ANKRD65-AS1	0
TMEM88B	1
LINC01770	0
VWA1	1
ATAD3C	1
ATAD3B	1
ENSG00000284740	0
ATAD3A	6
TMEM240	1
SSU72	50
ENSG00000215014	0
ENSG00000274481	0
FNDC10	2
ENSG00000286989	0
ENSG00000272106	2
MIB2	8
MMP23B	0
CDK11B	40
ENSG00000272004	0
SLC35E2B	12
ENSG00000269737	0
MMP23A	0
CDK11A	2
ENSG00000268575	1
ENSG00000227775	5
SLC35E2A	3
NADK	33
GNB1	349
GNB1-DT	1
CALML6	0
TMEM52	0
CFAP74	0
ENSG00000233542	0
GABRD	0
PRKCZ-DT	1
PRKCZ	3
ENSG00000271806	0
PRKCZ-AS1	0
FAAP20	7
ENSG00000234396	0
SKI	27
ENSG00000287356	0
MORN1	2
ENSG00000272161	0
ENSG00000269896	0
ENSG00000272420	0
RER1	5
PEX10	3
PLCH2	0
ENSG00000224387	0
ENSG00000229393	0
PANK4	6
HES5	0
ENSG00000272449	1
TNFRSF14-AS1	3
TNFRSF14	28
ENSG00000225931	0
ENSG00000228037	0
ENSG00000289610	1
PRXL2B	9
MMEL1	2
MMEL1-AS1	0
TTC34	1
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
