Geneid	/mnt/efs/clusterfcs/data/tfm-esther/procesado-2/duplicates_rm/PP035_sorted_q10_rmDup.bam
DDX11L1	15
WASH7P	2
MIR6859-1	0
MIR1302-2HG	1
MIR1302-2	0
FAM138A	1
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	4
WASH9P	0
MIR6859-2	0
ENSG00000228463	1
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	4
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	2
ENSG00000230021	1
ENSG00000235146	0
MTND1P23	57
MTND2P28	1715
MTCO1P12	456
ENSG00000278791	0
MTCO2P12	42
MTATP8P1	9
MTATP6P1	3648
MTCO3P12	38
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	3
RNU6-1199P	0
ENSG00000229905	0
LINC01409	3
ENSG00000285268	0
ENSG00000230092	20
FAM87B	1
LINC01128	11
LINC00115	1
ENSG00000288531	3
FAM41C	0
TUBB8P11	0
ENSG00000283040	2
ENSG00000272438	0
ENSG00000230699	1
ENSG00000241180	1
LINC02593	1
SAMD11	1
NOC2L	22
KLHL17	1
PLEKHN1	3
PERM1	0
ENSG00000272512	0
HES4	3
ISG15	55
ENSG00000231702	0
ENSG00000224969	0
AGRN	1
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	0
C1orf159	4
ENSG00000285812	0
LINC01342	1
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	46
B3GALT6	2
C1QTNF12	0
ENSG00000260179	3
UBE2J2	35
LINC01786	0
SCNN1D	0
ACAP3	8
MIR6726	0
PUSL1	1
INTS11	18
MIR6727	0
ENSG00000240731	0
CPTP	3
TAS1R3	0
DVL1	6
MIR6808	0
MXRA8	1
AURKAIP1	27
NDUFB4P8	0
CCNL2	8
MRPL20-AS1	2
MRPL20	14
RN7SL657P	0
MRPL20-DT	1
ANKRD65	0
ANKRD65-AS1	0
TMEM88B	2
LINC01770	0
VWA1	3
ATAD3C	1
ATAD3B	8
ENSG00000284740	0
ATAD3A	4
TMEM240	0
SSU72	80
ENSG00000215014	2
ENSG00000274481	0
FNDC10	3
ENSG00000286989	1
ENSG00000272106	3
MIB2	4
MMP23B	0
CDK11B	42
ENSG00000272004	0
SLC35E2B	22
ENSG00000269737	1
MMP23A	0
CDK11A	2
ENSG00000268575	3
ENSG00000227775	1
SLC35E2A	1
NADK	49
GNB1	1315
GNB1-DT	1
CALML6	0
TMEM52	0
CFAP74	6
ENSG00000233542	0
GABRD	7
PRKCZ-DT	0
PRKCZ	0
ENSG00000271806	0
PRKCZ-AS1	0
FAAP20	25
ENSG00000234396	0
SKI	64
ENSG00000287356	0
MORN1	1
ENSG00000272161	0
ENSG00000269896	0
ENSG00000272420	0
RER1	21
PEX10	6
PLCH2	3
ENSG00000224387	0
ENSG00000229393	0
PANK4	8
HES5	2
ENSG00000272449	9
TNFRSF14-AS1	1
TNFRSF14	26
ENSG00000225931	1
ENSG00000228037	4
ENSG00000289610	0
PRXL2B	25
MMEL1	1
MMEL1-AS1	0
TTC34	1
ENSG00000285945	0
ENSG00000283259	3
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	1
ACTRT2	0
PRDM16-DT	0
PRDM16	4
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	1
ENSG00000287828	0
ENSG00000286518	1
ARHGEF16	1
ENSG00000272088	0
MEGF6	1
MIR551A	0
ENSG00000238260	2
TPRG1L	62
WRAP73	9
TP73	6
TP73-AS3	0
TP73-AS2	0
TP73-AS1	7
ENSG00000276189	0
CCDC27	0
SMIM1	18
LRRC47	17
RN7SL574P	0
ENSG00000272153	0
CEP104	36
DFFB	3
C1orf174	29
LINC01134	1
LINC01346	1
LINC01345	0
LINC02780	0
ENSG00000284703	1
EEF1DP6	1
LINC01777	0
ENSG00000284694	1
ENSG00000227169	0
LINC01646	1
AJAP1	3
ENSG00000287586	0
ENSG00000284739	0
LINC02781	1
LINC02782	0
ENSG00000284616	0
ENSG00000284692	1
ENSG00000284666	1
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
MIR4689	0
NPHP4	11
KCNAB2	45
CHD5	3
ENSG00000285629	0
RPL22	172
RNF207-AS1	0
RNF207	3
ICMT	8
ICMT-DT	1
HES3	0
GPR153	1
ACOT7	115
ENSG00000271746	0
HES2	0
ESPN	4
MIR4252	0
ENSG00000231868	0
TNFRSF25	0
PLEKHG5	4
NOL9	22
RNU6-731P	0
ENSG00000229519	0
TAS1R1	1
ZBTB48	4
KLHL21	14
PHF13	12
THAP3	4
DNAJC11	20
LINC01672	0
ENSG00000284744	3
CAMTA1-DT	0
CAMTA1	331
ENSG00000227950	0
ENSG00000237365	1
RNU1-8P	1
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	0
ENSG00000270171	1
ENSG00000270035	0
