Geneid	/mnt/efs/clusterfcs/data/tfm-esther/procesado-2/duplicates_rm/PP062_sorted_q10_rmDup.bam
DDX11L1	22
WASH7P	1
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	1
ENSG00000239906	0
ENSG00000241860	2
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	28
WASH9P	0
MIR6859-2	0
ENSG00000228463	0
ENSG00000286448	0
RPL23AP24	1
ENSG00000236601	0
ENSG00000237094	3
WBP1LP7	0
OR4F29	0
CICP7	2
ENSG00000250575	0
U6	0
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	63
MTND2P28	1019
MTCO1P12	248
ENSG00000278791	0
MTCO2P12	31
MTATP8P1	6
MTATP6P1	2175
MTCO3P12	30
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	1
RNU6-1199P	0
ENSG00000229905	0
LINC01409	2
ENSG00000285268	0
ENSG00000230092	12
FAM87B	0
LINC01128	6
LINC00115	0
ENSG00000288531	0
FAM41C	1
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	1
ENSG00000241180	0
LINC02593	0
SAMD11	1
NOC2L	20
KLHL17	1
PLEKHN1	4
PERM1	0
ENSG00000272512	0
HES4	2
ISG15	12
ENSG00000231702	0
ENSG00000224969	0
AGRN	1
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	0
C1orf159	2
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	1
TNFRSF4	1
SDF4	46
B3GALT6	3
C1QTNF12	0
ENSG00000260179	0
UBE2J2	17
LINC01786	0
SCNN1D	0
ACAP3	3
MIR6726	0
PUSL1	3
INTS11	14
MIR6727	0
ENSG00000240731	0
CPTP	7
TAS1R3	0
DVL1	4
MIR6808	0
MXRA8	1
AURKAIP1	22
NDUFB4P8	0
CCNL2	6
MRPL20-AS1	4
MRPL20	17
RN7SL657P	0
MRPL20-DT	0
ANKRD65	1
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	1
ATAD3C	5
ATAD3B	2
ENSG00000284740	0
ATAD3A	0
TMEM240	0
SSU72	83
ENSG00000215014	2
ENSG00000274481	0
FNDC10	0
ENSG00000286989	0
ENSG00000272106	0
MIB2	6
MMP23B	0
CDK11B	40
ENSG00000272004	0
SLC35E2B	17
ENSG00000269737	0
MMP23A	0
CDK11A	2
ENSG00000268575	0
ENSG00000227775	1
SLC35E2A	2
NADK	32
GNB1	900
GNB1-DT	0
CALML6	0
TMEM52	0
CFAP74	2
ENSG00000233542	0
GABRD	2
PRKCZ-DT	0
PRKCZ	1
ENSG00000271806	0
PRKCZ-AS1	0
FAAP20	14
ENSG00000234396	0
SKI	63
ENSG00000287356	1
MORN1	0
ENSG00000272161	0
ENSG00000269896	0
ENSG00000272420	0
RER1	15
PEX10	2
PLCH2	0
ENSG00000224387	1
ENSG00000229393	0
PANK4	10
HES5	1
ENSG00000272449	6
TNFRSF14-AS1	3
TNFRSF14	27
ENSG00000225931	1
ENSG00000228037	0
ENSG00000289610	0
PRXL2B	17
MMEL1	0
MMEL1-AS1	0
TTC34	4
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	0
PRDM16	6
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	1
ENSG00000287828	0
ENSG00000286518	0
ARHGEF16	1
ENSG00000272088	1
MEGF6	2
MIR551A	0
ENSG00000238260	0
TPRG1L	27
WRAP73	3
TP73	3
TP73-AS3	0
TP73-AS2	0
TP73-AS1	4
ENSG00000276189	0
CCDC27	0
SMIM1	6
LRRC47	10
RN7SL574P	0
ENSG00000272153	0
CEP104	40
DFFB	5
C1orf174	27
LINC01134	0
LINC01346	0
LINC01345	0
LINC02780	0
ENSG00000284703	1
EEF1DP6	0
LINC01777	0
ENSG00000284694	0
ENSG00000227169	0
LINC01646	2
AJAP1	2
ENSG00000287586	0
ENSG00000284739	0
LINC02781	0
LINC02782	0
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	0
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
MIR4689	0
NPHP4	4
KCNAB2	47
CHD5	2
ENSG00000285629	0
RPL22	210
RNF207-AS1	0
RNF207	1
ICMT	9
ICMT-DT	0
HES3	0
GPR153	4
ACOT7	33
ENSG00000271746	0
HES2	0
ESPN	5
MIR4252	0
ENSG00000231868	0
TNFRSF25	1
PLEKHG5	5
NOL9	10
RNU6-731P	0
ENSG00000229519	0
TAS1R1	0
ZBTB48	1
KLHL21	3
PHF13	5
THAP3	1
DNAJC11	13
LINC01672	0
ENSG00000284744	0
CAMTA1-DT	0
CAMTA1	215
ENSG00000227950	0
ENSG00000237365	1
RNU1-8P	0
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	0
ENSG00000270171	0
ENSG00000270035	0
ENSG00000269978	0
VAMP3	219
ENSG00000269925	0
PER3	14
ENSG00000236266	0
UTS2	0
TNFRSF9	0
ENSG00000270330	0
PARK7	170
Y_RNA	1432
ENSG00000284747	0
ENSG00000284716	0
ERRFI1	4
ERRFI1-DT	0
ENSG00000232848	0
ENSG00000229305	0
ENSG00000288816	0
LINC01714	0
RNU1-7P	1
ENSG00000233645	0
RNU6-991P	0
SLC45A1	0
RERE	112
RERE-AS1	1
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	0
RPL7P7	0
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	0
ENO1	353
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	0
ENSG00000232208	0
ENSG00000232663	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	2
ENSG00000252404	0
GPR157	1
MIR34AHG	2
MIR34A	0
LNCTAM34A	0
H6PD	4
SPSB1	25
ENSG00000284652	2
LINC02606	0
RNA5SP40	0
ENSG00000235263	0
SLC25A33	3
ENSG00000231181	0
TMEM201	0
PIK3CD	46
PIK3CD-AS1	0
ENSG00000233268	0
PIK3CD-AS2	1
CLSTN1	11
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	52
ENSG00000223989	0
ENSG00000285701	0
LZIC	144
ENSG00000228150	1
NMNAT1	10
RN7SKP269	0
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	22
UBE4B	81
ENSG00000224340	0
PGAM1P11	1
RNU6-828P	0
KIF1B	88
ENSG00000264881	0
RNU6-37P	4
RN7SL731P	0
ENSG00000284735	0
ENSG00000284642	0
PGD	310
ENSG00000271989	0
CENPS-CORT	0
CENPS	0
CORT	0
DFFA	8
ENSG00000203469	0
PEX14	7
ENSG00000287727	0
RN7SL614P	0
CASZ1	4
ENSG00000272078	0
HSPE1P24	0
C1orf127	0
CFL1P6	0
TARDBP	29
MASP2	0
SRM	20
EXOSC10	19
ENSG00000226849	0
EXOSC10-AS1	0
MTOR	16
MTOR-AS1	2
RNU6-537P	0
ANGPTL7	0
RNU6-291P	0
RPL39P6	0
UBIAD1	4
UBE2V2P3	0
ENSG00000284646	0
MTCYBP45	0
DISP3	0
ENSG00000285833	0
LINC01647	0
ENSG00000284708	0
FBXO2	0
FBXO44	1
FBXO6	3
MAD2L2	8
DRAXIN	0
AGTRAP	12
C1orf167	0
C1orf167-AS1	0
MTHFR	41
CLCN6	16
ENSG00000276470	0
ENSG00000278852	0
NPPA	1
ENSG00000275915	0
NPPB	0
SBF1P2	0
ENSG00000285646	0
RNU5E-1	0
RNU5E-4P	1
KIAA2013	22
PLOD1	6
ENSG00000287384	0
MFN2	423
ENSG00000270914	0
MIIP	1
MIR6729	0
RN7SL649P	0
TNFRSF8	8
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	1
MIR7846	0
TNFRSF1B	15
MIR4632	0
RPL10P17	0
SNORA70	1
VPS13D	73
SNORA59A	0
LINC02766	1
DHRS3	60
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	11
ENSG00000272482	2
AADACL4	2
ENSG00000226166	0
AADACL3	0
CFAP107	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
ENSG00000233336	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	1
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	1
PRAMEF33	0
PRAMEF15	0
ENSG00000228229	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	1
LRRC38	0
ENSG00000259961	0
BRWD1P1	0
PDPN	0
RNA5SP41	0
ENSG00000237445	0
ENSG00000253085	0
PRDM2	94
ENSG00000289380	0
KAZN	8
RNU6-1265P	0
ENSG00000231606	1
KAZN-AS1	0
TBCAP2	0
ENSG00000287756	0
TMEM51-AS1	2
TMEM51	3
TMEM51-AS2	0
MFFP1	0
ZBTB2P1	2
FHAD1	3
FHAD1-AS1	1
ENSG00000236045	0
EFHD2-AS1	0
EFHD2	135
CTRC	0
CELA2A	0
CELA2B	0
CASP9	31
DNAJC16	138
SCARNA21B	0
ENSG00000272510	0
AGMAT	1
ENSG00000237301	0
CHCHD2P6	0
RNU7-179P	0
CD24P1	0
DDI2	64
RSC1A1	0
ENSG00000271742	0
PLEKHM2	24
ENSG00000237938	0
SLC25A34	0
SLC25A34-AS1	0
TMEM82	0
FBLIM1	0
RPL12P14	0
UQCRHL	21
ENSG00000178715	0
FLJ37453	2
SPEN	141
ENSG00000270620	0
ZBTB17	14
ENSG00000234607	0
ENSG00000231353	0
ENSG00000275503	0
TBC1D3P6	0
SRARP	1
ENSG00000233078	0
HSPB7	0
CLCNKA	3
ENSG00000232456	0
CLCNKB	0
FAM131C	0
EPHA2	1
EPHA2-AS1	0
ENSG00000224621	1
ARHGEF19-AS1	0
ARHGEF19	0
ANO7L1	0
ENSG00000288398	1
CPLANE2	0
MT1XP1	0
FBXO42	13
SZRD1	83
RPL22P3	0
SPATA21	0
NECAP2	54
LINC01772	0
CROCCP3	2
RNU1-1	2
ENSG00000261135	0
ENSG00000285853	0
ENSG00000224174	0
LINC01783	0
RNU1-6P	0
PDE4DIPP8	0
NBPF1	19
ENSG00000271732	0
CROCCP2	3
ENSG00000283773	0
MST1P2	0
ENSG00000282143	0
RNU1-3	0
ENSG00000280114	0
EIF1AXP1	2
ESPNP	1
ENSG00000279151	0
ENSG00000282740	0
CROCC	8
CROCCP4	0
RNU1-4	4
MST1L	1
ENSG00000223643	0
PDE4DIPP9	0
MIR3675	0
ENSG00000228549	3
RNU1-5P	0
ENSG00000238142	0
ENSG00000235241	0
RNU1-2	0
ENSG00000272426	0
MFAP2	0
ENSG00000286898	0
ENSG00000226526	0
ATP13A2	4
ENSG00000288636	0
SDHB	13
PADI2	1
LINC02783	0
ENSG00000282843	0
PADI1	2
PADI3	0
MIR3972	0
PADI4	157
PADI6	0
RCC2-AS1	0
RCC2	66
ARHGEF10L	1
LINC02810	0
ACTL8	0
ENSG00000284653	0
LINC01654	1
IGSF21	0
ENSG00000280222	0
IGSF21-AS1	0
ENSG00000225387	0
KLHDC7A	0
DYNLL1P3	0
ENSG00000225478	0
PAX7	0
TAS1R2	0
ALDH4A1	2
MIR4695	0
MIR1290	0
IFFO2	10
ENSG00000272084	0
UBR4	201
EMC1-AS1	0
EMC1	7
MRTO4	11
ENSG00000286064	0
AKR7L	0
AKR7A3	0
ENSG00000270728	1
AKR7A2	16
RNU6-1099P	0
SLC66A1	2
CAPZB	527
RN7SL277P	0
MICOS10	13
RNU4-28P	0
MICOS10-DT	0
NBL1	6
MICOS10-NBL1	0
ENSG00000226396	2
HTR6	0
TMCO4	4
RNF186	0
RNF186-AS1	0
OTUD3	5
PLA2G2E	0
RN7SL304P	0
PLA2G2A	1
PLA2G5	0
PLA2G2D	0
PLA2G2F	0
ENSG00000227066	0
PLA2G2C	1
UBXN10	1
LINC01757	0
ENSG00000284710	0
VWA5B1	0
ENSG00000226664	0
LINC01141	1
ENSG00000226487	0
ENSG00000284641	1
ENSG00000284743	0
CAMK2N1	5
ENSG00000289402	0
MUL1	4
RPS4XP4	0
FAM43B	0
CDA	16
PINK1	19
MIR6084	0
PINK1-AS	0
DDOST	14
KIF17	5
ENSG00000235432	0
SH2D5	0
ENSG00000233069	0
HP1BP3	215
EIF4G3	966
RNU7-200P	0
MIR1256	0
RPS15AP6	0
ENSG00000236073	0
HSPE1P27	0
ENSG00000287192	0
ECE1	350
ENSG00000236936	4
ECE1-AS1	0
PPP1R11P1	0
PDE4DIPP10	0
ENSG00000236009	0
NBPF2P	1
HS6ST1P1	1
CROCCP5	0
NBPF3	10
PFN1P10	0
ALPL	4
ENSG00000289715	0
LINC02596	0
RAP1GAP	1
USP48	146
ENSG00000231978	0
LDLRAD2	0
HSPG2	11
ENSG00000232037	4
ENSG00000283234	0
CELA3B	0
ENSG00000285959	0
RN7SL386P	0
RNU6-1022P	0
CELA3A	0
RN7SL186P	0
RNU6-776P	0
LINC01635	2
LINC00339	1
ENSG00000289694	0
CDC42-AS1	0
ENSG00000285794	0
CDC42	6
CDC42-IT1	0
MPHOSPH6P1	0
WNT4	1
ENSG00000285873	0
MIR4418	0
PPIAP34	0
ENSG00000279625	0
ZBTB40	15
ZBTB40-IT1	0
EPHA8	0
MIR6127	0
C1QA	0
ENSG00000289692	0
C1QC	2
C1QB	12
EPHB2	1
MIR4684	0
ENSG00000225952	0
MIR4253	0
LACTBL1	0
TEX46	0
KDM1A	132
ENSG00000240553	0
MIR3115	0
ENSG00000266802	0
LUZP1	16
ENSG00000229010	0
RNU6-514P	0
RNU6-135P	0
ENSG00000289014	0
HTR1D	0
ENSG00000215381	0
LINC01355	0
ENSG00000284726	0
