Geneid	/mnt/efs/clusterfcs/data/tfm-esther/procesado-2/duplicates_rm/PP078_sorted_q10_rmDup.bam
DDX11L1	26
WASH7P	3
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	2
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	4
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	68
WASH9P	2
MIR6859-2	0
ENSG00000228463	5
ENSG00000286448	0
RPL23AP24	3
ENSG00000236601	0
ENSG00000237094	12
WBP1LP7	0
OR4F29	0
CICP7	1
ENSG00000250575	0
U6	0
ENSG00000230021	1
ENSG00000235146	0
MTND1P23	60
MTND2P28	1203
MTCO1P12	358
ENSG00000278791	0
MTCO2P12	37
MTATP8P1	5
MTATP6P1	3249
MTCO3P12	32
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	4
RNU6-1199P	0
ENSG00000229905	0
LINC01409	4
ENSG00000285268	0
ENSG00000230092	33
FAM87B	0
LINC01128	13
LINC00115	1
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	1
ENSG00000241180	0
LINC02593	0
SAMD11	3
NOC2L	16
KLHL17	0
PLEKHN1	2
PERM1	0
ENSG00000272512	0
HES4	1
ISG15	13
ENSG00000231702	0
ENSG00000224969	1
AGRN	4
ENSG00000242590	0
ENSG00000217801	1
ENSG00000273443	1
RNF223	0
C1orf159	1
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	2
TNFRSF18	1
TNFRSF4	1
SDF4	102
B3GALT6	2
C1QTNF12	0
ENSG00000260179	2
UBE2J2	41
LINC01786	0
SCNN1D	0
ACAP3	14
MIR6726	0
PUSL1	4
INTS11	25
MIR6727	0
ENSG00000240731	0
CPTP	9
TAS1R3	0
DVL1	18
MIR6808	0
MXRA8	0
AURKAIP1	40
NDUFB4P8	0
CCNL2	3
MRPL20-AS1	3
MRPL20	22
RN7SL657P	0
MRPL20-DT	0
ANKRD65	2
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	2
ATAD3C	1
ATAD3B	4
ENSG00000284740	0
ATAD3A	5
TMEM240	0
SSU72	151
ENSG00000215014	0
ENSG00000274481	0
FNDC10	15
ENSG00000286989	4
ENSG00000272106	3
MIB2	20
MMP23B	1
CDK11B	57
ENSG00000272004	0
SLC35E2B	20
ENSG00000269737	1
MMP23A	0
CDK11A	4
ENSG00000268575	3
ENSG00000227775	11
SLC35E2A	12
NADK	55
GNB1	1735
GNB1-DT	2
CALML6	0
TMEM52	0
CFAP74	6
ENSG00000233542	0
GABRD	3
PRKCZ-DT	0
PRKCZ	9
ENSG00000271806	0
PRKCZ-AS1	0
FAAP20	32
ENSG00000234396	0
SKI	158
ENSG00000287356	1
MORN1	1
ENSG00000272161	0
ENSG00000269896	0
ENSG00000272420	0
RER1	32
PEX10	6
PLCH2	0
ENSG00000224387	0
ENSG00000229393	0
PANK4	15
HES5	0
ENSG00000272449	12
TNFRSF14-AS1	7
TNFRSF14	61
ENSG00000225931	4
ENSG00000228037	4
ENSG00000289610	1
PRXL2B	36
MMEL1	2
MMEL1-AS1	0
TTC34	1
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	0
PRDM16	5
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	0
ENSG00000287828	0
ENSG00000286518	2
