Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-5/duplicates/RSQ_184_sorted_q10_mrkDup.bam
DDX11L1	560
WASH7P	25
MIR6859-1	1
MIR1302-2HG	11
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	5
OR4F5	0
ENSG00000238009	2
ENSG00000239945	0
CICP27	2
ENSG00000268903	0
ENSG00000269981	10
ENSG00000239906	0
ENSG00000241860	8
RNU6-1100P	0
ENSG00000241599	3
DDX11L17	160
WASH9P	14
MIR6859-2	0
ENSG00000228463	91
ENSG00000286448	1
RPL23AP24	1
ENSG00000236601	0
ENSG00000237094	58
WBP1LP7	0
OR4F29	0
CICP7	6
ENSG00000250575	0
U6	52
ENSG00000230021	36
ENSG00000235146	0
MTND1P23	107
MTND2P28	4245
MTCO1P12	1809
ENSG00000278791	0
MTCO2P12	36
MTATP8P1	9
MTATP6P1	19355
MTCO3P12	120
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	161
RNU6-1199P	0
ENSG00000229905	0
LINC01409	53
ENSG00000285268	0
ENSG00000230092	140
FAM87B	16
LINC01128	112
LINC00115	0
ENSG00000288531	27
FAM41C	14
TUBB8P11	4
ENSG00000283040	9
ENSG00000272438	5
ENSG00000230699	13
ENSG00000241180	0
LINC02593	41
SAMD11	36
NOC2L	163
KLHL17	21
PLEKHN1	27
PERM1	12
ENSG00000272512	7
HES4	14
ISG15	115
ENSG00000231702	0
ENSG00000224969	0
AGRN	81
ENSG00000242590	0
ENSG00000217801	38
ENSG00000273443	1
RNF223	1
C1orf159	39
ENSG00000285812	18
LINC01342	14
MIR200B	0
MIR200A	0
MIR429	4
ENSG00000272141	11
TTLL10-AS1	5
TTLL10	55
TNFRSF18	3
TNFRSF4	4
SDF4	328
B3GALT6	28
C1QTNF12	10
ENSG00000260179	14
UBE2J2	134
LINC01786	1
SCNN1D	11
ACAP3	96
MIR6726	0
PUSL1	52
INTS11	141
MIR6727	0
ENSG00000240731	2
CPTP	52
TAS1R3	23
DVL1	55
MIR6808	0
MXRA8	23
AURKAIP1	220
NDUFB4P8	0
CCNL2	57
MRPL20-AS1	21
MRPL20	129
RN7SL657P	0
MRPL20-DT	6
ANKRD65	13
ANKRD65-AS1	0
TMEM88B	7
LINC01770	21
VWA1	23
ATAD3C	14
ATAD3B	65
ENSG00000284740	19
ATAD3A	141
TMEM240	3
SSU72	927
ENSG00000215014	9
ENSG00000274481	2
FNDC10	49
ENSG00000286989	54
ENSG00000272106	19
MIB2	137
MMP23B	15
CDK11B	418
ENSG00000272004	1
SLC35E2B	92
ENSG00000269737	3
MMP23A	0
CDK11A	22
ENSG00000268575	28
ENSG00000227775	37
SLC35E2A	52
NADK	310
GNB1	8556
GNB1-DT	3
CALML6	22
TMEM52	20
CFAP74	94
ENSG00000233542	5
GABRD	55
PRKCZ-DT	10
PRKCZ	91
ENSG00000271806	32
PRKCZ-AS1	16
FAAP20	228
ENSG00000234396	1
SKI	462
ENSG00000287356	28
MORN1	49
ENSG00000272161	0
ENSG00000269896	7
ENSG00000272420	0
RER1	106
PEX10	15
PLCH2	68
ENSG00000224387	9
ENSG00000229393	0
PANK4	23
HES5	1
ENSG00000272449	25
TNFRSF14-AS1	24
TNFRSF14	377
ENSG00000225931	4
ENSG00000228037	15
ENSG00000289610	0
PRXL2B	64
MMEL1	57
MMEL1-AS1	0
TTC34	55
ENSG00000285945	0
ENSG00000283259	15
ENSG00000233234	2
ENSG00000287396	1
ENSG00000231630	5
ENSG00000284745	25
ACTRT2	27
PRDM16-DT	50
PRDM16	99
MIR4251	4
ENSG00000226286	1
ENSG00000279839	23
ENSG00000272235	23
ENSG00000287828	0
ENSG00000286518	14
ARHGEF16	58
ENSG00000272088	4
MEGF6	123
MIR551A	6
ENSG00000238260	33
TPRG1L	207
WRAP73	84
TP73	61
TP73-AS3	8
TP73-AS2	0
TP73-AS1	46
ENSG00000276189	0
CCDC27	47
SMIM1	67
LRRC47	71
RN7SL574P	0
ENSG00000272153	0
CEP104	283
DFFB	78
C1orf174	260
LINC01134	52
LINC01346	37
LINC01345	16
LINC02780	22
ENSG00000284703	24
EEF1DP6	6
LINC01777	9
ENSG00000284694	6
ENSG00000227169	2
LINC01646	20
AJAP1	79
ENSG00000287586	32
ENSG00000284739	5
LINC02781	28
LINC02782	3
ENSG00000284616	5
ENSG00000284692	5
ENSG00000284666	7
ENSG00000260972	1
ENSG00000283356	1
ENSG00000236948	12
ENSG00000264341	5
MIR4689	1
NPHP4	117
KCNAB2	329
CHD5	80
ENSG00000285629	11
RPL22	159
RNF207-AS1	15
RNF207	24
ICMT	60
ICMT-DT	15
HES3	2
GPR153	45
ACOT7	360
ENSG00000271746	1
HES2	46
ESPN	105
MIR4252	0
ENSG00000231868	0
TNFRSF25	46
PLEKHG5	75
NOL9	144
RNU6-731P	0
ENSG00000229519	6
TAS1R1	12
ZBTB48	38
KLHL21	70
PHF13	19
THAP3	58
DNAJC11	221
LINC01672	10
ENSG00000284744	2
CAMTA1-DT	2
CAMTA1	2935
ENSG00000227950	3
ENSG00000237365	10
RNU1-8P	2
CAMTA1-IT1	0
CAMTA1-AS2	15
CAMTA1-AS1	7
ENSG00000270171	33
ENSG00000270035	7
